id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
101,"Ngaibor (S.Aru)","Jim Collins",txn,west2538,"Village in South Aru. Not identified by SIL, so classification is on geographical basis.",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Aru","Peng Du","Simon Greenhill","@misc{Collins-101-2005,  author = \"Jim Collins\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
2.30925000000000002487,128.15277000000000384716
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
101,1,hand,lema-,,,"1,64",1
458,2,left,aŋapŋapa,,,3,
815,3,right,alemlema,,,2,
1172,4,leg/foot,abay,,,38,
1529,5,"to walk",ortér,,,73,
2243,7,"to come",maʔ,,,1,1
2600,8,"to turn",labuar,,,1,
2957,9,"to swim",neŋ,,,"1,45",1?
3314,10,dirty,muŋir,,,,
3671,11,dust,koraw,,,,
4028,12,skin,kaley,,,"1,93",
4385,13,back,tilkey,,,4,
4742,14,belly,tubir,,,3,
5099,15,bone,tul,,,"1,25",
5456,16,intestines,"tubir letlesar",,,3,
5813,17,liver,ota,,,1,?
6170,18,breast,mim,,,,
6527,19,shoulder,pera,,,1,1
6884,20,"to know, be knowledgeable",raka,,,47,
7241,21,"to think","-naŋan sera-",,,,
7598,22,"to fear",bebar,,,3,
7955,23,blood,sopir,,,,
8312,24,head,ǰikala,,,1,
8669,25,neck,akal-,,,119,
9026,26,hair,gul,,,3?,
9383,27,nose,ǰuri-,,,1,
9740,28,"to breathe","nal pet",,,,
10097,29,"to sniff, smell",korpow,,,71,
10454,30,mouth,papa-,,,1,1
10811,31,tooth,nin,"set 1?",,1,?
11168,32,tongue,kabelir,,,8,
11525,33,"to laugh",mel,,,3,
11882,34,"to cry",ten,,,1,1
12239,35,"to vomit",mota,,,1,1
12596,36,"to spit",nər,,,14,
12953,37,"to eat",manám,,,49,
13310,38,"to chew",karaŋur,,,,
13667,39,"to cook",nai,,,3,1
14024,40,"to drink",nun,,,1,1?
14381,41,"to bite",kara,,,1,1
14738,42,"to suck",guk,,,35,
15095,43,ear,takir,,,2,
15452,44,"to hear",luŋur,,,1,1?
15809,45,eye,mata-,,,1,1
16166,46,"to see",ǰolaw,,,113,
16523,47,"to yawn","ma aw",,,19,1?
16880,48,"to sleep",nin,,,4,
17237,49,"to lie down",-bailar-,,,,
17594,50,"to dream",iboka,,,56,
17951,51,"to sit",talar,,,4,
18308,52,"to stand",tamarer,,,3,
18665,53,"person/human being",tamata,,,"1,66",1
