id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1012,"Uripiv-Wala-Rano-Atchin (Uripiv)","Tryon (1976)",upv,urip1239,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.00950000000000000000,167.34640000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257951,1,hand,ne-βre-k,,,16,
278144,2,left,mʷair,,,"1,59",
277418,3,right,res,,,56,
278564,4,leg/foot,ᵐbʷela-k,,,33,
277244,5,"to walk",-iwel,,,10,
258128,6,road/path,sel,,,1,
271211,7,"to come",-pini,,,23,
277091,8,"to turn",-rienim,,,34,
271390,9,"to swim",-lalœs,,,8,
263023,10,dirty,orokitkit,,,5,
259759,11,dust,mʷauw,,,85,
279097,12,skin,ne-βlu-k,,,"1, 81",
276198,13,back,ⁿdure-k,,,29,
262376,14,belly,ⁿdepʷai-k,,,20,
278919,15,bone,či-k,,,"2, 31",
263887,16,intestines,čine-k,,,1,
266979,17,liver,ne-re-k,,,41,
260106,18,breast,ne-su-k,,,1,
256266,19,shoulder,ᵐbiriβari-k,,,"1, 38",
274989,20,"to know, be knowledgeable",-roŋose,,,"19, 90",
276788,21,"to think",-rormi,,,13,
274429,22,"to fear",-mtutu,,,1,
278740,23,blood,ⁿdʳa-k,,,1,
254999,24,head,ᵐbatu-k,,,9,
259617,25,neck,nowe-k,,,18,
266807,26,hair,čomro-ᵐbatu-k,,,"34, 60, 72",
279274,27,nose,ᵑgunsi-k,,,"1,58",
273507,28,"to breathe",-ŋawsi,,,76,
275875,29,"to sniff, smell",-ŋus,,,64,
283369,30,mouth,čiŋo-k,,,55,
281411,31,tooth,liwe-k,,,"1,35",
280630,32,tongue,ne-me-k,,,7,
272467,33,"to laugh",-men,,,51,
270681,34,"to cry",-tiŋ,,,1,
271032,35,"to vomit",-lu,,,8,
273355,36,"to spit",-lutuw,,,"37,102",
271572,37,"to eat",-ɣan,,,1,
261847,39,"to cook",e-masos,,,"19, 82",
274274,40,"to drink",-mini,,,"1,49",
270323,41,"to bite",-wati,,,"1, 55",
276644,42,"to suck",-čəmʷečəmʷe,,,51,
278380,43,ear,ᵐboro-k,,,16,
270500,44,"to hear",-roŋi,,,1,
282655,45,eye,mete-k,,,1,
270143,46,"to see",-meteni,,,84,
272289,48,"to sleep",-matur,,,1,
275141,49,"to lie down",-matur,,,37,
271934,51,"to sit",-lik,,,110,
271755,52,"to stand",-tur,,,"2, 69",
280124,54,man/male,no-rman,,,"1,14",
280308,55,woman/female,ne-seβin,,,"1,74",
279944,56,child,natu-k,,,5,
280453,57,husband,ⁿdiwan,,,72,
281055,58,wife,"ne-sen su-k",,,1,
279757,59,mother,tau,,,"17, 69",
279576,60,father,tata,"Address term",,19,
281232,61,house,na-im,,,1,
280807,63,name,ni-se-k,,,1,
275450,64,"to say",-rič,,,109,
259928,65,rope,n-dil,,,"1, 76",
273179,66,"to tie up, fasten","-mʷel čiⁿdil",,,80,
275736,67,"to sew",-turi,,,13,
274702,69,"to hunt",-uru,,,78,
276495,71,"to stab, pierce",-čuči,,,84,
269964,72,"to hit",-reβči,,,"86, 100",
274835,74,"to kill",-prewči-pini,,,"73, 1",
270855,75,"to die, be dead",-mič,,,1,
275294,76,"to live, be alive",-maur,,,"1, 76",
275609,77,"to scratch",-orsi,,,68,
273964,78,"to cut, hack",-tai,,,1,
259441,79,stick/wood,"morlo nai",,,1,
276023,80,"to split",-tawukari,,,"4, 6?",
264179,81,sharp,o-so,,,85,
267445,83,"to work",mʷačiŋen,,,74,
276349,88,"to squeeze",-wusi,*pwusi,,"18, 71",
272816,89,"to hold",-tori,,,35,
274119,90,"to dig",-ili,,,1,
276938,94,"to throw",-wire,,,87?,
276939,94,"to throw",-tuwe,,,88,
272113,95,"to fall",-wačeni,,,57,
281590,96,dog,ᵑguli,,,"7, 78",
282298,97,bird,nu-mun,,,1,
282120,98,egg,na-rlu-nato,,,"1, 66",
283685,99,feather,"mowe-n numun",,,6,
283190,100,wing,na-ᵐbe-n,,,"1, 12",
272995,101,"to fly",-row,,,1,
283012,102,rat,n-ariβ,,,18,
283548,105,tail,ne-rure-ᵑguli,,,39?,
281947,106,snake,nu-mʷet,,,12,
281768,108,louse,na-ut,,,1,
282476,109,mosquito,num,,,1,
282834,111,fish,na-i,,,1,
264029,112,rotten,o-mutmut,,,92,
284005,114,leaf,"rau nai",,,1,
255590,115,root,lapʷenai,,,18,
255150,116,flower,ne-βuŋunai,,,1,
255287,117,fruit,wene-nai,,,"1, 26",
255440,118,grass,mœsmœs,,,51,
258642,119,earth/soil,n-dan,,,"1, 78",
257146,120,stone,ne-βœt,,,1,
256968,121,sand,ⁿdepʷinan,,,"1, 79",
256611,122,water,nu-wi,,,2,
274576,123,"to flow",-seser,,,33,
259140,124,sea,n-dis,,,"1, 61",
255742,127,woods/forest,lol-maru,,,79,
259294,128,sky,mesanawon,,,63,
255918,129,moon,na-wœl,,,1,
256097,130,star,moču,,,13,
256433,131,cloud,na-ᵐbor,,,38,
258953,132,fog,no-mʷou,,,"3, 32",
256789,133,rain,na-us,,,1,
258816,134,thunder,ᵐbelwer,,,"15, 38",
258478,135,lightning,na-βʷil,,,26,
258306,136,wind,liŋ,,,"1, 77",
272640,137,"to blow",-uwi,,,4,
262880,139,cold,ememrali,,,,
262022,140,dry,e-mes,,,11,
262197,141,wet,e-mim,,,36,
262551,142,heavy,o-rou,,,31,
257414,143,fire,n-a·ᵐp,,,19,
273658,144,"to burn",-suli,,,4,
257593,145,smoke,n-os-ninaᵐp,,,2,
257771,146,ash,ni-awinaᵐp,,,"1, 59",
260281,147,black,mœtmœt,,,1,
260460,148,white,eraprap,,,,
260639,149,red,osoŋsoŋ,,,94,
260815,150,yellow,eiŋaŋo,,,9,
260965,151,green,ečečen,,,8,
261315,152,small,e-welili,,,114,
261132,153,big,e-lep,,,"10, 83",
263172,155,long,e-priw,,,"16, 85",
264451,156,thin,e-minmæniw,,,1,
264315,157,thick,e-mtul,,,3,
263299,158,narrow,we-lili,small,,62,
262726,160,"painful, sick",e-msi,,,1,
263589,162,old,e-təra,,,27,
263435,163,new,e-mer,,,49,
261497,164,good,e-res,,,110,
261675,165,"bad, evil",e-sič,,,1,
263744,166,"correct, true",omomsawos,,,,
267724,167,night,natpoŋ,,,"1,67",
268056,168,day,na-ᵐboŋ,,,16,
267900,169,year,sia,,,66,
267147,170,when?,seweliŋ,,,59,
267298,181,where?,ŋaᵐbe,,,"3, 59",
268232,182,I,nu,,,"1,21,22",
268411,183,thou,nik,,,"1, 17, 18",
268590,184,he/she,ni,,,"1, 6",
268768,185,we,ker,"pl. incl.",,I,
268942,185,we,kem,"pl. excl.",,E,
269452,185,we,keru,"dl. incl.",,,
269576,185,we,komru,"dl. excl.",,,
269120,186,you,kami,pl.,,"1,13",
269697,186,you,kamru,dl.,,x,
269298,187,they,nir,they,,"1, 33",
269819,187,they,nuru,"they (dual)",,x,
266628,188,what?,seko,,,1,
266449,189,who?,si,,,1,
273809,196,"to count",-pewe,,,70,
264628,197,One,ites,,,"14, 48",
264810,198,Two,e-ru,,,1,
264988,199,Three,i-tul,,,1,
265166,200,Four,i-wič,,,"1,65",
265344,201,Five,e-lim,,,1,
265522,202,Six,owon,,,1,
265695,203,Seven,e-ᵐbœt,,,1,
265868,204,Eight,o-wil,,,3,
266037,205,Nine,e-siw,,,5,
266211,206,Ten,esŋawœl,,,5,
