id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1020,"Malo (South)","Tryon (1976)",mla,malo1243,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.68350000000000000000,167.16000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257930,1,hand,lima,,,1,
277223,5,"to walk",βanβano,,,2,
271190,7,"to come",mai,,,1,
271370,9,"to swim",loloso,,,8,
279076,12,skin,huri,,,"1, 80",
262355,14,belly,pane,,,76,
278898,15,bone,sui,,,52,
266960,17,liver,mape,,,7,
260086,18,breast,susu,,,1,
274970,20,"to know, be knowledgeable",ronβosahi,,,"19, 90",
278719,23,blood,tʰai,,,1,
254978,24,head,patu,,,9,
259596,25,neck,hali-,,,62,
279253,27,nose,pona,,,51,
275855,29,"to sniff, smell",βoroŋi,,,"42, 62",
283348,30,mouth,čino,,,"55, 73",
281390,31,tooth,hutu,,,"18, 40",
280609,32,tongue,mɛmɛ,,,"7, 41",
271551,37,"to eat",hanhan,,,1,
274253,40,"to drink",inu,,,1,
270302,41,"to bite",hati,,,"1, 55",
278359,43,ear,peṁo,,,44,
270479,44,"to hear",rono,,,1,
282634,45,eye,mata,,,1,
270122,46,"to see",swari,,,95,
272268,48,"to sleep",maturu,,,1,
275122,49,"to lie down",korkore,,,74,
271913,51,"to sit",ate,,,109,
271734,52,"to stand",turu,,,"2, 69",
280932,53,"person/human being",tamalohi,,,"4, 53",
280103,54,man/male,tamalohi,,,83,
280287,55,woman/female,βaβine,,,"1,106",
280787,63,name,hisa,,,"1, 35",
275428,64,"to say",βiti,,,47,
274814,74,"to kill",losu,,,59,
270834,75,"to die, be dead",mate,,,1,
281569,96,dog,βir̃ia,,,"7, 75, 79, 80",
282277,97,bird,mačʰiaβʷaβu,,,"24, 42",
282099,98,egg,tolu,,,1,
283665,99,feather,βuli-mači,,,1,
283817,103,meat/flesh,βisiho,,,10,
279405,104,fat/grease,par̃u,,,45,
283527,105,tail,βiti,,,76,
281748,108,louse,hutu,,,1,
282813,111,fish,mači,,,53,
283984,114,leaf,r̃auhae,,,1,
255570,115,root,hoar̃i,,,"2, 41",
258621,119,earth/soil,tano,,,1,
257125,120,stone,marati,,,41,
256947,121,sand,oneone,,,1,
255897,129,moon,βitu,,,53,
256076,130,star,"βitu sar̃asar̃a",,,"1, 73",
256412,131,cloud,tailani,,,"3, 36",
256768,133,rain,kiri,,,50,
262858,139,cold,hauhi,,,,
262001,140,dry,roβoroβo,,,,
257393,143,fire,xapu,,,19,
273637,144,"to burn",suli,,,4,
257572,145,smoke,asu,,,2,
257750,146,ash,patiauβu,,,"1, 52",
260259,147,black,βurixa,,,29,
260260,147,black,lɛho,,,"41, 75",
260439,148,white,lulu,,,"89, 91",
260618,149,red,taiha,,,88,
260948,151,green,malaheča,,,"8, 43",
261294,152,small,βorβori,,,42,
261111,153,big,taβera,,,104,
263152,155,long,paraβu,,,"16, 85",
263415,163,new,harapa,,,9,
261476,164,good,tuhi,,,116,
267703,167,night,toto,,,68,
268211,182,I,yaw,,,"1,21",
268390,183,thou,hiᵑko,,,"1, 17",
266607,188,what?,saβe,,,1,
266428,189,who?,hise,,,"1, 43",
