id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1022,"Bierebo (Burupika)","Tryon (1976)",bnk,bier1244,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Epi, Lamenu-Baki, Baki-Bierebo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.66630000000000000000,168.15400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257996,1,hand,čima-ᵑgu,,,59,
278190,2,left,mʷel,,,"1,59",
277464,3,right,mærua,,,"5, 37",
278609,4,leg/foot,ča-ᵑgu,,,98,
277287,5,"to walk",-yeli,"Loan word from Mate/ Filakara/ Nul?",L?,"10, 63",
258174,6,road/path,meriaβa,,,41,
271257,7,"to come",-mi,,,1,
277132,8,"to turn",-βlini-so,,,4,
271437,9,"to swim",-čele,,,49,
263065,10,dirty,pe-ñomñomi,,,65,
259799,11,dust,pulu-yewi,,,25,
279141,12,skin,kulieβa-ᵑgu,,,"1, 71",
276242,13,back,mʷaⁿdu-ᵑgu,,,35,
262422,14,belly,ᵐboᵐba-ᵑgu,,,100,
278965,15,bone,pur-iu,,,71,
263926,16,intestines,tiñe-ᵑgu,,,1,
267020,17,liver,puri-ara,,,"1,34",
260149,18,breast,mara-yu-ᵑgu,,,47,
256306,19,shoulder,puruᵑgia-ᵑgu,,,55,
275033,20,"to know, be knowledgeable",-čeᵑgečeia,,,110,
276830,21,"to think",-sⁿdomia,,,"13, 51",
274473,22,"to fear",-mra,,,1,
278786,23,blood,puru-sa-ᵑgu,,,"45, 29",
255045,24,head,por-paru-ᵑgu,,,9,
259659,25,neck,soᵑgiaru-ᵑgu,,,101,
266853,26,hair,wiču-ᵑgu,,,63,
279320,27,nose,sunu-ᵑgu,,,64,
273549,28,"to breathe",-čuweča,,,75,
275917,29,"to sniff, smell",-sponia,,,76,
283415,30,mouth,puliña-ᵑgu,,,,
281457,31,tooth,mæræ-čuwa-ᵑgu,,,"1,35, 43",
280676,32,tongue,pur-məna-ᵑgu,,,"7, 43",
272512,33,"to laugh",-βtali,,,84,
270726,34,"to cry",-teŋ,,,1,
271078,35,"to vomit",-čiluwa,,,8,
273400,36,"to spit",-latəri,,,104,
271618,37,"to eat",-snana,,,34,
261888,39,"to cook",mæno,,,21,
274318,40,"to drink",-munia,,,"1,49",
270368,41,"to bite",-saria,,,62,
278426,43,ear,teline-ᵑgu,,,1,
270546,44,"to hear",-čoŋoia,,,1,
282701,45,eye,kona-mæræ-ᵑgu,,,1,
270189,46,"to see",-čeia,,,14,
272334,48,"to sleep",-mon-mælio,,,19,
275184,49,"to lie down",-mono,,,15,
271980,51,"to sit",-tatanu,,,121,
271801,52,"to stand",-tmalu,,,25,
280171,54,man/male,yirumʷene,,,"1,14",
280354,55,woman/female,təra,,,80,
279989,56,child,ka-naru-ᵑgu,,,"5, 53",
280496,57,husband,koa-ᵑgu,,,62,
281099,58,wife,koa-ᵑgu,,,"1, 53",
279805,59,mother,kawiya,,,49,
279623,60,father,kata,"Address term",,19,
281278,61,house,yuma,,,1,
280854,63,name,kiaᵑgi,,,"1, 38",
275495,64,"to say",-βičaŋa,,,118,
259973,65,rope,teli,,,1,
273224,66,"to tie up, fasten",-taᵑgaria,,,85,
275769,67,"to sew",-yeⁿdea,,,61,
276538,71,"to stab, pierce",-tlia,,,14,
270009,72,"to hit",-weia,,,93,
274879,74,"to kill","-we piñia",,,"66, 1",
270900,75,"to die, be dead",-mære,,,1,
275337,76,"to live, be alive",-moli,,,"1, 76",
275652,77,"to scratch",-sparia,,,"73, 74",
274008,78,"to cut, hack",-teia,,,1,
259486,79,stick/wood,česi,,,27,
276066,80,"to split",-tepʷeia,,,"4, 6",
264224,81,sharp,mal,,,"14, 79, 81",
267490,83,"to work",yuman,,,"1, 89",
276392,88,"to squeeze",-wiwoea,,,87,
272860,89,"to hold",-ᵑgaria,,,3,
274162,90,"to dig",-kilia,,,1,
276983,94,"to throw",-swaia,,,85?,
272158,95,"to fall",-čoru,,,7,
281636,96,dog,kuli,,L,7,
282344,97,bird,mænu,,,1,
282165,98,egg,maᵐbuluto,,,"1,70",
283730,99,feather,"ču mæn",,,1,
283236,100,wing,sβena,,,"2, 64",
273042,101,"to fly",-sa,,,89,
283057,102,rat,sowe,,,"3, 74",
283874,103,meat/flesh,su-ᵐbui,,,"15, 81, 82",
279452,104,fat/grease,nǰapa,,,15,
283594,105,tail,tiᵑgian,,,61,
281993,106,snake,mʷara,,,12,
281813,108,louse,suru,,,1,
282522,109,mosquito,namu,,,1,
282881,111,fish,wiñaⁿda,,,80,
264072,112,rotten,menun,,,51,
284053,114,leaf,čumʷesi,,,46,
255636,115,root,pʷačesi,,,"45, 46",
255180,116,flower,ñečesi,,,54,
255332,117,fruit,mæræ-česi,,,36,
255483,118,grass,koræsi,,,77,
258687,119,earth/soil,pora-tanu,,,"1, 67",
257192,120,stone,pur-wæru,,,"1, 42",
257013,121,sand,wæy-one,,,1,
256657,122,water,wi,,,2,
274619,123,"to flow",-mie,,,59,
259185,124,sea,ti,,,1,
255786,127,woods/forest,yomarua,,,79,
255964,129,moon,spario,,,"54, 56",
256140,130,star,weruwe,,,70,
256479,131,cloud,ᵐbini,,,1,
258991,132,fog,mau,,,"3, 32",
256835,133,rain,yuwa,,,1,
258856,134,thunder,ᵐbolul,,,83,
258520,135,lightning,ye-pče,,,"26, 70, 72",
258352,136,wind,čeŋ,,,"1, 77",
272685,137,"to blow",-yuse,,,,
267597,138,warm,pičučun,,,"12, 94",
262927,139,cold,miasaria,,,,
262068,140,dry,me-mæ,,,11,
262243,141,wet,meⁿdu,,,"35, 89",
262597,142,heavy,ⁿdimi,,,72,
257460,143,fire,sepi,,,38,
273701,144,"to burn",-suasepi,,,84,
257638,145,smoke,"sep ⁿdœβi",,,,
257816,146,ash,pulu-yewi,,,78,
260328,147,black,mælsio,,,,
260506,148,white,miuwe,,,98,
260684,149,red,ᵐbilil,,,18,
260860,150,yellow,mǰeleru,,,76,
261001,151,green,memæ,,,"8, 71",
261361,152,small,kərəᵑgasi,,,,
261178,153,big,tilaβa,,,"10, 107",
263217,155,long,ti-piyewi,,,"16, 85",
264493,156,thin,meniniwi,,,1,
264359,157,thick,mererol,,,3,
263334,158,narrow,kərəᵑgasi,small,,83,
262767,160,"painful, sick",mæ,,,1,
263632,162,old,marua,,,1,
261543,164,good,ᵐbo,,,108,
261720,165,"bad, evil",tuaᵑa,,,,
263786,166,"correct, true",meⁿdumeⁿdu,straight,,,
267770,167,night,poŋian,,,1,
268101,168,day,ᵐboŋate,,,16,
267946,169,year,yuwi,,,"29, 65",
267193,170,when?,ñiñe,,,"1,43",
267343,181,where?,aᵐbe,,,"3, 59",
268278,182,I,kiñu,,,"1,21,22",
268457,183,thou,nisa,,,,
268636,184,he/she,naŋa,,,"1,6",
268814,185,we,ᵑgit,"pl. incl.",,I,
268988,185,we,kimimi,"pl. excl.",,E,
269478,185,we,"ᵑgit čuwa","dl. incl.",,,
269167,186,you,kamiu,pl.,,"1,13",
269344,187,they,nal,they,,"1, 33",
266674,188,what?,yani,,,1,
266496,189,who?,keni,,,64,
273853,196,"to count",-uluia,,,81,
264674,197,One,takoran,,,"14,77",
264856,198,Two,čuwa,,,1,
265034,199,Three,tolu,,,1,
265212,200,Four,βeri,,,"1,65",
265390,201,Five,limæ,,,1,
265567,202,Six,wara,,,24,
265741,203,Seven,oɣo-lua,,,"4, 2",
265914,204,Eight,oɣo-rolu,,,"5, 7",
266083,205,Nine,oko-weri,,,20,
266258,206,Ten,lualimæ,,,4,
