id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
103,Nguna,"Albert Schütz and Jack Tavimasoe",llp,nort2836,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Central Vanuatu","Debasish Roy","Simon Greenhill","@book{schuetz1969a,  date      = {1969},  title     = {Nguna grammar (Vol. 5)},  publisher = {University of Hawaii Press},  language  = {en},  address   = {Honolulu},  author    = {Schütz, A.J.}}@book{schuetz1969b,  date      = {1969},  title     = {Nguna texts (Vol. 4)},  publisher = {University of Hawaii Press},  language  = {en},  address   = {Honolulu},  author    = {Schütz, A.J.}}"
latitude,longitude
-17.43976295005251131442,168.37961817538300124397
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
103,1,hand,nam̃elearu,,,,
460,2,left,mawiri,,,"1,59",1
817,3,right,matua,[<M],,"5, 37",1
1174,4,leg/foot,natua,,,16,
1531,5,"to walk",surata,,,102,
1888,6,road/path,napua,,,5,
2245,7,"to come",u|mai,,,1,1
2602,8,"to turn",maradoa,,,105,
2959,9,"to swim",loloso,,,8,
3316,10,dirty,loa,,,6,
3673,11,dust,nam̃otam̃ota,,,27,
4030,12,skin,nawili,,,"1, 81",?
4387,13,back,nataku,,,12,
4744,14,belly,nap̃ele,,,12,
5101,15,bone,navatu,,,38,
5458,16,intestines,namarita,,,15,
5815,17,liver,natanikapu,,,12,
6172,18,breast,susu,,,1,1
6529,19,shoulder,napau,,,65?,
6886,20,"to know, be knowledgeable",atae,,,35,
7243,21,"to think",midoki,,,"13, 72",
7600,22,"to fear",mataku,,,1,1
7957,23,blood,nadā,,,1,1
8314,24,head,nap̃au,,,14,
8671,25,neck,nanoa,,,63,
9028,26,hair,nalolu,,,61,
9385,27,nose,nagusu,,,27,
9742,28,"to breathe",maromaro,,,12,
72800,29,"to sniff, smell",nap̃o,,,42,
72801,29,"to sniff, smell",dam̃o,,,81,
10456,30,mouth,nawoka,,,"1, 81",
10813,31,tooth,napati,,,6,
11170,32,tongue,namena,"accretion of 3sg suffix to root",,"7, 40",
11527,33,"to laugh",muru,,,94,
11884,34,"to cry",vioso,,,,
12241,35,"to vomit",lua,,,8,
73168,36,"to spit",taniu,,,85,
73169,36,"to spit",puvurai,,,35,
12955,37,"to eat",ganikani,,,"1,12",1
90482,39,"to cook",tao,"Pollex 06: Tao. :To cook (Stz).",,10,
14026,40,"to drink",m|unu,[<A],,"1,49",1?
14383,41,"to bite",kati,,,"1, 55",1
14740,42,"to suck",susu,,,25,1
15097,43,ear,nataliga,,,1,1
15454,44,"to hear",togo,,,1,1
15811,45,eye,namata,,,1,1
16168,46,"to see",punusi,,,11,
16882,48,"to sleep",maturu,,,1,1
17239,49,"to lie down",one,[<M],,"1, 59",1?
17596,50,"to dream",p̃erea,,,10,1?
17953,51,"to sit",tāsake,,,72,
18310,52,"to stand",lawodu,,,,
18667,53,"person/human being",naatam̄oli,,,"4, 7",?
19024,54,man/male,naanoai,,,80,
19381,55,woman/female,nagoroi,,,84,
19738,56,child,piakiki,,,,
20095,57,husband,anawota,,,61,
20452,58,wife,anagoroi,,,48,
20809,59,mother,p̃ila,,,22,
21166,60,father,tama,,,1,1
21523,61,house,nasum̃a,[S<+R],,1,1?
21880,62,thatch/roof,takitaki,,,20?,
22237,63,name,nagisa,,,"1, 36",1?
22594,64,"to say",noa,,,112,
22951,65,rope,natali,,,1,1
74986,66,"to tie up, fasten",likoti,,,"1,39",?
74987,66,"to tie up, fasten",solisoki,,,57,?
23665,67,"to sew",tuturi,,,13,
24022,68,needle,"tea  tuturi",,,66,
24379,69,"to hunt",palako,,,"10, 58",
24736,70,"to shoot",tipe,,,8,
