id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1031,"Bieria (Vowa)","Tryon (1976)",brj,bier1246,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Epi, Bieria-Maii","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.78670000000000000000,168.23200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
258000,1,hand,ma-ŋ,,,"1, 78",
278194,2,left,mau,,,"1,59",
277468,3,right,matua,,,"5, 37",
278613,4,leg/foot,le-ŋ,,,37,
277291,5,"to walk",-fial,,,10,
258178,6,road/path,ha·mau,,,65,
271261,7,"to come",-ᵐbei,,,1,
271262,7,"to come",βei,,,1,
277136,8,"to turn",-βukuh-ko,,,17,
271441,9,"to swim",-loho,,,8,
263069,10,dirty,ᵐbe-nama,,,65,
259803,11,dust,metekiap,,,84,
279145,12,skin,kukuli-ŋ,,,1,
276246,13,back,kiriu-ŋ,,,69?,
262426,14,belly,peᵐbe-ŋ,,,62,
278969,15,bone,hiu-ŋ,,,52,
263930,16,intestines,n̥e-ŋ,,,74,
267024,17,liver,ᵐbotkam,,,,
260153,18,breast,huhu-ŋ,,,1,
275037,20,"to know, be knowledgeable",-ⁿdom-xile,,,"18, 96",
276834,21,"to think",-ⁿdomdom,,,13,
274477,22,"to fear",-matak,,,1,
278790,23,blood,ⁿda·-ŋ,,,1,
255049,24,head,ᵐbatu-ŋ,,,9,
259663,25,neck,silikmanu-ŋ,,,,
266857,26,hair,βilu-ŋ,,,31,
279324,27,nose,kinihu-ŋ,,,"1,58",
273553,28,"to breathe",-maŋasiu,,,"47, 75",
275921,29,"to sniff, smell",-βinu,,,77,
283420,30,mouth,ŋo-ŋ,,,80,
281461,31,tooth,liβo-ŋ,,,"1,35",
280680,32,tongue,amena-ŋ,,,"7, 40",
272516,33,"to laugh",-iu,,,13,
270730,34,"to cry",-xai,,,57,
271082,35,"to vomit",-luawa,,,8,
