id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1034,Larevat,"Tryon (1976)",lrv,lare1249,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Malekula Central","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.19710000000000000000,167.38700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257966,1,hand,n-ləβɣanəβa-ɣ,,,16?,
278160,2,left,hu-mer,,,"1,59",
277434,3,right,ⁿdəlmet,,,"5, 37",
278579,4,leg/foot,ⁿdalə-ɣ,,,34,
277259,5,"to walk",-luŋluŋ,,,60,
258144,6,road/path,n-səl,,,1,
271227,7,"to come",-βel,,,25,
277106,8,"to turn",-βləsəm,,,24,
271407,9,"to swim",-safsaf,,,12,
263037,10,dirty,mœč,black,,2,
279113,12,skin,nu-fərxaneᵐbər,,,"1,80,71",
276213,13,back,ple-ɣ,,,52,
262392,14,belly,ⁿdaᵐbxa-ɣ,,,36?,
278935,15,bone,n-či-ɣ,,,52,
263900,16,intestines,n-sne-ɣ,,,1,
266991,17,liver,na-ronplet,,,5,
260122,18,breast,n-sis,,,1,
256281,19,shoulder,parpar,,,1,
275005,20,"to know, be knowledgeable",-ruᵑgil,,,"19, 18",
276803,21,"to think",-nčəm,,,13,
274445,22,"to fear",-mtotoɣ,,,1,
278756,23,blood,ⁿda-ɣ,,,1,
255015,24,head,ᵐbate-ɣ,,,9,
259629,25,neck,ŋčəle-ɣ,,,42,
266823,26,hair,nə-xafəntˢələn,,,"31, 33",
279290,27,nose,ᵑgənčə-ɣ,,,"1,58",
273521,28,"to breathe",-ŋəs,,,36,
275889,29,"to sniff, smell",-βusβusœŋ,,,9,
283385,30,mouth,poŋo-ɣ,,,41,
281427,31,tooth,ŋ-lifœ-ɣ,,,"1,35",
280646,32,tongue,məmme-ɣ,,,"7, 41",
272483,33,"to laugh",-ɣar,,,,
