id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1037,Seke,"Tryon (1976)",ske,seke1241,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.88390000000000000000,168.19700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257886,1,hand,ña-ᵑk,,,27,
278083,2,left,mʷir,,,"1,59",
277357,3,right,msu,,,"5, 37",
278496,4,leg/foot,sil̥e-ᵑk,,,73,
277197,5,"to walk",-urut,,,29,
258067,6,road/path,sal,,,1,
271149,7,"to come",-me,,,1,
277048,8,"to turn",-kersek,,,47,
271329,9,"to swim",-lo,,,8,
262992,10,dirty,aᵐpropiet,,,,
259720,11,dust,ᵐbsieβ,,,80?,
279034,12,skin,ᵐbla-ᵑk,,,23,
276135,13,back,walu-ᵑk,,,,
262313,14,belly,saᵐpŋi-ᵑk,,,13,
278855,15,bone,si-ᵑk,,,52,
263845,16,intestines,kñi-ᵑk,,,60,
266923,17,liver,siesna-ᵑk,,,40,
274944,20,"to know, be knowledgeable",-klia,,,18,
276744,21,"to think",-ⁿdontme,,,13,
274383,22,"to fear",-msak,,,1,
278679,23,blood,ⁿdena-ᵑk,,,"1, 50",
254937,24,head,ᵐba-ᵑk,,,14,
259554,25,neck,fantlo-ᵑk,,,69,
266745,26,hair,li-ᵑk,,,31,
279212,27,nose,fa-mso-ᵑk,,,72,
273464,28,"to breathe",-rsuᵐbuŋun̥am,,,,
275832,29,"to sniff, smell",-rŋo-ᵐbon,,,"42, 62",
283306,30,mouth,lal-fa-ᵑk,,,"1, 81",
281349,31,tooth,leβu-ᵑk,,,"1,35",
280567,32,tongue,mia-k,,,7,
272406,33,"to laugh",-man,,,51,
270619,34,"to cry",-ⁿdeŋ,,,1,
270971,35,"to vomit",-lu,,,8,
273294,36,"to spit",-kasor,,,48,
