id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1041,"Bierebo (Bonkovia)","Tryon (1976)",bnk,bier1244,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Epi, Lamenu-Baki, Baki-Bierebo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.66630000000000000000,168.15400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257995,1,hand,čuma-ᵑgu,,,59,
278189,2,left,mʷel,,,"1,59",
277463,3,right,marua,,,"5, 37",
278608,4,leg/foot,ča-ᵑgu,,,98,
277286,5,"to walk",-yeli,"Loan word from Mate/ Filakara/ Nul?",L?,"10, 63",
258173,6,road/path,mereyaβo,,,41,
271256,7,"to come",-mi,,,1,
277131,8,"to turn",-βiliŋ-sa,,,4,
271436,9,"to swim",-čele,,,49,
263064,10,dirty,soro,,,98?,
259798,11,dust,pulu-yeβi,,,25,
279140,12,skin,kuliča-ᵑgu,,,1,
276241,13,back,mʷaⁿdu-ᵑgu,,,35,
262421,14,belly,ᵐboᵐba-ᵑgu,,,100,
278964,15,bone,pur-iu,,,71,
263925,16,intestines,tiñe-ᵑgu,,,1,
267019,17,liver,puri-ara,,,"1,34",
260148,18,breast,mara-yu-ᵑgu,,,47,
275032,20,"to know, be knowledgeable",-čeᵑgičeia,,,110,
276829,21,"to think",-sⁿdomia,,,"13, 51",
274472,22,"to fear",-mra,,,1,
278785,23,blood,puru-sa,,,"45, 29",
255044,24,head,pur-βaru-ᵑgu,,,9,
259658,25,neck,puru-ᵑgio-ᵑgu,,,77,
266852,26,hair,βiču-ᵑgu,,,63,
279319,27,nose,sənu-ᵑgu,,,64,
273548,28,"to breathe",-čačeŋ,,,,
275916,29,"to sniff, smell",-sponia,,,76,
283414,30,mouth,ño-ᵑgu,,,46,
281456,31,tooth,mara-čua-ᵑgu,,,"1,35, 43",
280675,32,tongue,puru-məna-ᵑgu,,,"7, 43",
272511,33,"to laugh",-βtali,,,84,
270725,34,"to cry",-ⁿdeŋe,,,1,
271077,35,"to vomit",-čilua,,,8,
273399,36,"to spit",-βilatir,,,104,
271617,37,"to eat",-snana,,,34,
261887,39,"to cook",meno,,,21,
274317,40,"to drink",-munia,,,"1,49",
270367,41,"to bite",-saria,,,62,
276682,42,"to suck",-ñomia,,,"50, 36",
278425,43,ear,tilña-ᵑgu,,,1,
270545,44,"to hear",-čoŋoia,,,1,
282700,45,eye,mira-ᵑgu,,,1,
270188,46,"to see",-čea,,,14,
272333,48,"to sleep",-mono,,,19,
275183,49,"to lie down",-mono,,,15,
271979,51,"to sit",-totano,,,1,
271800,52,"to stand",-tmalu,,,25,
280966,53,"person/human being",taru,,,"4,34",
280170,54,man/male,yurumʷene,,,"1,14",
