id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1047,"Labo (Ninde)","Tryon (1976)",mwi,labo1244,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Labo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.42910000000000000000,167.44200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257972,1,hand,ni-βaxa-ᵑk,,,16,
278166,2,left,tes-tata,,,63,
277440,3,right,tes-motne,,,"5, 37",
278585,4,leg/foot,nu-ᵐbulu-ᵑk,,,33,
277264,5,"to walk",-ðo,,,111,
258150,6,road/path,na-ðe,,,45,
271233,7,"to come",-ul,,,25,
277111,8,"to turn",-iəɣpikis,,,"35,120",
271413,9,"to swim",-deⁿden,,,79,
263041,10,dirty,mite,black,,2,
259777,11,dust,ni-sisip,,,83?,
279118,12,skin,no-womite,,,90,
276219,13,back,ni-tuku-ᵑk,,,12,
262398,14,belly,ni-βitu-ᵑk,,,5,
278941,15,bone,no-ᵐboðoᵑgo,,,37,
263904,16,intestines,ne-sa-ᵑk,,,56,
266996,17,liver,"nu-ᵐpupu na-ᵑk",,,"7, 54, 55",
260128,18,breast,no-mʷomʷa-ᵑk,,,30,
256287,19,shoulder,nu-ᵐputwaxa-ᵑk,,,"65, 1",
275010,20,"to know, be knowledgeable",-xoraᵑgile,,,"19, 18",
276808,21,"to think",-tʳoxoxo,,,,
274450,22,"to fear",-meta,,,1,
278762,23,blood,"na-re na-ᵑk",,,1,
255021,24,head,nu-ᵐbutu-ᵑg,,,9,
259635,25,neck,ᵐbulwoyna-ᵑk,,,84,
266829,26,hair,ne-lu-ᵑg,,,31,
279296,27,nose,nu-ᵑguna-ᵑk,,,59,
273526,28,"to breathe",-ŋaxaŋaxa,,,13,
275894,29,"to sniff, smell",-xoxo-nuᵐbune,,,"42, 62",
283391,30,mouth,no-ᵐboŋo-ᵑk,,,41,
281433,31,tooth,ni-ᵐpəɣya-ᵑk,,,47,
280652,32,tongue,ni-lima-ᵑk,,,"7, 17",
272489,33,"to laugh",-βitumo,,,47,
270702,34,"to cry",-xou,,,76,
271054,35,"to vomit",-liluo,,,8,
273377,36,"to spit",-xoi,,,106,
271594,37,"to eat",-an,,,1,
261867,39,"to cook",mem,,,88,
274295,40,"to drink",-min,,,"1,49",
270344,41,"to bite",-as,,,"1, 60",
276663,42,"to suck",-tumtum,,,50,
278402,43,ear,ni-ntilŋa-ᵑk,,,"1, 40",
270522,44,"to hear",-tilroxoxo,,,"1, 60",
282677,45,eye,ni-meta-ᵑk,,,1,
270165,46,"to see",-li,,,14,
272311,48,"to sleep",-mitox,,,1,
275161,49,"to lie down",-mitox,,,37,
271956,51,"to sit",-supo,,,40,
271777,52,"to stand",-taxse,,,61,
280952,53,"person/human being",nimkut,,,62,
280145,54,man/male,ni-mkut,,,94,
280330,55,woman/female,watawox,,,95,
279965,56,child,ni-ᵐboˀoi,,,,
280473,57,husband,kaiβut,,,67,
281076,58,wife,watawox,,,62,
279780,59,mother,mama,"Address term",,5,
279598,60,father,tatai,"Address term",,19,
281254,61,house,na-mi,,,1,
280829,63,name,ni-kia-ᵑk,,,"1, 38",
275471,64,"to say",-ᵐbiti,,,"47, 141",
259950,65,rope,ne-tel,,,1,
273200,66,"to tie up, fasten",-titik,,,,
275749,67,"to sew",-təx,,,13,
274716,69,"to hunt",-xoxomen,,,"59, 64",
276513,71,"to stab, pierce",-ᵐbusuk,,,,
269985,72,"to hit",-xusŋe,,,82,
274856,74,"to kill",-xus,,,26,
270876,75,"to die, be dead",-mes,,,1,
275315,76,"to live, be alive",-tox,,,25,
275629,77,"to scratch",-βox,,,77,
273985,78,"to cut, hack",-siŋ,,,99?,
259462,79,stick/wood,n-ei,,,1,
276043,80,"to split",-siᵐbəx,,,9,
264200,81,sharp,maᵑkal,,,"14, 79, 81",
267466,83,"to work",xa,,,46,
276370,88,"to squeeze",-ᵐbus,,,"18, 71",
272837,89,"to hold",-palel,,,71,
274139,90,"to dig",-kil,,,1,
276959,94,"to throw",-suᵐbro,**juburo,,"86, 91",
272135,95,"to fall",-maxa,,,,
281612,96,dog,kapʷəx,,,10,
282320,97,bird,ne-men,,,1,
282141,98,egg,na-maðap,,,60,
283706,99,feather,n-ele,,,1,
283212,100,wing,ne-lwaɣa,,,"1, 58?",
273018,101,"to fly",-yeleyele,,,31,
283033,102,rat,kairate,,,76,
283851,103,meat/flesh,n-onbuas,,,"15, 79",
279434,104,fat/grease,taᵐpu,,,96,
283570,105,tail,nel-ᵐbuse,,,"76,64",
281969,106,snake,na-mate,,,12,
281789,108,louse,ñu-ᵑgut,,,1,
282497,109,mosquito,nankamʷe,,,88,
282856,111,fish,ni-myaðe,,,84,
264048,112,rotten,roᵐpu,,,98?,
284027,114,leaf,nu-woxo,,,51,
255611,115,root,na-ᵑgaxʷane,,,"2, 43",
255159,116,flower,ne-tuene,,,"53, 57",
255308,117,fruit,na-wane,,,"1, 26",
255460,118,grass,ne-soᵑgone,,,80,
258663,119,earth/soil,ne-tene,,,1,
257168,120,stone,ne-βet,,,1,
256989,121,sand,n-binwane,"Metathesis? *bwinone --> *binwone",,"1, 79",
256633,122,water,no-woi,,,2,
274596,123,"to flow",-waxawaxa,,,,
259161,124,sea,ne-tes,,,1,
259051,126,lake,"ne-tes lala",,,,
255762,127,woods/forest,ðasoᵑgone,,,93,
259311,128,sky,miliᵑge,cloud,,"1, 63",
255940,129,moon,ne-βe,,,57,
256116,130,star,na-nmusi,,,13,
256455,131,cloud,ni-miliᵑge,,,34,
258968,132,fog,na-ᵐban,,,62,
256811,133,rain,nu-wo,,,1,
258838,134,thunder,ni-βile,,,23,
258499,135,lightning,ni-βile,,,26,
258328,136,wind,na-laŋ,,,"1, 77",
272662,137,"to blow",-βexœp,,,64,
267579,138,warm,nteo,,,,
262902,139,cold,mamaða,,,97,
262044,140,dry,maxaxas,,,98,
262219,141,wet,luᵐpu,,,85,
262573,142,heavy,luᵐbras,,,79,
257436,143,fire,ni-ᵐbiah,,,19,
