id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1048,"Malo (North)","Tryon (1976)",mla,malo1243,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.68350000000000000000,167.16000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257929,1,hand,lima,,,1,
278123,2,left,mar̃au,,,2,
277397,3,right,matua,,,"5, 37",
277222,5,"to walk",βʷanoβʷano,,,2,
258107,6,road/path,sala,,,1,
271189,7,"to come",mai,,,1,
277072,8,"to turn",bosi,,,20,
271369,9,"to swim",loloso,,,8,
263003,10,dirty,βurixa,,,13,
259741,11,dust,taŋotaŋo,,,45,
279075,12,skin,xuri,,,"1, 80",
276176,13,back,tur̃a,,,12,
262354,14,belly,pʰaŋe-,,,76,
278897,15,bone,sui,,,52,
263870,16,intestines,tine,,,1,
266959,17,liver,maᵐbue,,,7,
260085,18,breast,susu,,,1,
256246,19,shoulder,ᵐbʷili-ku,,,38,
274969,20,"to know, be knowledgeable",roŋoβosai,,,"19, 90",
276768,21,"to think",domdom,,,13,
274408,22,"to fear",mataxu,,,1,
278718,23,blood,ⁿdai,,,1,
254977,24,head,patu,,,9,
259595,25,neck,xali-,,,62,
266786,26,hair,βulu,,,31,
279252,27,nose,ᵐbona,,,51,
273487,28,"to breathe",maᵐbu,,,14,
283347,30,mouth,čiŋo,,,55,
281389,31,tooth,xuⁿdu,,,"18, 40",
280608,32,tongue,mɛmɛ,,,"7, 41",
272446,33,"to laugh",mana,,,51,
270659,34,"to cry",ŋara,,,5,
271011,35,"to vomit",lua,,,8,
273334,36,"to spit",lito,,,"37,101",
271550,37,"to eat",xanxan,,,1,
261827,39,"to cook",noɣa,,,21,
274252,40,"to drink",inu,,,1,
270301,41,"to bite",xati,,,"1, 55",
276626,42,"to suck",romi,,,"50, 64",
278358,43,ear,pʷeṁo,,,44,
270478,44,"to hear",roŋo,,,1,
282633,45,eye,mata,,,1,
270121,46,"to see",swari,,,95,
272267,48,"to sleep",maturu,,,1,
275120,49,"to lie down",ⁿdanⁿdan,,,77,
275121,49,"to lie down",eno,,,1,
271912,51,"to sit",ate,,,109,
271733,52,"to stand",turu,,,"2, 69",
280931,53,"person/human being",tamaloxi,,,"4, 53",
280102,54,man/male,tamaloxi,,,83,
280286,55,woman/female,βaβine,,,"1,106",
279922,56,child,xur̃anči,,,,
279923,56,child,natu-,,,5,
280433,57,husband,tamanatu,,,17,
279736,59,mother,tina,,,1,
279555,60,father,tama,,,1,
281211,61,house,βanua,,,7,
280786,63,name,xisa,,,"1, 35",
275427,64,"to say",βiti,,,47,
259907,65,rope,asi,,,58,
273159,66,"to tie up, fasten",lasi,,,87,
275719,67,"to sew",siliβi,,,60,
274689,69,"to hunt",unu,,,,
276478,71,"to stab, pierce",toxi,,,,
269944,72,"to hit",tuβa,,,103,
274813,74,"to kill",lɔsu,,,59,
270833,75,"to die, be dead",mate,,,1,
275274,76,"to live, be alive",mauru,,,"1, 76",
275588,77,"to scratch",xarosi,,,"1, 88",
273943,78,"to cut, hack",tai,,,1,
259421,79,stick/wood,"sobʷe βuxai",,,,
276005,80,"to split",madare,,,62,
264160,81,sharp,βoro,,,78,
267426,83,"to work",saɣasaɣa,,,33,
276330,88,"to squeeze",tatani,,,,
272796,89,"to hold",tawri,,,35,
274098,90,"to dig",xeli,,,1,
276918,94,"to throw",blaxi,,,86,
272093,95,"to fall",coβi,,,13,
281568,96,dog,βur̃ia,,,"7, 75, 79",
282276,97,bird,"manči aβʷaβu",,,"24, 42",
282098,98,egg,tolu,,,1,
283664,99,feather,βulu,,,1,
283169,100,wing,xaᵐba,,,"1, 12",
272974,101,"to fly",aβu,,,14,
282991,102,rat,xariβi,,,18,
283816,103,meat/flesh,βixino,,,10,
279404,104,fat/grease,par̃u,,,45,
283526,105,tail,βiⁿdi,,,76,
281926,106,snake,mata,,,12,
281747,108,louse,xutu,,,1,
282455,109,mosquito,moɣi,,,"1,80",
282812,111,fish,manči,,,53,
264009,112,rotten,doβo,,,96,
283983,114,leaf,r̃auxai,,,1,
255569,115,root,xoar̃i,,,"2, 41",
255134,116,flower,tete,,,,
255266,117,fruit,βir̃a,,,38,
255420,118,grass,r̃amesumesu,,,51,
258620,119,earth/soil,tʰano,,,1,
257124,120,stone,taxasi,,,30,
256946,121,sand,oneone,,,1,
256590,122,water,reu,,,1?,
274557,123,"to flow",sale,,,38,
259119,124,sea,tarusa,,,,
259046,126,lake,"reu sorutoxo",,,,
255723,127,woods/forest,loβxai,,,"2, 89",
259274,128,sky,tailaŋe,,,"1, 61",
255896,129,moon,βitu,,,53,
256075,130,star,"βitu sar̃asar̃a",,,"1, 73",
256411,131,cloud,tʰailaŋi,,,"3, 36",
256767,133,rain,kiri,,,50,
258795,134,thunder,"ᵐbʷatu sari",,,84,
258458,135,lightning,βila,,,26,
258285,136,wind,laŋi,,,"1, 77",
272620,137,"to blow",soro,,,26,
267555,138,warm,tuntunu,,,12,
262857,139,cold,maxariri,,,"1, 104",
261999,140,dry,mamasa,,,11,
262000,140,dry,roβoroβo,,,,
262177,141,wet,aira,,,"35, 47",
262531,142,heavy,pupuxoni,,,"73, 74",
257392,143,fire,xaᵐbu,,,19,
273636,144,"to burn",suli,,,4,
257571,145,smoke,asu,,,2,
257749,146,ash,ᵐbatiauβu,,,"1, 52",
260258,147,black,βurixa,,,29,
260438,148,white,lulu,,,"89, 91",
260617,149,red,ⁿdaixa,,,88,
260794,150,yellow,čorixa,,,77,
260947,151,green,malaxɛnča,,,"8, 43",
261293,152,small,βoriβori,,,42,
261110,153,big,taβʷera,,,104,
