id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1051,"Labo (Windua)","Tryon (1976)",mwi,labo1244,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Labo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.42910000000000000000,167.44200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257973,1,hand,ne-βəxa-ᵑk,,,16,
278167,2,left,ⁿdes-taˀtaˀ,,,63,
277441,3,right,ⁿdes-motne,,,"5, 37",
278586,4,leg/foot,nu-ᵐbulu-ᵑku,,,33,
258151,6,road/path,na-·ðe,,,45,
271234,7,"to come",-ul,,,25,
271414,9,"to swim",-ⁿdeⁿden,,,79,
263042,10,dirty,mite,black,,2,
279119,12,skin,"no-woˀ na-ᵑk",,,28?,
276220,13,back,ni-tuku-ᵑk,,,12,
262399,14,belly,ni-βitu-ᵑk,,,5,
278942,15,bone,no-ᵐboðoᵑgo,,,37,
263905,16,intestines,"ne-se na-ᵑk",,,56,
266997,17,liver,nə-ᵐbupune,,,"7, 54, 55",
278763,23,blood,"na-re na-ᵑk",,,1,
255022,24,head,no-ᵐbuto-ᵑgu,,,9,
259636,25,neck,ne-ⁿdela-ᵑk,,,42,
266830,26,hair,n-el-puto-ᵑgu,,,"31, 60",
279297,27,nose,nu-ᵑguna-ᵑk,,,59,
283392,30,mouth,no-ᵐboŋo-ᵑk,,,41,
281434,31,tooth,nə-ᵐbɣia-ᵑk,,,47,
280653,32,tongue,ni-lma-ᵑk,,,"7, 17",
270703,34,"to cry",-ŋer,,,5,
271055,35,"to vomit",-liluwo,,,8,
271595,37,"to eat",-kaʔan,,,1,
270345,41,"to bite",-as,,,"1, 60",
278403,43,ear,ne-ⁿdlaŋa-ᵑga,,,"1, 40",
270523,44,"to hear",-ⁿdʳoxoxo,,,"1, 60",
282678,45,eye,ne-meta-ᵑk,,,1,
270166,46,"to see",-liliŋe,,,14,
271957,51,"to sit",-spospo,,,40,
271778,52,"to stand",-taxse,,,61,
280953,53,"person/human being",nie,,,58,
280146,54,man/male,nu-mgut,,,94,
280331,55,woman/female,watiwax,,,95,
279966,56,child,nitnowox,,,,
280474,57,husband,kaiwut,,,67,
281077,58,wife,watiwax,,,62,
279781,59,mother,mama,"Address term",,5,
279599,60,father,tatai,"Address term",,19,
281255,61,house,na-mʷi,,,1,
280830,63,name,"ni-kia kine",,,"1, 38",
259951,65,rope,ne-tel,,,1,
269986,72,"to hit",-rupoŋe,,,87?,
270877,75,"to die, be dead",-mes,,,1,
259463,79,stick/wood,n-ei,,,1,
264201,81,sharp,maᵑgal,,,"14, 79, 81",
267467,83,"to work",naxaˀiene,,,"7, 76",
281613,96,dog,kapœx,,,10,
282321,97,bird,ne-men,,,1,
282142,98,egg,na-maðap,,,60,
283707,99,feather,n-ele,,,1,
283213,100,wing,ne-lβaxa,,,"1, 58?",
283034,102,rat,kairate,,,76,
283852,103,meat/flesh,no-ˀonᵐboas,,,"15, 79",
283571,105,tail,nel-ᵐbise,,,"76,64",
281970,106,snake,na-mʷate,,,12,
281790,108,louse,nu-ᵑgut,,,1,
282498,109,mosquito,nin-tukas,,,"38, 48",
282857,111,fish,ni-miaðe,,,84,
264049,112,rotten,xote,,,,
284028,114,leaf,no-woxo,,,51,
255612,115,root,na-ᵑgawane,,,"2, 43",
255160,116,flower,ni-tiβene,,,"53, 57",
255309,117,fruit,na-wane,,,"1, 26",
255461,118,grass,ne-soᵑgonei,,,80,
258664,119,earth/soil,ne-tene,,,1,
257169,120,stone,ne-βet,,,1,
256990,121,sand,ni-ᵐbinwane,"Metathesis? *bwinone --> *binwone",,"1, 79",
256634,122,water,no-woi,,,2,
259162,124,sea,ne-tes,,,1,
255763,127,woods/forest,ðasoᵑgonei,,,93,
259312,128,sky,lenuteˀere,,,,
255941,129,moon,ne-βe,,,57,
256117,130,star,na-nmusi,,,13,
256456,131,cloud,ni-milaᵑga,,,34,
258969,132,fog,na-ᵐban,,,62,
256812,133,rain,nu-wo,,,1,
258329,136,wind,na-ðai,,,"1, 77, 80",
267580,138,warm,iowo,,,92,
262903,139,cold,mamaðaˀ,,,97,
262045,140,dry,mæmaxas,,,97,
262220,141,wet,luᵐp,,,85,
262574,142,heavy,luᵐp,"Problematic: the same form as wet?",,79,
257437,143,fire,ni-ᵐbœya,,,19,
257615,145,smoke,ni-mⁿdoᵑgo,,,94,
257793,146,ash,ni-ᵐboniep,,,75,
260304,147,black,mite,,,1,
260483,148,white,mis,,,1,
260661,149,red,miaðe,,,"1, 55",
260837,150,yellow,lit,,,43,
260981,151,green,melikse,,,"8, 43",
261338,152,small,loulou,,,105,
261155,153,big,t-lepe,,,"10, 83",
263194,155,long,paxap,,,"16, 85, 86",
264336,157,thick,tlepe,big,,x,
263315,158,narrow,loulou,small,,,
263609,162,old,xotexote,,,70,
263456,163,new,βeβew,,,1,
261520,164,good,ⁿda,,,110,
261697,165,"bad, evil",pelewas,,,79,
263763,166,"correct, true",ⁿda,good,,3,
267747,167,night,liβete,,,42,
268078,168,day,utaxaine,,,"6, 52",
267923,169,year,ne-tow,,,1,
267170,170,when?,βeran,,,56,
267320,181,where?,mene,,,13,
268255,182,I,kine,,,"1,21,22",
268434,183,thou,nuᵑku̥,,,"1, 17, 18",
268613,184,he/she,nie,,,"1,6",
268791,185,we,kite,"pl. incl.",,I,
268965,185,we,kamim,"pl. excl.",,E42,
269144,186,you,kamu,pl.,,"1,13",
269321,187,they,naxa,they,,"33, 69",
266651,188,what?,ⁿde,,,55,
266472,189,who?,nane,,,39,
264651,197,One,sey,,,1,
264833,198,Two,xowo,,,14,
265011,199,Three,i-tul,,,1,
265189,200,Four,βes,,,"1,65",
265367,201,Five,se-lme,,,1,
265544,202,Six,ⁿdumosey,,,34,
265718,203,Seven,ⁿdumana-xʷo,,,14,
265891,204,Eight,ⁿdumane-tl,,,"5? , 7",
266060,205,Nine,ⁿdumane-βes,,,20,
266235,206,Ten,ðaŋal,,,5,
