id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1064,"Shark Bay","Tryon (1976)",ssv,shar1244,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, East Santo, South","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.25530000000000000000,167.13890000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
278118,2,left,hanara,,,2,
277392,3,right,harir,,,54,
278538,4,leg/foot,nonpale-,,,33,
277217,5,"to walk",aβalik,,,95,
258102,6,road/path,swal,,,1?,
271184,7,"to come",na,,,1,
277067,8,"to turn",perik,,,44,
271364,9,"to swim",sisip,,,12,
259736,11,dust,patˢ(ə)βuk,,,73,
279070,12,skin,f(ə)ri-,,,"1, 80",
276171,13,back,r̃(ə)li-,,,79?,
262349,14,belly,θetˢu-,,,73,
278892,15,bone,fakari-,,,27,
263865,16,intestines,tˢupulu-,,,50,
266954,17,liver,pokar,,,"7,35",
260080,18,breast,sisi-,,,1,
256241,19,shoulder,pili-,,,38,
274964,20,"to know, be knowledgeable",et(ə)ruru,,,76,
276764,21,"to think",remrem,,,13,
274403,22,"to fear",farfarnye,,,41,
278713,23,blood,r̃e-,,,1,
254972,24,head,potsu-,,,9,
259590,25,neck,as(ə)ntani,,,110,
266781,26,hair,fulu-,,,31,
279247,27,nose,lusu-,,,"1,41",
273482,28,"to breathe",ŋor,,,13,
275850,29,"to sniff, smell",ro-ponə,,,"42, 62",
283342,30,mouth,s(ə)ŋo-,,,55,
281384,31,tooth,ur̃u-,,,18,
280603,32,tongue,nene-,,,"7, 41",
272441,33,"to laugh",hure,,,13?,
270655,34,"to cry",taŋ,,,1,
271006,35,"to vomit",fok,,,27,
273329,36,"to spit",nise,,,"14, 58",
271545,37,"to eat",anan,,,1,
261822,39,"to cook",no,,,21,
274247,40,"to drink",sim,,,52,
270296,41,"to bite",furur,,,64,
276621,42,"to suck",nem,,,"50, 36",
278353,43,ear,poro-,,,16,
270473,44,"to hear",ro,,,1,
282628,45,eye,nati-,,,1,
270116,46,"to see",hite,,,1,
272262,48,"to sleep",serip,,,32,
275115,49,"to lie down",war,,,,
271907,51,"to sit",to,,,80,
271728,52,"to stand",tˢinoso,,,71,
280929,53,"person/human being",tali,,,"4, 50",
280097,54,man/male,lanine,,,"1, 71",
280281,55,woman/female,noruo,,,91,
279917,56,child,netˢu-,,,5,
279731,59,mother,mamai-,"Address term",,5,
279550,60,father,tatai-,"Address term",,19,
281206,61,house,im,,,1,
280781,63,name,ese-,,,"1,41",
275422,64,"to say",fere,,,30,
259902,65,rope,hay,,,35,
273154,66,"to tie up, fasten",taka,,,90,
276473,71,"to stab, pierce",futˢuk,,,77,
269939,72,"to hit",fos(ə),,,86,
274809,74,"to kill",θin,,,1,
275269,76,"to live, be alive",lok,,,23,
275583,77,"to scratch",hori,,,12,
273938,78,"to cut, hack",t(ə)θe,,,40,
259416,79,stick/wood,mise,,,24,
276001,80,"to split",fos,,,4,
264155,81,sharp,kankan,,,14,
267421,83,"to work",laŋlaŋ,,,87,
276325,88,"to squeeze",hir,,,83,
272791,89,"to hold",hari,,,3,
274093,90,"to dig",hen,,,1,
276913,94,"to throw",laplak,,,86,
272088,95,"to fall",sep,,,13,
281563,96,dog,pes,,,72,
282271,97,bird,sok,,,41,
282093,98,egg,foteli-,,,1,
283164,100,wing,"fulun pili-",,,38,
272969,101,"to fly",han,,,31,
282986,102,rat,ife,,,18,
283812,103,meat/flesh,ponar,,,83,
279401,104,fat/grease,f(ə)ro-,,,45,
283521,105,tail,fele-,,,64,
281921,106,snake,mite,,,12,
281742,108,louse,fur̃,,,1,
282451,109,mosquito,ssye,,,46?,
282807,111,fish,nese,,,"53, 85",
264005,112,rotten,momo,,,51,
283978,114,leaf,ra,,,1,
255564,115,root,hari-,,,2,
255129,116,flower,soli-,,,55,
255261,117,fruit,fi-,,,"1, 26",
255415,118,grass,marip,,,78,
258615,119,earth/soil,falete,,,"11, 74",
257119,120,stone,θar,,,1,
256941,121,sand,hon,,,1,
256585,122,water,wa,,,2,
274552,123,"to flow",si,,,69,
259114,124,sea,tay,,,1,
255718,127,woods/forest,seβen-ute,,,7,
259269,128,sky,papar(ə)nete,,,,
