id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1067,"Baetora (Nasawa)","Tryon (1976)",btr,baet1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.25740000000000000000,168.15900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257877,1,hand,lima-ŋ,,,1,
278075,2,left,amer,,,"1,59",
277348,3,right,matua,,,"5, 37",
278487,4,leg/foot,ᵑgari-ŋ,,,49,
277192,5,"to walk",laxo,,,1,
258058,6,road/path,sala,,,1,
271140,7,"to come",βani,,,"23, 1",
277042,8,"to turn",saleris,,,15,
271320,9,"to swim",xaxar,,,5,
262986,10,dirty,maito,black,,2,
279025,12,skin,finœ-ŋ,,,28,
276126,13,back,taxœ-ŋ,,,12,
262304,14,belly,taŋa-ŋ,,,60,
278846,15,bone,si-ŋ,,,52,
274938,20,"to know, be knowledgeable",xœxlak,,,18?,
276738,21,"to think",ⁿdoⁿdo,,,13,
274377,22,"to fear",matak,,,1,
278670,23,blood,ⁿdi-ŋ,,,1,
254928,24,head,ᵐbʷati-ŋ,,,9,
259545,25,neck,tir-xoa-ŋ,,,"18, 104",
266736,26,hair,wuli-ŋ,,,31,
279203,27,nose,xansi-ŋ,,,"1,58, 89",
275826,29,"to sniff, smell",ᵐbøn,,,42,
281340,31,tooth,liβo-ŋ,,,"1,35",
280558,32,tongue,luame-ŋ,,,"7, 17",
272397,33,"to laugh",mana,,,51,
270610,34,"to cry",ŋara,,,5,
270962,35,"to vomit",lulua,,,8,
271500,37,"to eat",xanxan,,,1,
274221,40,"to drink",min,,,"1,49",
270251,41,"to bite",xat,,,"1, 55",
276596,42,"to suck",susu,,,25,
278308,43,ear,ᵐboro-ŋ,,,16,
270429,44,"to hear",roŋo,,,1,
282583,45,eye,mata-ŋ,,,1,
270072,46,"to see",le,,,14,
272218,48,"to sleep",matər,,,1,
