id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1069,"Uripiv-Wala-Rano-Atchin (Uri)","Tryon (1976)",upv,urip1239,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.00950000000000000000,167.34640000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257950,1,hand,ne-βəre-m,,,16,
278143,2,left,mʷair,,,"1,59",
277417,3,right,res,,,56,
278563,4,leg/foot,ᵐbʷala-m,,,33,
277243,5,"to walk",-wel,,,10,
258127,6,road/path,sel,,,1,
271210,7,"to come",-βini,,,23,
277090,8,"to turn",-raɣanim,,,34,
271389,9,"to swim",-lalos,,,8,
263022,10,dirty,aro,,,6,
259758,11,dust,mawa,,,85,
279096,12,skin,ne-βlu-m,,,"1, 81",
276197,13,back,ⁿdure-m,,,"67, 82",
262375,14,belly,ⁿdaᵐbʷaɣi-m,,,13,
278918,15,bone,tˢi-m,,,"2, 31",
263886,16,intestines,čine-m,,,1,
266978,17,liver,ne-re-m,,,41,
260105,18,breast,na-sus,,,1,
256265,19,shoulder,ᵐbiriᵐbari-m,,,"1, 38",
274988,20,"to know, be knowledgeable",-roŋʷosi,,,"19, 90",
276787,21,"to think",-rormi,,,13,
274428,22,"to fear",-mtoxtox,,,1,
278739,23,blood,ⁿdʳa-m,,,1,
254998,24,head,ᵐbatu-k,,,9,
259616,25,neck,nowo-m,,,18,
266806,26,hair,tˢilβi,,,"31, 33",
279273,27,nose,ᵑgunsi-m,,,"1,58",
273506,28,"to breathe",-ŋus,,,36,
275874,29,"to sniff, smell",-ŋusi,,,64,
283368,30,mouth,tˢiŋo-m,,,55,
281410,31,tooth,liwo-m,,,"1,35",
280629,32,tongue,ne-me-m,,,7,
272466,33,"to laugh",-men,,,51,
270680,34,"to cry",-tiŋ,,,1,
271031,35,"to vomit",-lu,,,8,
273354,36,"to spit",-ltur,,,"37,101?",
