id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1072,"Wusi (Valui)","Tryon (1976)",wsi,wusi1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.27860000000000000000,166.69600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257893,1,hand,lima-ku,,,1,
278090,2,left,marau,,,2,
277364,3,right,tutuwa,,,"5, 70",
278503,4,leg/foot,hari-ku,,,73,
277201,5,"to walk",ˀaleˀale,,,"10, 63",
258074,6,road/path,hala,,,1,
271156,7,"to come",βe,,,24,
277052,8,"to turn",poriˀɛni,,,109,
271336,9,"to swim",loloho,,,8,
262997,10,dirty,loˀuloˀu,,,6,
259724,11,dust,puˀau,,,1?,
279041,12,skin,βinu-ku,,,28,
276142,13,back,tau-ku,,,12,
262320,14,belly,tia-ku,,,1,
278862,15,bone,hui-ku,,,52,
263849,16,intestines,tali-ku,,,76,
266928,17,liver,mʷapʷe-ku,,,7,
260052,18,breast,huhu-ku,,,1,
256214,19,shoulder,pʷili-ku,,,38,
274948,20,"to know, be knowledgeable",pinihi,,,5,
276748,21,"to think",tʳomi,,,13,
274387,22,"to fear",mataˀu,,,1,
278686,23,blood,tʳae-ku,,,1,
254944,24,head,patu-ku,,,9,
259561,25,neck,tʳolo-ku,,,42,
266752,26,hair,βulu-ku,,,31,
279219,27,nose,malhu-ku,,,"1,56",
273468,28,"to breathe",mahumahu,,,17,
275836,29,"to sniff, smell",ᵐbona-rone,,,42,
283313,30,mouth,"lon ᵐbwa-ku",,,"1, 81",
281356,31,tooth,utʳu-ku,,,18,
280574,32,tongue,mimi-ku,,,"7, 41",
272413,33,"to laugh",uru,,,13,
270626,34,"to cry",kehi,,,62,
270978,35,"to vomit",lulua,,,8,
273301,36,"to spit",loto,,,37,
271516,37,"to eat",ˀanˀane,,,1,
261794,39,"to cook",matʳa,,,78,
274231,40,"to drink",koko,,,54,
270267,41,"to bite",βitiˀi,,,,
278324,43,ear,tʳalna-ku,,,"1, 40",
270445,44,"to hear",rone,,,1,
282599,45,eye,mata-ku,,,1,
270088,46,"to see",ile,,,18,
272234,48,"to sleep",nunura,,,91,
275101,49,"to lie down",nura,,,72,
271878,51,"to sit",hariˀi,,,115,
271699,52,"to stand",turhaˀa,,,"2, 69, 82",
280068,54,man/male,tautʳu,,,"22, 85",
280252,55,woman/female,laβina,,,"1,73",
279888,56,child,matu-ku,,,"5, 47",
280421,57,husband,naˀtautʳu,,,"18, 40",
281024,58,wife,"laβina ihi-ku",,,"5, 96",
279703,59,mother,pui-ku,,,54,
279522,60,father,tama-ku,,,1,
281178,61,house,βanua,,,7,
280752,63,name,na-ˀehe-ku,,,66,
275405,64,"to say",were,,,30,
259874,65,rope,ahi,,,58,
273126,66,"to tie up, fasten",hopʷe,,,32?,
275717,67,"to sew",turui,,,13,
274683,69,"to hunt",ruˀupʷopo,,,,
276460,71,"to stab, pierce",tˢinei,,,,
269912,72,"to hit",apoti,,,91,
274794,74,"to kill",βitiˀi,,,,
270805,75,"to die, be dead",mate,,,1,
275253,76,"to live, be alive",mauri,,,"1, 76",
275567,77,"to scratch",aroβi,,,"1, 87",
273922,78,"to cut, hack",tere,,,1,
259400,79,stick/wood,ˀau,,,1,
275986,80,"to split",pilai,,,,
264139,81,sharp,mʷa&ate,,,1,
276310,88,"to squeeze",βirihi,,,16,
272762,89,"to hold",kawi,,,3,
274076,90,"to dig",keli,,,1,
276898,94,"to throw",pəleˀɛn,,,86,
272060,95,"to fall",tˢoβi,,,13,
281535,96,dog,woi,"< PNCV *boe \"pig\"",,74,
282243,97,bird,manu,,,1,
282064,98,egg,toli-toa,,,1,
283661,99,feather,aβano,,,,
283135,100,wing,apau-na,,,7,
272941,101,"to fly",hala,,,31,
282958,102,rat,ˀariβi,,,18,
283797,103,meat/flesh,popo,,,,
279385,104,fat/grease,pohi,,,,
283492,105,tail,βutʳi-na,,,76,
281892,106,snake,mʷarita,,,12,
281714,108,louse,ˀutu,,,1,
282422,109,mosquito,βuβu,,,83,
282779,111,fish,matˢi,,,53,
263989,112,rotten,nuti,,,92,
283950,114,leaf,ˀulunaˀau,,,45,
255548,115,root,"ˀari naˀau",,,2,
255113,116,flower,"βiran naˀau",,,35,
255245,117,fruit,wananaˀau,,,"1, 26",
255400,118,grass,palihi,,,"1, 81",
258588,119,earth/soil,tano,,,1,
257091,120,stone,hula,,,19,
256913,121,sand,βuhiβuhi,,,77,
256557,122,water,tʳanu,,,1,
274536,123,"to flow",wura,,,31,
259098,124,sea,tahi,,,1,
255705,127,woods/forest,worowona,,,7?,
259252,128,sky,toloni,,,"1, 61",
255863,129,moon,pahiˀa,,,6,
256042,130,star,βitiu,,,1,
256379,131,cloud,tʳotʳo,,,90,
256734,133,rain,na-uha,,,1,
258763,134,thunder,pʷirini,,,80,
258429,135,lightning,βileˀi,,,26,
258252,136,wind,laŋi,,,"1, 77",
272587,137,"to blow",huwi,,,62,
267538,138,warm,mʷamʷamʷa,,,96,
262836,139,cold,mariprip,,,113,
261966,140,dry,koru,,,29,
262144,141,wet,luluhi,,,95,
262498,142,heavy,puruna,,,75,
257358,143,fire,"ap kara",,,19,
273615,144,"to burn",hului,,,4,
257538,145,smoke,na-ˀaho,,,2,
257716,146,ash,maiaβo,,,"1, 54",
260225,147,black,lo,,,40,
260405,148,white,hulu,,,"89, 90",
260584,149,red,kara,,,53,
260762,150,yellow,mʷatˢina,,,71,
260927,151,green,etˢa,,,8,
261260,152,small,kile,,,103,
261077,153,big,hue,*suei,,103,
263130,155,long,paraβu,,,"16, 85",
264427,156,thin,tʳaβinβinu,,,1,
264290,157,thick,porotuˀa,,,,
263277,158,narrow,kile,,,,
262673,160,"painful, sick",rotˢo,,,32,
263545,162,old,warehe,,,123,
263393,163,new,tarat,,,58,
261441,164,good,mʷaʔu,,,121,
261621,165,"bad, evil",βakol,,,,
263703,166,"correct, true",tatoˀolo,,,,
267669,167,night,poni,,,1,
268014,168,day,ran,,,6,
267847,169,year,taun,,,1,
267096,170,when?,eniha,,,"1,41",
267259,181,where?,βeako,,,,
268178,182,I,nau,,,"1,21,22",
268356,183,thou,niko,,,"1, 17, 18",
268537,184,he/she,nie,,,"1,6",
268714,185,we,ite,"pl. incl.",,1,
