id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1074,"Namakura (Mataso)","Tryon (1976)",nmk,nama1268,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Central Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.89790000000000000000,168.56900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
258004,1,hand,na-lima-ŋ,,,1,
278198,2,left,na-mah,,,"1,59",
277472,3,right,na-mati,,,"5, 37",
278617,4,leg/foot,na-tore-ŋ,,,81,
277295,5,"to walk",-taliu,,,100,
258182,6,road/path,na-hal,,,1,
271266,7,"to come",-rah,,,30,
277140,8,"to turn",-βiloh,,,24,
271445,9,"to swim",-loloh,,,8,
263073,10,dirty,maˀet,black,,2,
259806,11,dust,n-ahoŋ,,,33?,
279149,12,skin,na-kili-ŋ,,,1,
276250,13,back,na-mʷaᵑgo-ŋ,,,88,
262430,14,belly,na-tia-ŋ,,,1,
278973,15,bone,na-siu-mʷ,,,52,
263933,16,intestines,na-tinaˀ,,,1,
267028,17,liver,na-nekam,,,12,
275041,20,"to know, be knowledgeable",-ˀataˀ,,,35,
276838,21,"to think",-ⁿdoⁿdomahe,,,13,
274481,22,"to fear",-matak,,,1,
278794,23,blood,na-ⁿdaˀ,,,1,
255053,24,head,na-ᵐbʷaʔi-ŋ,,,9,
259667,25,neck,na-noʔa-ŋ,,,18,
266861,26,hair,na-βili-ŋ,,,31,
279328,27,nose,na-kinihi-ŋ,,,"1,58",
273557,28,"to breathe",-hoβahoβ,,,35,
275925,29,"to sniff, smell",-roŋih,,,62,
283424,30,mouth,na-koroŋo-ŋ,,,45,
281465,31,tooth,na-ᵐbati-ŋ,,,6,
280684,32,tongue,na-mena-ŋ,,,"7, 40",
272520,33,"to laugh",-ur,,,13,
270734,34,"to cry",-ˀear,,,34,
271086,35,"to vomit",-lu,,,8,
273408,36,"to spit",-wura,,,35,
271627,37,"to eat",-kan,,,1,
261895,39,"to cook",mahi,,,"19, 82",
274326,40,"to drink",-munum,,,"1,49",
270377,41,"to bite",-kat,,,"1, 55",
276690,42,"to suck",-mumu,,,11,
278434,43,ear,na-tiliŋa-ŋ,,,1,
270554,44,"to hear",-roŋ,,,1,
282709,45,eye,na-mata-ŋ,,,1,
270197,46,"to see",-loˀoh,,,"14, 94",
272342,48,"to sleep",-matir,,,1,
275193,49,"to lie down",-matir,,,37,
271988,51,"to sit",-ˀarah,,,119,
271809,52,"to stand",-tok,,,62,
280180,54,man/male,na-tamʷaˀan,,,"1,14",
280363,55,woman/female,na-βitarik,,,85,
279997,56,child,ke-nati-ŋ,,,"5, 53",
280505,57,husband,maˀarikina,,,68,
281107,58,wife,na-βaβin,,,"5, 68",
279816,59,mother,nunu,"Address term",,53,
279631,60,father,tama-ŋ,,,1,
281286,61,house,na-imʷ,,,1,
280862,63,name,na-kiha-ŋ,,,"1, 35",
275505,64,"to say",-βetuŋ,,,47,
259981,65,rope,na-tal,,,1,
