id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1088,Eton,"Tryon (1976)",etn,eton1255,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Central Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-17.74000000000000000000,168.54900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
258014,1,hand,aru-ŋ,,,54,
278208,2,left,mour,,,"1,59",
277482,3,right,matu,,,"5, 37",
278627,4,leg/foot,tua-ŋ,,,95,
277304,5,"to walk",siuer,,,102,
258192,6,road/path,na-pu,,,5,
271276,7,"to come",emei,,,1,
277149,8,"to turn",tare,,,38?,
271456,9,"to swim",los,,,8,
263081,10,dirty,mʷi-lo,black,,6,
259815,11,dust,ton,,,45?,
279159,12,skin,kulu-ŋ,,,1,
276260,13,back,taku-ŋ,,,12,
262440,14,belly,teŋa-ŋ,,,60,
278983,15,bone,taueti-ŋ,,,,
263941,16,intestines,mata-ŋ,,,15?,
267038,17,liver,amʷo-ŋ,,,7,
260166,18,breast,su-ŋ,,,1,
256320,19,shoulder,pamu-ŋ,,,79,
275050,20,"to know, be knowledgeable",atae,,,35,
276847,21,"to think",totot,,,13,
274490,22,"to fear",mtak,,,1,
278804,23,blood,ta-ŋ,,,1,
255063,24,head,pʷou-ŋ,,,14,
259677,25,neck,lakeno-ŋ,,,,
266871,26,hair,na-lu-ŋ,,,31,
279338,27,nose,ŋusu-ŋ,,,27,
273566,28,"to breathe",mar,,,12,
275934,29,"to sniff, smell","roŋ napon",,,"42, 62",
283434,30,mouth,kato-ŋ,,,,
281475,31,tooth,bati-ŋ,,,6,
280694,32,tongue,mena-ŋ,,,"7, 40",
272530,33,"to laugh",mur,,,94,
270746,34,"to cry",kol,,,39,
271096,35,"to vomit",lu,,,8,
273418,36,"to spit",tanu,,,85,
271638,37,"to eat",fam,,,33,
261905,39,"to cook",mas,,,"19, 82",
274335,40,"to drink",min,,,"1,49",
270387,41,"to bite",kati,,,"1, 55",
276698,42,"to suck",tomtom,,,50,
278444,43,ear,talŋa-ŋ,,,1,
270565,44,"to hear",rŋo,,,1,
282719,45,eye,meta-ŋ,,,1,
270207,46,"to see",fsi,,,,
272353,48,"to sleep",matur,,,1,
275202,49,"to lie down",en-tan,,,"1,69",
272000,51,"to sit",toktan,,,"80, 105",
271819,52,"to stand",tulen,,,56,
280979,53,"person/human being",nat,,,4,
280191,54,man/male,na-nuei,,,80,
280373,55,woman/female,ne-matu,,,37,
280007,56,child,koa,,,,
280514,57,husband,marik,,,68,
281116,58,wife,ne-matu,,,67,
279827,59,mother,ek,"Address term",,70,
279642,60,father,mam,"Address term",,"1, 10",
281297,61,house,na-sumʷ,,,1,
280872,63,name,ŋe-ŋ,,,40,
