id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1094,"Axamb (Avok)","Tryon (1976)",,avok1244,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.48380000000000000000,167.70700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257936,1,hand,"na-βie ᵑk",,,"16,72",
278129,2,left,ti-mʷair,,,"1,59",
277403,3,right,ti-ɣaβoi,,,57,
278549,4,leg/foot,na-rie-ᵑk,,,37,
277229,5,"to walk",-βanβan,,,2,
258113,6,road/path,nə-meriše,,,49,
271196,7,"to come",-βami,,,"1, 23",
277077,8,"to turn",-ᵐpæir,,,44,
271375,9,"to swim",-lœlœs,,,8,
263008,10,dirty,ᵐbʷiŋal,,,69,
259746,11,dust,mʷasiaβ,,,"1,102",
279082,12,skin,na-ɣuniᵐbu-ᵑk,,,"28, 71",
276183,13,back,maⁿdʳə-ᵑk,,,35,
262361,14,belly,na-ᵐbəɣaβu-ᵑk,,,66,
278904,15,bone,ᵐbuleᵐbun,,,58,
263873,16,intestines,na-čena-ᵑk,,,1,
266965,17,liver,na-mʷaᵐb,,,7,
260091,18,breast,na-susu-ᵑk,,,1,
256252,19,shoulder,nə-ᵐbʷaβosə-ᵑk,,,"65,71",
274974,20,"to know, be knowledgeable",-rəsləke,,,99,
276773,21,"to think",-nau,,,16,
274414,22,"to fear",-marax,,,1,
278725,23,blood,na-ⁿdʳe,,,1,
254984,24,head,ᵐbʷari-ᵑk,,,9,
259602,25,neck,na-ɣalua-ᵑk,,,102,
266792,26,hair,na-siβu,,,"31, 33",
279259,27,nose,na-xunsu-ᵑk,,,"1,58, 89",
273492,28,"to breathe",-suŋaβuŋaβ,,,69,
275860,29,"to sniff, smell",-pæloŋ-naᵐbon,,,"42, 62",
283354,30,mouth,ᵐbʷaŋo-ᵑk,,,41,
