id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1099,Letemboi,"Tryon (1976)",nms,lete1241,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Small Nambas","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.43390000000000000000,167.56600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257934,1,hand,na-βara-ŋ,,,16,
278127,2,left,moir,,,"1,59",
277401,3,right,te-tβoi,,,57,
278547,4,leg/foot,na-la-ŋ,,,37,
277227,5,"to walk",-uolaŋ,,,60,
258111,6,road/path,nə-sel,,,1,
271194,7,"to come",-βoβul,,,25,
277075,8,"to turn",-uanri,,,"34, 106?",
271373,9,"to swim",-salsal,,,58,
263006,10,dirty,i-ranuŋ,,,101,
259744,11,dust,masuan,,,46,
279080,12,skin,na-ulul,,,"1, 81",
276181,13,back,na-taga-ŋ,,,12,
262359,14,belly,na-βta-ŋ,,,5,
278902,15,bone,na-βuiɣai,,,72,
256250,19,shoulder,eteⁿbana,,,58,
274972,20,"to know, be knowledgeable",-nrankələ,,,"19, 89",
276771,21,"to think",-dʳamdʳam,,,13,
274412,22,"to fear",-metak,,,1,
278723,23,blood,na-dʳai,,,1,
254982,24,head,bat,,,9,
259600,25,neck,nai-nədelea-,,,42,
266790,26,hair,na-βəle,,,31,
279257,27,nose,ngarsənk,,,"1,50",
273490,28,"to breathe",-saosaonaŋ,,,,
275858,29,"to sniff, smell",-uaraŋnamosni,,,,
283352,30,mouth,nə-bana-ŋ,,,83,
281394,31,tooth,ne-lβok,,,"1,35",
280613,32,tongue,melua,,,"7, 42",
272450,33,"to laugh",-βisəngal,,,"84, 49",
270664,34,"to cry",-uaret,,,61,
271015,35,"to vomit",-loaloa,,,8,
273338,36,"to spit",-uomamsər,,,42,
271555,37,"to eat",-taotao,,,45,
261830,39,"to cook",i-məs,,,"19, 82",
274257,40,"to drink",-uamun,,,"1,49",
270306,41,"to bite",-kas,,,"1, 60",
278363,43,ear,ne-ngingə,,,"1, 41",
270483,44,"to hear",-βaβraŋ,,,1?,
282638,45,eye,na-mete,,,1,
270126,46,"to see",-lis,,,"14, 94",
