id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1102,Naha'ai,"Tryon (1976)",mlx,malf1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.54990000000000000000,167.50900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257974,1,hand,na-βara-ᵑk,,,16,
278168,2,left,ⁿdal-mʷiyir,,,"1,59",
277442,3,right,ᵐbʷargin,,,30,
278587,4,leg/foot,ni-ᵐbole-ᵑgu,,,33,
277265,5,"to walk",-loŋloŋ,,,60,
258152,6,road/path,na-hal,,,1,
271235,7,"to come",-mi,,,1,
271415,9,"to swim",-ᵑgar,,,5,
263043,10,dirty,i-molo,,,43,
276221,13,back,na-taɣo-ᵑgu,,,12,
262400,14,belly,"na-ᵐbax wo-ᵑgu",,,66,
278943,15,bone,ni-ᵐbuləᵐbul,,,58,
266998,17,liver,"na-maᵐpu na-ᵑgu",,,7,
260129,18,breast,nu-susu-n,,,1,
256288,19,shoulder,na-ⁿdœlœ-n,,,57,
275011,20,"to know, be knowledgeable",-romhur,,,"19, 92",
274451,22,"to fear",-mataɣtaɣ,,,1,
278764,23,blood,na-ⁿda,,,1,
255023,24,head,na-ᵐbʷatu-ᵑgu,,,9,
259637,25,neck,na-ⁿdœlœ-n,,,42,
266831,26,hair,no-ɣosβul,,,31,
279298,27,nose,ni-ᵑgenho-ᵑgu,,,"1,58",
273527,28,"to breathe",-ŋarŋar,,,13,
275895,29,"to sniff, smell",-ŋar,,,63,
283393,30,mouth,no-ᵐboɣo-ᵑgu,,,41,
281435,31,tooth,ni-liβo-ᵑgu,,,"1,35",
280654,32,tongue,na-malaᵐp,,,30,
272490,33,"to laugh",-man,,,51,
270704,34,"to cry",-teŋ,,,1,
271056,35,"to vomit",-lulu,,,8,
273378,36,"to spit",-purei,,,"35, 86, 96",
271596,37,"to eat",-kan,,,1,
274296,40,"to drink",-mœn,,,"1,49",
270346,41,"to bite",-ɣas,,,"1, 60",
276664,42,"to suck",-ⁿdumdum,,,50,
278404,43,ear,ne-ⁿdalŋa-ᵑgu,,,"1, 40",
270524,44,"to hear",-ⁿdalroroŋ,,,1,
282679,45,eye,na-mat-ᵑgu,,,1,
270167,46,"to see",-les,,,"14, 94",
272312,48,"to sleep",-pʷapʷas,,,86,
275162,49,"to lie down",-pʷapʷas,,,62,
271958,51,"to sit",-sumsum,,,40,
271779,52,"to stand",-tur,,,"2, 69",
280954,53,"person/human being",mʷarnan,,,"4,27",
280147,54,man/male,na-mʷaratin,,,"73, 14",
280332,55,woman/female,ni-βinɣaiβut,,,103,
279967,56,child,nu-ᵐbonoŋ,,,81,
280475,57,husband,ɣaiβut,,,67,
281078,58,wife,ni-βinɣaiβut,,,"5, 89",
279782,59,mother,hina-n,,,1,
279600,60,father,tama-n,,,1,
281256,61,house,nœ-yum,,,1,
280831,63,name,na-ɣaha-ᵑgu,,,37,
275472,64,"to say",-pe,,,"13, 103",
259952,65,rope,ne-ɣeu,,,25,
273201,66,"to tie up, fasten",-βit,,,74,
275750,67,"to sew",-tur,,,13,
274717,69,"to hunt",-sal,,,30,
276514,71,"to stab, pierce",-har,,,14,
269987,72,"to hit",-uras,,,94,
274857,74,"to kill",-wuru-ᵐbœn,,,"65, 1",
270878,75,"to die, be dead",-mas,,,1,
275630,77,"to scratch",-ɣoiɣoi,,,"71, 72",
273986,78,"to cut, hack",-tiri,,,1,
259464,79,stick/wood,na-ɣai,,,1,
276044,80,"to split",-tarβor,,,1,
264202,81,sharp,i-kan,,,14,
267468,83,"to work",naraɣian,,,"7, 76",
272838,89,"to hold",-βurβor,,,34,
274140,90,"to dig",-ɣil,,,1,
276960,94,"to throw",-kom,,,85?,
272136,95,"to fall",-ᵐbah,,,97,
281614,96,dog,ni-kiliu,,,"7, 77, 80",
282322,97,bird,na-man,,,1,
282143,98,egg,na-mʷaⁿdlon,,,"1, 66",
283708,99,feather,no-ᵐboᵐbo-n,,,25,
283214,100,wing,na-ᵐbanba-n,,,"1, 12",
273019,101,"to fly",-βeᵐb,,,46,
283035,102,rat,na-ɣahup,,,3,
283572,105,tail,ni-ᵐbœsi-n,,,76,
281971,106,snake,na-mʷat,,,12,
281791,108,louse,nu-ɣut,,,1,
282499,109,mosquito,ne-teoɣas,,,"38, 48, 89",
282858,111,fish,na-mahal,,,52,
264050,112,rotten,i-mom,,,51,
284029,114,leaf,ne-reun,,,1,
255613,115,root,na-ɣaran,,,"2, 41",
255161,116,flower,na-taβhen,,,"53, 57",
255310,117,fruit,na-βan,,,"1, 26",
255462,118,grass,ni-mʷini,,,31,
258665,119,earth/soil,na-tan,,,1,
257170,120,stone,na-βat,,,1,
256991,121,sand,ni-ᵐbinon,,,"1, 79",
256635,122,water,n-oi,,,2,
259163,124,sea,na-tas,,,1,
255764,127,woods/forest,ni-ᵐbœnɣai,,,"2, 108",
259313,128,sky,na-map,,,63,
255942,129,moon,ni-βœl,,,1,
256118,130,star,no-mosœi,,,13,
256457,131,cloud,na-maliᵑk,,,34,
256813,133,rain,nu-wuh,,,1,
258330,136,wind,ne-leŋ,,,"1, 77",
272663,137,"to blow",-uβ,,,4,
262904,139,cold,imalɣa,,,51,
262046,140,dry,i-mahmah,,,11,
262221,141,wet,i-mœsmœs,,,49,
262575,142,heavy,i-ⁿdop,,,14,
257438,143,fire,na-ɣaᵐp,,,19,
273679,144,"to burn",-hul,,,4,
257616,145,smoke,nœ-tuᵑknan,,,94,
257794,146,ash,na-masœn-ɣaᵐp,,,77,
260305,147,black,i-metmet,,,1,
260484,148,white,i-maβœs,,,1,
260662,149,red,i-paŋpaŋ,,,91,
260838,150,yellow,i-waswas,,,67,
260982,151,green,i-ɣaɣasan,,,8,
261339,152,small,i-malaɣlah,,,,
261156,153,big,i-ᵐbouᵐbou,,,50,
263195,155,long,i-ᵐbaᵐbarap,,,"16, 85",
264472,156,thin,i-meneᵐbneᵐb,,,"1, 43",
264337,157,thick,i-ᵐburit,,,56,
263316,158,narrow,i-maᵑgungun,,,60,
263610,162,old,i-mom,rotten,,121,
263457,163,new,i-βeβeu,,,1,
261521,164,good,i-leh,,,59,
261698,165,"bad, evil",i-hat,,,1,
263764,166,"correct, true",i-leh,good,,X,
267748,167,night,liβɣat,,,42,
268079,168,day,ni-ᵐbum,,,,
267924,169,year,ne-teu,,,1,
267171,170,when?,ŋih,,,"1,24",
277841,174,"in, inside",lœn,,,1,
278257,177,this,ti·h,,,,
278026,178,that,tinan,,,,
277910,179,near,masaŋsaŋ,,,90,
277654,180,far,seleⁿdeŋdeŋ,,,,
267321,181,where?,aᵐbeh,,,"3, 59",
268256,182,I,ᵑgina,,,"1,21,22",
268435,183,thou,ɣayuᵑgu,,,"1, 17, 26",
268614,184,he/she,ɣai,,,"1, 29",
268792,185,we,ⁿdatul,"pl. incl.",,I,
268966,185,we,matul,"pl. excl.",,E,
269145,186,you,ɣamʷil,pl.,,"1,13,32",
269322,187,they,ral,they,,55,
266652,188,what?,nahai,,,"1, 33",
266473,189,who?,ɣahen,,,"1, 43",
277778,193,if,naβohon,,,,
277730,194,how?,iβare,,,30,
277971,195,"no, not",ⁿdeh,,,,
273831,196,"to count",-ᵐbuliᵑg,,,1,
264652,197,One,itex,,,"14,4",
264834,198,Two,i-ru,,,1,
265012,199,Three,sul,,,1,
265190,200,Four,i-βas,,,"1,65",
265368,201,Five,i-lim,,,1,
265545,202,Six,i-raxtex,,,,
265719,203,Seven,ira-ru,,,13?,
265892,204,Eight,ira-tul,,,"5, 7",
266061,205,Nine,ira-βas,,,20,
266236,206,Ten,i-laŋaβœl,,,5,
