id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1108,Tasmate,"Tryon (1976)",tmt,tasm1246,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.07920000000000000000,166.66400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257892,1,hand,lima-ku,,,1,
278089,2,left,marau,,,2,
277363,3,right,tutuwa,,,"5, 70",
278502,4,leg/foot,sari-ku,,,73,
258073,6,road/path,rio,,,39,
271155,7,"to come",simai,,,1,
271335,9,"to swim",loloso,,,8,
279040,12,skin,pino-ku,,,28,
276141,13,back,poˀa-ku,,,77,
262319,14,belly,pani-ku,,,76,
278861,15,bone,sui-ku,,,52,
260051,18,breast,susu-ku,,,1,
278685,23,blood,kae-ku,,,1,
254943,24,head,re-ku,,,59,
259560,25,neck,kalo-ku,,,6,
266751,26,hair,wulu-ku,,,31,
279218,27,nose,nonou-ku,,,34,
283312,30,mouth,wawa-ku,,,1,
281355,31,tooth,pati-ku,,,6,
280573,32,tongue,memei-ku,,,"7, 41",
272412,33,"to laugh",mana,,,51,
270625,34,"to cry",kora,,,39,
270977,35,"to vomit",lulua,,,8,
273300,36,"to spit",loto,,,37,
271515,37,"to eat",ˀanˀan,,,1,
270266,41,"to bite",ati,,,"1, 55",
278323,43,ear,kalna-ku,,,"1, 41",
270444,44,"to hear",rono,,,1,
282598,45,eye,mata-ku,,,1,
270087,46,"to see",re,,,14,
272233,48,"to sleep",tˢinaru,,,89,
271877,51,"to sit",pasuˀu,,,124,
271698,52,"to stand",tursaˀa,,,"2, 69, 82",
280067,54,man/male,taˀua,,,87,
280251,55,woman/female,leβine,,,"1,73",
279887,56,child,natu-ku,,,5,
279702,59,mother,"no-k mama","Address term",,5,
279521,60,father,"nok tata","Address term",,19,
281177,61,house,ima,,,1,
280751,63,name,isei-ku,,,66,
