id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1112,"Lenakel (Lonasilian)","Tryon (1976)",tnl,lena1238,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-19.47630000000000000000,169.26100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
258027,1,hand,na-limu-ku,,,1,
278220,2,left,mul,,,"1,59",
277494,3,right,matu,,,"5, 37",
278639,4,leg/foot,nə-ləko-k,,,9,
277317,5,"to walk",-aliwok,,,97,
258206,6,road/path,suatu,,,6,
271289,7,"to come",-βæ,,,24,
277162,8,"to turn",-etait,,,124,
271469,9,"to swim",-ayik,,,24,
263093,10,dirty,tamkəmək,,,14,
259828,11,dust,nə-maulul,,,8,
279172,12,skin,nə-βiŋo-k,,,79,
276272,13,back,nə-mʷata-k,,,35,
262453,14,belly,nə-təpʷu-k,,,36,
278995,15,bone,nə-kəlkəli-k,,,7,
263952,16,intestines,nə-sŋa-k,,,"1, 57",
267051,17,liver,na-kanmapʷə-k,,,"4,7",
260178,18,breast,nə-ha-k,,,1,
256332,19,shoulder,na-wiku-k,,,59,
275063,20,"to know, be knowledgeable",-nakinatin,,,138,
276860,21,"to think","niki-m t-oho",,,75,
274503,22,"to fear",-aŋən,,,60,
278816,23,blood,nə-ta-k,,,1,
255076,24,head,takapʷa,,,17,
259690,25,neck,nektou,,,107,
266884,26,hair,nu-wanu-k,,,59,
279351,27,nose,nə-pʷa-$aŋa-k,,,"12, 33",
273578,28,"to breathe",-amiŋ,,,73,
275947,29,"to sniff, smell",-amiaβen,,,73,
283447,30,mouth,no-wa-k,,,"1, 81",
281488,31,tooth,na-liu-k,,,"1,35",
280707,32,tongue,na-mu-k,,,7,
272542,33,"to laugh",-al̥iel̥,,,97,
270759,34,"to cry",-asak,,,33,
