id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1122,"Wusi (Mana)","Tryon (1976)",wsi,wusi1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.27860000000000000000,166.69600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257894,1,hand,lima-ku,,,1,
278091,2,left,marau-ku,,,2,
277365,3,right,tutuwa-ku,,,"5,70",
278504,4,leg/foot,hari-ku,,,73,
258075,6,road/path,hala,,,1,
271157,7,"to come",βe,,,24,
271337,9,"to swim",loloho,,,8,
279042,12,skin,βilu-ku,,,"1, 81",
276143,13,back,taˀu-ku,,,12,
262321,14,belly,tia-ku,,,1,
278863,15,bone,hui-ku,,,52,
260053,18,breast,huhu-ku,,,1,
256215,19,shoulder,pʷili-ku,,,38,
278687,23,blood,čae-ku,,,1,
254945,24,head,pʷatu-ku,,,9,
259562,25,neck,čolo-ku,,,6,
266753,26,hair,wulu-ku,,,31,
279220,27,nose,malhu-ku,,,"1,56",
283314,30,mouth,wawa-ku,,,1,
281357,31,tooth,uču-ku,,,18,
280575,32,tongue,memei-ku,,,"7, 41",
272414,33,"to laugh",uru,,,13,
270627,34,"to cry",kehe,,,62,
270979,35,"to vomit",lulua,,,8,
273302,36,"to spit",loto,,,37,
271517,37,"to eat",ˀanˀan,,,1,
261795,39,"to cook",mača,,,19,
270268,41,"to bite",oro,,,,
278325,43,ear,čalna-ku,,,"1, 40",
270446,44,"to hear",rone,,,1,
282600,45,eye,mata-ku,,,1,
270089,46,"to see",ile,,,18,
272235,48,"to sleep",lunura,,,91,
271879,51,"to sit",harihiwɔ,,,115,
271700,52,"to stand",turahaˀa,,,"2, 55",
280069,54,man/male,tauču,,,"22, 85",
280253,55,woman/female,laβila,,,"1,73",
279889,56,child,matu-ku,,,"5, 47",
279704,59,mother,pui-ku,,,54,
279523,60,father,tama-ku,,,1,
281179,61,house,wanua,,,7,
280753,63,name,heˀe-ku,,,,
259875,65,rope,ahi,,,58,
273127,66,"to tie up, fasten",βihi,,,86,
269913,72,"to hit",witiˀi,,,,
270806,75,"to die, be dead",mate,,,1,
272763,89,"to hold",kawi,,,3,
272061,95,"to fall",tˢoβi,,,13,
281536,96,dog,wɔi,"< PNCV *boe \"pig\"",,74,
282244,97,bird,manu,,,1,
282065,98,egg,toli-na,,,1,
283136,100,wing,apau-na,,,7,
272942,101,"to fly",hala,,,31,
282959,102,rat,ar̃iβi,,,18,
283493,105,tail,wuči-na,,,76,
281893,106,snake,mar̃ita,,,12,
281715,108,louse,utu,,,1,
282423,109,mosquito,βuβu,,,83,
282780,111,fish,matˢi,,,53,
283951,114,leaf,"hula au",,,,
258589,119,earth/soil,tano,,,1,
257092,120,stone,hula,,,19,
256914,121,sand,wuhwuhi,,,77,
256558,122,water,čanu,,,1,
255864,129,moon,pahia,,,6,
256043,130,star,βitu,,,1,
256380,131,cloud,čɔčɔ,,,90,
256735,133,rain,wuha,,,1,
258430,135,lightning,βileˀi,,,26,
258253,136,wind,lan,,,"1, 77",
272588,137,"to blow",huwi,,,62,
261967,140,dry,awaβu,,,,
262145,141,wet,luluhi,,,95,
262499,142,heavy,puruna,,,75,
257359,143,fire,aβi,,,1,
257539,145,smoke,aho,,,2,
257717,146,ash,maiaβu,,,"1, 54",
260226,147,black,loˀo,,,40,
260406,148,white,hulu,,,"89, 90",
260585,149,red,kara,,,53,
260763,150,yellow,matˢina,,,71,
261261,152,small,kilækilæ,,,103,
261078,153,big,huei,,,103,
262674,160,"painful, sick",rotˢo,,,32,
261442,164,good,mʷaʔo,,,121,
261622,165,"bad, evil",poipoi,,,,
267670,167,night,poni,,,1,
267848,169,year,tawoni,,,1,
267097,170,when?,niha,,,"1,24",
268179,182,I,nau,,,"1,21,22",
268357,183,thou,niko,,,"1, 17, 18",
268538,184,he/she,niɛ,,,"1,6",
268715,185,we,ičɛ,"pl. incl.",,1,
268893,185,we,kamai,"pl. excl.",,E43,
269420,185,we,"iče rua","dl. incl.",,,
269546,185,we,"kamai rua","dl. excl.",,,
269067,186,you,kamiu,pl.,,"1,13",
269666,186,you,kamiurua,dl.,,x,
269246,187,they,ire,they,,"1, 70",
269788,187,they,"ire rua","they (dual)",,x,
266574,188,what?,haβan,,,1,
266395,189,who?,hei,,,1,
264575,197,One,ehe,,,1,
264757,198,Two,rua,,,1,
264935,199,Three,tolu,,,1,
265113,200,Four,wate,,,"1,65",
265291,201,Five,lima,,,1,
265469,202,Six,lima-raβe,,,35,
265642,203,Seven,raβe-rua,,,13,
265815,204,Eight,rap-tolu,,,"5, 7",
265984,205,Nine,ra-pate,,,20,
266158,206,Ten,hanawulu,,,5,
