id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1125,Mafea,"Tryon (1976)",mkv,mafe1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.43160000000000000000,167.24100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257926,1,hand,faraŋo,,,"16, 57",
278120,2,left,m̈arao-,,,2,
277394,3,right,m̈atua-,,,"5, 37",
278540,4,leg/foot,letu-,,,37?,
277219,5,"to walk",v̈anv̈ano,,,2,
258104,6,road/path,sala,,,1,
271186,7,"to come",m̈a,,,1,
277069,8,"to turn",βasia,,,119,
271366,9,"to swim",karu,,,5,
259738,11,dust,"asu nina",,,41,
279072,12,skin,uri-,,,"1, 80",
276173,13,back,puru-,,,76,
262351,14,belly,paŋe-,,,76,
278894,15,bone,fakari-,,,27,
263867,16,intestines,taŋaplu-,,,"1, 57",
266956,17,liver,pepe-,,,7,
260082,18,breast,susu-,,,1,
256243,19,shoulder,aṭalo-,,,54,
274966,20,"to know, be knowledgeable",ntaseia,,,45,
276766,21,"to think",ṭuseia,,,39?,
274405,22,"to fear",ntau,,,1,
278715,23,blood,ṭae-,,,1,
254974,24,head,patu-,,,9,
259592,25,neck,tom̈i-,,,46,
266783,26,hair,fulu-,,,31,
279249,27,nose,kalsu-,,,"1,60",
273484,28,"to breathe",ŋoro,,,13,
275852,29,"to sniff, smell",ro-pone,,,"42, 62",
283344,30,mouth,siŋo-,,,55,
281386,31,tooth,uṭu-,,,18,
280605,32,tongue,&e&e-,,,"7, 41",
272443,33,"to laugh",m̈ana,,,51,
270657,34,"to cry",taŋi,,,1,
271008,35,"to vomit",lua,,,8,
273331,36,"to spit",lito,,,"37,101",
271547,37,"to eat",anan,,,1,
261824,39,"to cook",noa,,,21,
274249,40,"to drink",inu,,,1,
270298,41,"to bite",atia,,,"1, 55",
