id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1127,"Kwamera (Port Resolution)","Tryon (1976)",tnk,kwam1252,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-19.59540000000000000000,169.44200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
258021,1,hand,raŋə-k,,,19,
278214,2,left,mʷawul,,,"1,59",
277488,3,right,mʷatu-k,,,"5, 37",
278633,4,leg/foot,nə-su-k,,,75,
277311,5,"to walk",-awæn,,,105,
258200,6,road/path,suatuk,,,6,
271283,7,"to come",-fe,,,24,
277156,8,"to turn",-œsənik,"=turn round (Reflexive)",,122,
271463,9,"to swim",-aru,,,5,
263087,10,dirty,ramkəmək,,,14,
259822,11,dust,nə-mʷakurur,,,8,
279166,12,skin,teki-k,,,33,
276266,13,back,takuta-k,,,12,
262447,14,belly,təpʷə-k,,,36,
278989,15,bone,nə-kakəri-k,,,7,
263946,16,intestines,na-nin̥e,,,1,
267045,17,liver,na-kanmʷapʷə-k,,,"4,7",
260172,18,breast,na-n̥ə-k,,,3,
256326,19,shoulder,n-ura-k,,,61,
275057,20,"to know, be knowledgeable",-ikurukun,,,84,
276854,21,"to think",-atarəŋ,,,19,
274497,22,"to fear",-ehekər,,,69,
278810,23,blood,n-te-k,,,1,
255070,24,head,nu-kʷanea-k,,,61,
259684,25,neck,nuwa-k,,,18,
266878,26,hair,mʷai-nu-kʷanea-k,,,59,
279345,27,nose,nə-paseŋə-k,,,"12, 33",
273572,28,"to breathe",-aiahaŋ,,,15,
275940,29,"to sniff, smell",-peŋi,,,73,
283441,30,mouth,na-kʷa-k,,,"1, 84",
281482,31,tooth,rewə-k,,,"1,35",
280701,32,tongue,na-ramə-k,,,"7, 17",
272536,33,"to laugh",-arəs,,,97,
270753,34,"to cry",-asak,,,33,
271102,35,"to vomit",-ewa,,,8,
273425,36,"to spit",-arŋawəs,"*luaq 'vomit' + *ŋapus 'spit'",,"19,38",
271645,37,"to eat",-ani,,,1,
261912,39,"to cook",rənafa,,,86,
274342,40,"to drink",-anəmʷi,,,"1,34",
