id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1128,"Port Vato","Tryon (1976)",ptv,port1286,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.30830000000000000000,168.04600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257980,1,hand,βelo-k,,,16,
278174,2,left,ke-mʷilen,,,33?,
277448,3,right,ke-mœrœn,,,5?,
278593,4,leg/foot,ie-k,,,45,
277271,5,"to walk",-teli,,,104,
258158,6,road/path,sili,,,1,
271241,7,"to come",-me,,,1,
277116,8,"to turn",-elehe,,,42,
271421,9,"to swim",-yuŋyoŋ,,,84,
263049,10,dirty,sœnsœnœ,,,,
259783,11,dust,ᵐbumoloh,,,20,
279125,12,skin,wiliri,,,"1, 81",
276226,13,back,ⁿdiβih,,,29,
262406,14,belly,towo-k,,,36,
278949,15,bone,ᵐba-si,,,"52,59",
263911,16,intestines,tiñe-k,,,1,
267004,17,liver,leñar,,,39,
260135,18,breast,sisi-k,,,1,
256294,19,shoulder,ᵐbar-βelo-k,,,"65,26",
275017,20,"to know, be knowledgeable",-kiᵐbʷele,,,100,
276814,21,"to think",-ⁿdeme,,,13,
274457,22,"to fear","len mʷenek",,,32,
278770,23,blood,ⁿda,,,1,
255029,24,head,ᵐburu-k,,,9,
259643,25,neck,paⁿdu-k,,,106,
266837,26,hair,βülu-k,,,31,
279304,27,nose,kusu-k,,,"27, 55",
273533,28,"to breathe",-soβsoβ,,,35,
275901,29,"to sniff, smell",-ᵐbon,,,42,
283399,30,mouth,ᵐboŋo-k,,,41,
281441,31,tooth,luwœ-k,,,"1,35",
280660,32,tongue,mio-k,,,7,
272496,33,"to laugh",-mæn,,,51,
270710,34,"to cry",-ⁿde,,,1,
271062,35,"to vomit",-iœ,,,8,
273384,36,"to spit",-küsiop,,,"19,34",
271602,37,"to eat",-en,,,1,
261873,39,"to cook",me-mœnok,,,21,
274302,40,"to drink",-mini,,,"1,49",
270352,41,"to bite",-ŋahe,,,"1, 60",
276670,42,"to suck",-titi,,,62,
278410,43,ear,ⁿdeliño-k,,,"1, 40",
270530,44,"to hear",-loŋane,,,1,
282685,45,eye,mero-k,,,1,
270173,46,"to see",-lehe,,,"14, 94",
272318,48,"to sleep",-pʷet,,,86,
