id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1140,Neverver,"Tryon (1976)",lgk,ling1265,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Malekula Central","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.19860000000000000000,167.49900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257947,1,hand,ne-βra-n,,,16,
278140,2,left,mʷer,,,"1,59",
277414,3,right,ᵐbratn,,,30,
278560,4,leg/foot,na-ɣele-n,,,78?,
277240,5,"to walk",-ᵐbuaβu,,,98,
258124,6,road/path,ne-sal,,,1,
271207,7,"to come",-lem,,,"1,25",
277087,8,"to turn",-ⁿdʳi,,,34,
271386,9,"to swim",-les,,,8,
263019,10,dirty,i-metmet,black,,2,
259755,11,dust,niᵐbisaβ,,,80,
279093,12,skin,ni-βü-n,,,28,
276194,13,back,ne-ᵑgale-n,,,105,
262372,14,belly,ne-ⁿdemʷige-n,,,20,
278915,15,bone,no-ᵐbolᵑgo-n,,,37,
263883,16,intestines,ne-se-n,,,56,
266975,17,liver,ne-ᵐbaᵐbi-n,,,7,
260102,18,breast,na-sus,,,1,
256262,19,shoulder,nu-ᵐbutu-βra-n,,,"1, 65",
274985,20,"to know, be knowledgeable",-roŋil,,,"19, 18",
276784,21,"to think",-sisian,,,39,
274425,22,"to fear",-lis,,,73,
278736,23,blood,ne-ⁿdʳe,,,1,
254995,24,head,ne-ᵐbat-n,,,9,
259613,25,neck,ne-ⁿdla-ŋ,,,42,
266803,26,hair,no-ro-ᵐbat-n,,,"34, 60",
279270,27,nose,na-ɣasu-n,,,"1,58, 89",
273503,28,"to breathe",-ŋaβŋaβ,,,69,
275871,29,"to sniff, smell",-suŋsuŋ,,,9,
283365,30,mouth,no-mʷŋo-n,,,41,
281407,31,tooth,nu-lβu-n,,,"1,35",
280626,32,tongue,ne-leme-n,,,"7, 17",
272463,33,"to laugh",-raβ,,,46,
270677,34,"to cry",-ŋar,,,5,
271028,35,"to vomit",-lialu,,,8,
273351,36,"to spit",-pre,,,"35, 86, 96",
271568,37,"to eat",-kan,,,1,
261843,39,"to cook",i-mas,,,"19, 82",
274270,40,"to drink",-minio,,,"1,49",
270319,41,"to bite",-xas,,,"1, 60",
278376,43,ear,ne-ⁿdeliŋa-ŋ,,,"1, 40",
270496,44,"to hear",-roŋ,,,1,
282651,45,eye,ne-mⁿda-n,,,1,
270139,46,"to see",-ɣitərox,,,1,
272285,48,"to sleep",-matur,,,1,
275137,49,"to lie down",-matur,,,37,
271930,51,"to sit",-βorβor,,,136,
271751,52,"to stand",-turturu,,,"2, 69",
280120,54,man/male,ni-muɣut,,,94,
280304,55,woman/female,no-moɣmoɣ,,,23,
279940,56,child,neteriɣ,,,"5,63",
280449,57,husband,xaβut,,,67,
281051,58,wife,moɣmoɣ,,,56,
279753,59,mother,niⁿda,,,"1, 46",
279572,60,father,mama,"Address term",,"1, 10",
281228,61,house,ne-βanu,,,7,
280803,63,name,ni-xisa-n,,,"1, 35",
275446,64,"to say",-sor,,,113,
259924,65,rope,no-ɣo,,,25,
273175,66,"to tie up, fasten",-lik,,,"1,39",
275733,67,"to sew",-lix,,,64,
276491,71,"to stab, pierce",-tur,,,14,
269960,72,"to hit",-te,,,10,
274831,74,"to kill","-te imas",,,"89, 2",
270851,75,"to die, be dead",-mas,,,1,
275290,76,"to live, be alive",-maur,,,"1, 76",
275605,77,"to scratch",-ɣorɣor,,,12,
273960,78,"to cut, hack",-teᵐbʷir,,,100,
259437,79,stick/wood,na-ɣa,,,1,
276019,80,"to split",-teᵐbur,,,1,
264175,81,sharp,i-mkal,,,"14, 79, 81",
267441,83,"to work",nœ-βœrian,,,7,
276345,88,"to squeeze",-pus,,,"18, 71",
272812,89,"to hold",-βrok,,,34?,
274115,90,"to dig",-ɣil,,,1,
276934,94,"to throw",-tuβ,,,88,
272109,95,"to fall",-ⁿdakei,,,95,
281586,96,dog,na-ɣaᵐbʷər,,,10,
282294,97,bird,ne-man,,,1,
282116,98,egg,noᵑgoβʷin,,,67,
283681,99,feather,ni-βulu-n,,,1,
283186,100,wing,ᵐbʷia-n,,,"1, 12",
272991,101,"to fly",-al,,,75,
283008,102,rat,niᵐbʷisᵐbox,,,73,
283833,103,meat/flesh,ne-βisɣon,,,10,
279421,104,fat/grease,ne-ᵐbʷera-n,,,,
283544,105,tail,no-ɣorɣore-n,,,24?,
281943,106,snake,ne-mʷat,,,12,
281764,108,louse,na-ɣut,,,1,
282472,109,mosquito,ni-tuɣas,,,"38, 48, 89",
282830,111,fish,ne-tas,,,,
264025,112,rotten,i-momo,,,51,
284001,114,leaf,no-ron,,,1,
255586,115,root,no-ᵑkornaɣa,,,"2, 41",
255146,116,flower,"ne-βŋa naɣa",,,1,
255283,117,fruit,ne-βan,,,"1, 26",
255436,118,grass,ne-soŋsoᵑk,,,80,
258638,119,earth/soil,niᵐbʷi-tan,,,1,
257142,120,stone,ne-βat,,,1,
256964,121,sand,niβʷilansilans,,,87,
256607,122,water,n-io,,,2,
274572,123,"to flow",-sarsar,,,67,
259136,124,sea,ni-tusu,,,"1, 47",
255738,127,woods/forest,na-ɣatəro,,,"69, 97",
259290,128,sky,ne-ᵐbartox,,,66,
255914,129,moon,na-βül,,,1,
256093,130,star,ni-βinə-mso,,,"13, 71",
256429,131,cloud,ne-laŋ,,,3,
258949,132,fog,ne-ⁿdekaβ,,,"1, 63",
256785,133,rain,na-us,,,1,
258812,134,thunder,naᵑgur,,,2,
258474,135,lightning,ni-lŋax,,,73,
258302,136,wind,ne-laŋ,,,"1, 77",
272636,137,"to blow",-βuβ,,,4,
262876,139,cold,i-mʷla,,,114,
262018,140,dry,i-ɣatɣat,,,98?,
262193,141,wet,i-mta,,,"35, 90",
262547,142,heavy,i-maβ,,,46,
257410,143,fire,na-ɣaᵐb,,,19,
273654,144,"to burn",-sil,,,4,
257589,145,smoke,"na-ɣaᵐb itel",,,46,
257767,146,ash,niᵐbisaβ,,,"1,76",
260277,147,black,metmet,,,1,
260456,148,white,yoβyoβ,,,41,
260635,149,red,i-mial,,,"1, 55",
260811,150,yellow,yaŋeyaŋ,,,9,
260961,151,green,i-mlaɣes,,,"8, 43",
261311,152,small,i-lele,,,"66, 82",
261128,153,big,i-laᵐblaᵐb,,,"10, 83",
263168,155,long,ᵐberᵐber,,,16,
264447,156,thin,meriβriβ,,,1,
264311,157,thick,i-ᵐbun,,,"35, 59",
263295,158,narrow,lele,small,,62,
262722,160,"painful, sick",i-nsal,,,35,
263585,162,old,i-tʳo,,,"27, 126",
263431,163,new,i-βiβa,,,"1, 46, 51",
261493,164,good,r-rpʷiɣ,,,67,
261671,165,"bad, evil",i-s,,,1,
263740,166,"correct, true",yaⁿdʳyaⁿdʳ,straight,,74,
267720,167,night,liβɣat,,,42,
268052,168,day,na-ᵐbuŋ,,,16,
267896,169,year,ni-siɣa,,,29,
267143,170,when?,aŋas,,,1,
267294,181,where?,aᵐbi,,,"3, 59",
268228,182,I,ina,,,"1,21,22",
268407,183,thou,iox,,,"1,  17",
268586,184,he/she,ei,,,1,
268764,185,we,iᵑgit,"pl. incl.",,I,
268938,185,we,kumam,"pl. excl.",,E42,
269116,186,you,iᵑgam,pl.,,"1,13",
269294,187,they,aⁿdʳ,they,,55,
266624,188,what?,nesɣan,,,"1, 59",
266445,189,who?,isi,,,1,
273805,196,"to count",-tœtŋon,,,42,
264624,197,One,saɣaᵐb,,,"42, 60",
264806,198,Two,i-ru,,,1,
264984,199,Three,i-tl,,,1,
