id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1153,Toga,"Tryon (1976)",lht,loto1240,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-13.25200000000000000000,166.61300000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257856,1,hand,limo-k,,,1,
278054,2,left,ɣəlawə,,,14,
277327,3,right,məso,,,"5, 37",
277173,5,"to walk",si,,,38,
258037,6,road/path,mə-salə,,,1,
271118,7,"to come","βen ma",,,"1, 23",
277025,8,"to turn",tæptʳœr,,,113,
271299,9,"to swim",ɣor,,,5,
262968,10,dirty,namorœt,,,24,
279005,12,skin,ɣəlitpiə-k,"[AF] *kulit + *abe 'body'",,"1, 71",
276105,13,back,kilo-k,,,10,
262283,14,belly,tukʷo-k,,,36,
278826,15,bone,huri-k,,,52,
266894,17,liver,βarə,,,17,
260018,18,breast,hih,,,1,
256181,19,shoulder,pini-k,,,36,
274919,20,"to know, be knowledgeable",lonmæræne,,,86,
276720,21,"to think",tʳœm,,,13,
274358,22,"to fear",mətaɣ,,,1,
278649,23,blood,dəro-k,,,1,
254907,24,head,kʷutu-k,,,9,
259525,25,neck,ɣəro-k,,,11,
266715,26,hair,lu-k,,,31,
279182,27,nose,mudu-k,,,14,
273441,28,"to breathe",raβ-nəleŋ,"[AF] lit. \"pull the air\" (*laŋi)",,"77, 78",
275808,29,"to sniff, smell",hiŋəβæ,,,9,
283277,30,mouth,ŋuhu-k,,,2,
281320,31,tooth,luwo-k,,,"1,35",
280538,32,tongue,ɣarame-k,,,"7, 14",
272376,33,"to laugh",hamre,,,87?,
270589,34,"to cry",kəre,,,39,
270941,35,"to vomit",luluə,,,8,
273266,36,"to spit",neŋuh,,,,
271479,37,"to eat",ɣen,,,1,
261761,39,"to cook",mənoɣa,,,21,
274202,40,"to drink",œn,"in fact /ʉn/ <*unu",,"1, 50",
270231,41,"to bite",ɣarə,,,1,
276578,42,"to suck",œn,,,"49, 53",
278287,43,ear,delŋo-k,,,"1, 40",
270409,44,"to hear",roŋ,,,1,
282563,45,eye,məto-k,,,1,
270050,46,"to see",lemə,"[AF] unknown form",,,
272198,48,"to sleep",mətur,,,1,
275072,49,"to lie down",in,,,1,
271841,51,"to sit",haɣ,,,72,
271662,52,"to stand",tu,,,2,
280030,54,man/male,təŋʷen,,,"1,14",
280214,55,woman/female,ləkʷeβine,,,"1,72",
279851,56,child,natu-k,,,5,
280995,58,wife,ləkʷeβinə,,,"5, 52",
279666,59,mother,rəme,,,"20, 47",
279485,60,father,təmo-k,,,1,
281140,61,house,eŋʷ,,,1,
280716,63,name,ye-k,,,66,
275375,64,"to say",woɣoβæɣa,,,121,
259838,65,rope,tel,,,1,
273084,66,"to tie up, fasten",rat,,,,
273085,66,"to tie up, fasten",liɣə,,,"1,39",
275692,67,"to sew",seɣ,,,,
274657,69,"to hunt",liaɣ,,,,
276431,71,"to stab, pierce",hih,,,1,
269873,72,"to hit",tut,,,8,
274766,74,"to kill","not mesə",,,"62, 2",
270769,75,"to die, be dead",met,,,1,
275225,76,"to live, be alive",naɣ,,,,
275538,77,"to scratch",kor,,,12,
273892,78,"to cut, hack",tarə,,,1,
259372,79,stick/wood,ne-tetərəɣa,,,"1,25?",
275957,80,"to split",tarətalə,,,,
264111,81,sharp,na-mteheteh,,,1,
267383,83,"to work",mœɣmœɣœ,,,81,
276282,88,"to squeeze",βiər,,,16,
272725,89,"to hold",ɣih,,,21,
274048,90,"to dig",ɣil,,,1,
276870,94,"to throw",hœute,,,,
272023,95,"to fall",ho,,,13,
281498,96,dog,sike,,,,
282206,97,bird,mon,,,1,
282028,98,egg,tuli-n,,,1,
283633,99,feather,lœmo-n,,,1,
283100,100,wing,pərpərinə,,,,
272904,101,"to fly",ɣaβə,,,14,
282922,102,rat,ɣəhuwə,,,3,
283769,103,meat/flesh,nə-puœɣ,,,"15, 79",
279361,104,fat/grease,nə-ɣerakə,,,39,
283457,105,tail,ɣulo,,,24,
281854,106,snake,ŋʷetə,,,12,
281677,108,louse,ɣut,,,1,
282386,109,mosquito,niem,,,1,
282742,111,fish,iɣə,,,1,
263962,112,rotten,namʷiar,,,,
283914,114,leaf,hoin,,,,
255520,115,root,nə-ɣurəhə,,,"2, 41",
255085,116,flower,təweh,,,34,
255218,117,fruit,nəwin,,,"1, 26",
255372,118,grass,nə-βeliə,,,1,
257054,120,stone,βot,,,1,
256876,121,sand,in,,,1,
256520,122,water,pe,,,28,
274513,123,"to flow",niβəlaɣ,,,61,
259070,124,sea,ne-lemə,,,14,
257233,125,salt,sielo,"Loan from French?",L?,,
259022,126,lake,nə-tuŋ,,,,
255675,127,woods/forest,nə-mtamatoɣ,,,,
259225,128,sky,nə-mahalə,,,"1, 63",
255826,129,moon,məɣaɣa,,,52,
256005,130,star,βisi,,,1,
256342,131,cloud,məliɣə,,,34,
258895,132,fog,nə-ɣaβɣaβ,,,3,
256698,133,rain,wedə,,,51,
258729,134,thunder,mon-lai,,,37,
258393,135,lightning,βilə,,,26,
258216,136,wind,leŋ,,,"1, 77",
272552,137,"to blow",uβ,,,4,
262807,139,cold,amelehi,,,51,
261928,140,dry,məreŋ,,,"1, 85",
262108,141,wet,tokʷ,,,94,
262463,142,heavy,meβə,,,46,
257321,143,fire,eβ,,,1,
273588,144,"to burn",torwe,,,88,
257501,145,smoke,oh,,,2,
