id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1156,"Baetora (Narovorovo)","Tryon (1976)",btr,baet1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.25740000000000000000,168.15900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257878,1,hand,ləma-ŋ,,,1,
278076,2,left,ɣaloa-ŋ,,,14,
277349,3,right,matua-ŋ,,,"5, 37",
278488,4,leg/foot,ᵑgarø-ŋ,,,49,
258059,6,road/path,sala,,,1,
271141,7,"to come",βani,,,"1, 23",
271321,9,"to swim",ᵑgar,,,5,
279026,12,skin,βnø-ŋ,,,28,
276127,13,back,taɣe-ŋ,,,12,
262305,14,belly,taŋa-ŋ,,,60,
278847,15,bone,si-ŋ,,,52,
266915,17,liver,βara-ŋ,,,17,
260038,18,breast,søsø-ŋ,,,1,
256201,19,shoulder,tuᵐbʷa-ŋ,metathesis?,,65,
278671,23,blood,ⁿdi-ŋ,,,1,
254929,24,head,ᵐbʷatø-ŋ,,,9,
259546,25,neck,ɣoa-ŋ,,,"18, 104",
266737,26,hair,ulu-ŋ,,,31,
279204,27,nose,hansø-ŋ,,,"1,58, 89",
283298,30,mouth,βʷa-ᵑgu,,,"1, 81",
281341,31,tooth,ləβo-ŋ,,,"1,35",
280559,32,tongue,luame-ŋ,,,"7, 17",
272398,33,"to laugh",mana,,,51,
270611,34,"to cry",ŋara,,,5,
270963,35,"to vomit",lulua,,,8,
273286,36,"to spit",βra,,,35,
271501,37,"to eat",ɣan,,,1,
261782,39,"to cook",manoɣaᵐba,,,"21, 79",
270252,41,"to bite",ɣat,,,"1, 55",
278309,43,ear,ᵐboro-ŋ,,,16,
270430,44,"to hear",roŋotak,,,"1, 55",
282584,45,eye,mata-ŋ,,,1,
270073,46,"to see",le,,,14,
272219,48,"to sleep",matur,,,1,
271863,51,"to sit",mʷam,,,117,
271684,52,"to stand",ᵐbeᵐberɣa,,,,
280053,54,man/male,tat,,,84,
280237,55,woman/female,βaβne,,,"1,106",
279873,56,child,natø-ŋ,,,5,
279688,59,mother,ramasø-ŋ,,,"20, 47?",
279507,60,father,tama-ŋ,,,1,
281163,61,house,imʷa,,,1,
280737,63,name,asa-ŋ,,,"1,18",
259859,65,rope,ɣau,,,25,
273110,66,"to tie up, fasten",βøl,,,76,
269897,72,"to hit",tøt,,,8,
270790,75,"to die, be dead",mate,,,1,
272747,89,"to hold",tor,,,35,
