id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1160,"Banam Bay (Lepaxsivir)","Tryon (1976)",vrt,burm1263,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.41650000000000000000,167.73120000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257940,1,hand,nə-βara-ᵑk,,,16,
278133,2,left,xo-mair,,,"1,59",
277407,3,right,atin,,,55,
278553,4,leg/foot,ne-rue-ᵑk,,,53,
277233,5,"to walk",-βneβen,,,2,
258117,6,road/path,na-pʷesar,,,"1, 44",
271200,7,"to come",-βme,,,"1, 23",
277080,8,"to turn",-ⁿdʳerpʷo,,,115?,
271379,9,"to swim",-ruɣruɣ,,,28,
263012,10,dirty,mamirmir,black,,97,
259749,11,dust,məraᵑkap,,,84,
279086,12,skin,no-ɣurᵐbe-ᵑk,,,"1, 71",
276187,13,back,maⁿdʳu-ᵑk,,,35,
262365,14,belly,ⁿdaᵐba-ᵑk,,,20,
278908,15,bone,ᵐbəraᵑgo-ᵑk,,,37,
263877,16,intestines,merta-ᵑk,,,15,
266969,17,liver,maᵐbʷe-ᵑk,,,7,
260095,18,breast,na-susu-ᵑk,,,1,
256256,19,shoulder,ᵐbotβose-ᵑk,,,"65,71",
274978,20,"to know, be knowledgeable",-siᵐbai,,,48,
276777,21,"to think",-ⁿdʳaⁿdʳane,,,76,
274418,22,"to fear",-mætax,,,1,
278729,23,blood,ne-ⁿdʳe,,,1,
254988,24,head,ᵐbatu-ᵑk,,,9,
259606,25,neck,ⁿdoβʷe-ᵑk,,,47,
266796,26,hair,ne-βrux,,,31,
279263,27,nose,na-ɣunsu-ᵑk,,,"1,58, 89",
273496,28,"to breathe",-βuŋaⁿdʳus,,,69,
275864,29,"to sniff, smell",-munsi,,,65,
283358,30,mouth,ᵐbaŋo-ᵑk,,,41,
281400,31,tooth,ne-rβo-ᵑk,,,"1,35",
280619,32,tongue,me-ᵑk,,,7,
272456,33,"to laugh",-mæn,,,51,
270670,34,"to cry",-ⁿdʳaŋ,,,1,
271021,35,"to vomit",-ru,,,8,
273344,36,"to spit",-pəre,,,"35, 86, 96",
271561,37,"to eat",-ɣan,,,1,
261836,39,"to cook",mamanuᵑk,,,"21, 80",
274263,40,"to drink",-mün,,,"1,49",
270312,41,"to bite",-ɣati,,,"1, 55",
276634,42,"to suck",-sœmsœmi,,,51,
278369,43,ear,ɣersa-ᵑk,,,42,
270489,44,"to hear",-roŋoni,,,1,
282644,45,eye,mata-ᵑk,,,1,
270132,46,"to see",-či,,,,
272278,48,"to sleep",-pat,,,86,
275130,49,"to lie down",-pat,,,62,
271923,51,"to sit",-nœn,,,111,
271744,52,"to stand",-tu,,,2,
