id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1167,Fortsenal,"Tryon (1976)",frt,fort1240,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.44840000000000000000,166.93100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257909,1,hand,lima-,,,1,
278104,2,left,marau-,,,2,
277378,3,right,akiaki-,,,72,
278522,4,leg/foot,sari-,,,73,
277210,5,"to walk",aleale,,,"10, 63",
258088,6,road/path,sala,,,1,
271170,7,"to come",sumai,,,1,
277060,8,"to turn",riβnasia,,,119,
271350,9,"to swim",karu,,,5,
259730,11,dust,asu-na,,,41,
279055,12,skin,uriuri-,,,"1, 80",
276156,13,back,aku-,,,12,
262334,14,belly,pane-,,,76,
278876,15,bone,sui-,,,52,
263858,16,intestines,tali-,,,76,
266940,17,liver,mape-,,,7,
260066,18,breast,susu-,,,1,
256227,19,shoulder,pili-,,,38,
274957,20,"to know, be knowledgeable",pisisia,,,5,
276756,21,"to think",komikomia,,,61,
274396,22,"to fear",matatau,,,1,
278700,23,blood,kae-,,,1,
254958,24,head,patu-,,,9,
259575,25,neck,komi-,,,82,
266766,26,hair,βulu-,,,31,
279233,27,nose,nasu-,,,"1,57",
273476,28,"to breathe",nora,,,74,
275843,29,"to sniff, smell",masumasunia,,,80,
283327,30,mouth,tˢino-,,,"55, 73",
281370,31,tooth,ako-,,,42,
280588,32,tongue,meme-,,,"7, 41",
272427,33,"to laugh",mana,,,51,
270641,34,"to cry",tani,,,1,
270992,35,"to vomit",lua,,,8,
273315,36,"to spit",loto,,,37,
271530,37,"to eat",aniani,,,1,
261808,39,"to cook",tˢalae,,,98,
274240,40,"to drink",tˢimi,,,52,
270282,41,"to bite",atia,,,"1, 55",
276614,42,"to suck",imia,,,"51, 54",
278338,43,ear,poro-,,,16,
270459,44,"to hear",ronoa,,,1,
282613,45,eye,mata-,,,1,
270102,46,"to see",lesia,,,"14, 94",
272248,48,"to sleep",tˢuruβi,,,32,
275109,49,"to lie down",korei,,,74,
271892,51,"to sit",sakele,,,"118, 96",
271713,52,"to stand",turi,,,"2, 69",
280082,54,man/male,takuni,,,95,
280266,55,woman/female,pita,,,77,
279902,56,child,natu-,,,5,
279717,59,mother,tina-,,,1,
279536,60,father,tama-,,,1,
281192,61,house,ima,,,1,
280766,63,name,etˢe-,,,"1,41",
275414,64,"to say",βaraia,,,30,
259888,65,rope,asi,,,58,
273140,66,"to tie up, fasten",pesia,,,32,
276468,71,"to stab, pierce",totoa,,,82,
269925,72,"to hit",βotˢae,,,86,
274803,74,"to kill",losu-mateia,,,"59, 2",
270818,75,"to die, be dead",mate,,,1,
275262,76,"to live, be alive",toleleo,,,,
275575,77,"to scratch",karukarumia,,,59,
273931,78,"to cut, hack",taia,,,1,
259409,79,stick/wood,matˢa,,,24,
275994,80,"to split",salakalai,,,83,
264148,81,sharp,ati,,,"14, 84",
267414,83,"to work",βoko,,,85,
276318,88,"to squeeze",ekia,,,,
272776,89,"to hold",kaia,,,3,
274085,90,"to dig",elia,,,1,
276906,94,"to throw",pulaia,,,86,
272074,95,"to fall",tˢoβi,,,13,
281549,96,dog,βiriu,,,"7, 75, 77, 80",
282257,97,bird,matˢi,,,24,
282078,98,egg,sile-,,,56,
283149,100,wing,apapa-na,,,"1, 12",
272955,101,"to fly",sale,,,31,
282972,102,rat,ariβi,,,18,
283805,103,meat/flesh,βisio-,,,10,
279394,104,fat/grease,rui-,,,104,
283506,105,tail,βiki-,,,76,
281907,106,snake,"mas paraβu",,,12,
281728,108,louse,utu,,,1,
282437,109,mosquito,mui,,,"1,80",
282793,111,fish,sereni,,,,
263998,112,rotten,kana,,,97,
283964,114,leaf,rau-,,,1,
255556,115,root,toβu-na,,,,
255121,116,flower,βusoi,,,53,
255253,117,fruit,nama-na,,,34,
255408,118,grass,palis,,,"1, 81",
258601,119,earth/soil,lepa,,,"11, 73",
257105,120,stone,sule,,,19,
256927,121,sand,suβusi,,,77,
256571,122,water,ai,,,2,
274545,123,"to flow",aleale,,,38,
259107,124,sea,tasi,,,1,
259043,126,lake,nopu,,,,
259261,128,sky,tuka,,,62,
255877,129,moon,βula,,,1,
256056,130,star,matˢoi,,,13,
256393,131,cloud,koko,,,90,
258925,132,fog,lapolopo,,,65,
256748,133,rain,usa,,,1,
258776,134,thunder,pirin,,,80,
258266,136,wind,lani,,,"1, 77",
272601,137,"to blow",farsisi,,,60,
267543,138,warm,βaruni,,,91,
262845,139,cold,makiki,,,,
261980,140,dry,koru,,,29,
262158,141,wet,mekimekina,,,35,
262512,142,heavy,pueti,,,73,
257373,143,fire,mataimamara,,,,
273624,144,"to burn",sulia,,,4,
257552,145,smoke,asu-,,,2,
257730,146,ash,awipota,,,,
260239,147,black,βiriβiri,,,29,
260419,148,white,βoke,,,13,
260598,149,red,ara,,,53,
260776,150,yellow,matˢina,,,71,
260936,151,green,etˢa,,,8,
261274,152,small,riri,,,66,
261091,153,big,βunana,,,105,
263139,155,long,paraβu,,,"16, 85",
262687,160,"painful, sick",tˢalo,,,35,
263554,162,old,βarese,,,123,
263402,163,new,paroparo,,,"1, 47",
261456,164,good,kuni,,,,
261635,165,"bad, evil",tei,,,104,
263712,166,"correct, true",tataolo,,,,
267683,167,night,pon,,,1,
268023,168,day,ran,,,6,
267861,169,year,taon,,,1,
267108,170,when?,tanpon,,,,
267267,181,where?,neβea,,,"3, 35",
268191,182,I,nau,,,"1,21,22",
268370,183,thou,ingo,,,"1, 17",
268551,184,he/she,inia,,,"1,6",
268728,185,we,inge,"pl. incl.",,"I46, I47",
268905,185,we,inga,"pl. excl.",,E,
269081,186,you,inkomiu,pl.,,"1,13",
269259,187,they,ira,they,,"1, 70",
266587,188,what?,saβa,,,1,
266408,189,who?,"i sei",,,1,
273777,196,"to count",eβia,,,70,
264588,197,One,ese,,,1,
264770,198,Two,rua,,,1,
264948,199,Three,tolu,,,1,
265126,200,Four,βati,,,"1,65",
265304,201,Five,lima,,,1,
265482,202,Six,lima-raβe,,,35,
265655,203,Seven,raβua,,,13,
265828,204,Eight,ra-tolu,,,"5, 7",
265997,205,Nine,ra-pati,,,20,
266171,206,Ten,sanaβulu,,,5,
