id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1170,"Uripiv-Wala-Rano-Atchin (Pinalum)","Tryon (1976)",upv,urip1239,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-16.00950000000000000000,167.34640000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257954,1,hand,ne-βre-k,,,16,
278147,2,left,ni-mʷair,,,"1,59",
277421,3,right,ni-mʷatu,,,"5, 37",
278567,4,leg/foot,ᵐbəla-k,,,33,
277247,5,"to walk",-wel,,,10,
258131,6,road/path,sel,,,1,
271214,7,"to come",-wemæ,,,"25,1",
277094,8,"to turn",-rurim,,,"34, 106",
271393,9,"to swim",-lalos,,,8,
263026,10,dirty,muro,,,87,
259762,11,dust,ᵐbʷeti-mʷau,,,"86,76",
279100,12,skin,ne-βluβlu-k,,,"1, 81",
276201,13,back,ⁿdotəre-k,,,"82, 81",
262379,14,belly,ⁿdəpai-k,,,"36, 99",
278922,15,bone,tˢi-k,,,"2, 31",
263890,16,intestines,čine-k,,,1,
266982,17,liver,ne-re-k,,,41,
260109,18,breast,na-sus,,,1,
256269,19,shoulder,ᵐberpari-k,,,"1, 65",
274992,20,"to know, be knowledgeable",-roŋʷosi,,,"19, 90",
276791,21,"to think",-rormi,,,13,
274432,22,"to fear",-mto,,,1,
278743,23,blood,ra-k,,,1,
255002,24,head,ᵐbatu-k,,,9,
259620,25,neck,ᵐburisla-k,,,68?,
266810,26,hair,ro-ᵐbatu-k,,,"34, 60",
279277,27,nose,ᵑgunsi-k,,,"1,58",
273510,28,"to breathe",-paŋus,,,36,
275878,29,"to sniff, smell",-paŋusi,,,64,
283372,30,mouth,no-wo-k,,,41,
281414,31,tooth,ni-lwo-k,,,"1,35",
280633,32,tongue,ne-me-k,,,7,
272470,33,"to laugh",-men,,,51,
270684,34,"to cry",-teŋ,,,1,
271035,35,"to vomit",-lu,,,8,
273358,36,"to spit",-mœltœβ,,,"37,102",
271575,37,"to eat",-wain,,,1,
261850,39,"to cook",masos,,,"19, 82",
274277,40,"to drink",-mini,,,"1,49",
270326,41,"to bite",-mači,,,"1,55",
276647,42,"to suck",-sus,,,25,
278383,43,ear,ᵐboro-k,,,16,
270503,44,"to hear",-re,,,57,
282658,45,eye,ne-mte-k,,,1,
270146,46,"to see",-lisi,,,"14, 94",
272292,48,"to sleep",-matur,,,1,
275144,49,"to lie down",-matur,,,37,
