id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1171,Sa,"Tryon (1976)",sax,saaa1241,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.95340000000000000000,168.22800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257887,1,hand,ra-k,,,16?,
278084,2,left,an-mər,,,"1,59",
277358,3,right,an-tur,,,53?,
278497,4,leg/foot,li-k,,,37,
277198,5,"to walk",-la,,,1,
258068,6,road/path,sal,,,1,
271150,7,"to come",-ma,,,1,
277049,8,"to turn",-tle,,,98,
271330,9,"to swim",-lolos,,,8,
262993,10,dirty,mamlilis,,,43?,
259721,11,dust,subiŋ,,,83,
279035,12,skin,ᵐbʷela-k,,,23,
276136,13,back,ahalu-k,,,130,
262314,14,belly,teba-k,,,36,
278856,15,bone,ᵐbara-su-k,,,"52,59",
263846,16,intestines,tini-k,,,1,
266924,17,liver,mela-k,,,33,
260046,18,breast,su-k,,,1,
256209,19,shoulder,bʷa-k,,,65,
274945,20,"to know, be knowledgeable",-kli,,,18,
276745,21,"to think",-remi,,,13,
274384,22,"to fear",-mta,,,1,
278680,23,blood,ⁿdana-k,,,"1, 50",
254938,24,head,ᵐbutu-k,,,9,
259555,25,neck,mitna-k,,,64,
266746,26,hair,war-lu-k,,,31,
279213,27,nose,ᵑgusu-k,,,27,
273465,28,"to breathe",-pŋos,,,36,
275833,29,"to sniff, smell",-roŋo-bon,,,"42, 62",
283307,30,mouth,pa-k,,,41,
281350,31,tooth,lu-k,,,"1,35",
280568,32,tongue,me-k,,,7,
272407,33,"to laugh",-man,,,51,
270620,34,"to cry",-ŋar,,,5,
270972,35,"to vomit",-lu,,,8,
273295,36,"to spit",-kuhubi,,,19,
271510,37,"to eat",-ogan,,,"1,12",
261790,39,"to cook",ᵐpaŋ,,,,
274228,40,"to drink",-mini,,,"1,49",
270261,41,"to bite",-kəti,,,"1, 55",
276603,42,"to suck",-hemi,,,51,
278318,43,ear,ᵑgalŋi-k,,,"1, 41",
270439,44,"to hear",-roŋo,,,1,
282593,45,eye,mta-k,,,1,
270082,46,"to see",-lsi,,,"14, 94",
272228,48,"to sleep",-mčur,,,1,
275097,49,"to lie down",-pat,,,62,
271872,51,"to sit",-helu,,,"118, 96?",
271693,52,"to stand",-knun,,,2?,
280916,53,"person/human being",atuntun,,,"4,34",
280062,54,man/male,armʷan,,,"1,14",
280246,55,woman/female,isin,,,"1,106",
279882,56,child,wa-nču-k,,,5,
280418,57,husband,armʷan,,,17,
281021,58,wife,"nak isin",,,"5, 55",
279697,59,mother,ⁿdai-k,,,17,
279516,60,father,tema-k,,,1,
281172,61,house,im,,,1,
280746,63,name,si-k,,,1,
275402,64,"to say",-pe,,,"13, 103",
259868,65,rope,aula,,,28,
273119,66,"to tie up, fasten",-ᵐbiči,,,32,
275714,67,"to sew",-holoholo,,,32,
274680,69,"to hunt",-pnim,,,,
276457,71,"to stab, pierce",-dəru,,,14,
269906,72,"to hit",-osi,,,82,
274791,74,"to kill",-osi,,,,
270799,75,"to die, be dead",-mat,,,1,
275249,76,"to live, be alive",-miri,,,"1, 76",
275564,77,"to scratch",-karmu,,,1?,
273918,78,"to cut, hack",-ri,,,,
259397,79,stick/wood,ᵐbutua,,,,
275983,80,"to split",-taxobasi,,,,
264136,81,sharp,maᵑkan,,,14,
267402,83,"to work",oman,,,1,
276307,88,"to squeeze",-puhuni,,,"18, 71?",
272757,89,"to hold",-ᵑgiti,,,119,
274073,90,"to dig",-kili,,,1,
276895,94,"to throw",-pahani,,,43,
272054,95,"to fall",-mut,,,57,
281529,96,dog,kuli,,L,7,
282237,97,bird,ᵐbʷisil,,,30,
282058,98,egg,"asu to",,,69,
283658,99,feather,walu-n,,,1,
283129,100,wing,albe-n,,,2,
272935,101,"to fly",-ga,,,14,
282952,102,rat,wančuruma,,,72,
283794,103,meat/flesh,isinən,,,10?,
279382,104,fat/grease,mulul,,,76,
283486,105,tail,ᵑgere-n,,,39,
281886,106,snake,taltil,,,13,
281708,108,louse,ut,,,1,
282416,109,mosquito,ᵐbʷaᵑkan,,,35,
282773,111,fish,mahalo,,,52,
263986,112,rotten,mamdat,,,116,
283944,114,leaf,ra,,,1,
255545,115,root,libʷebtua,,,"18, 44",
255110,116,flower,wəña,,,1?,
255242,117,fruit,ᵐbaptua,,,,
255397,118,grass,račulus,,,82,
258582,119,earth/soil,tan,,,1,
257085,120,stone,at,,,1,
256907,121,sand,on,,,1,
256551,122,water,wa,,,2,
274534,123,"to flow",-sal,,,38,
259095,124,sea,tas,,,1,
257259,125,salt,tas,,,20,
255700,127,woods/forest,ᵐbubut,,,"83, 85",
259249,128,sky,taran,,,"1, 61",
255857,129,moon,ul,,,1,
256036,130,star,meso,,,13,
256373,131,cloud,ten-laŋ,,,"3, 36",
258913,132,fog,mau,,,"3, 32",
256728,133,rain,us,,,1,
258758,134,thunder,ᵐbarurut,,,84,
258424,135,lightning,ᵐbilbil,,,"26, 70",
258246,136,wind,laŋ,,,"1, 77",
272582,137,"to blow",-uw,,,4,
267535,138,warm,m-čunčun,,,12,
262832,139,cold,melas,,,51,
262833,139,cold,midit,,,1,
261960,140,dry,mʷatgir,,,,
262139,141,wet,mes,,,49,
262493,142,heavy,mya,,,46?,
257352,143,fire,ap,,,1,
273612,144,"to burn",-paŋsi,,,"39, 91",
257532,145,smoke,su-ap,,,2,
257710,146,ash,tasip,,,,
260219,147,black,mamlek,,,41,
260399,148,white,palpal,,,3?,
260578,149,red,ŋiŋi,,,41?,
260756,150,yellow,litlit,,,43,
260924,151,green,maksansan,,,8,
261254,152,small,betkan,,,140,
261071,153,big,betlap,,,"10, 83, 107",
263127,155,long,mabra,,,16?,
264424,156,thin,mamnini,,,1?,
264287,157,thick,mamtil,,,3,
263274,158,narrow,betkan,small,,,
262668,160,"painful, sick",tabʷi,,,120,
261435,164,good,ᵐbetu,,,120?,
261615,165,"bad, evil",saŋa,,,"1, 100",
263700,166,"correct, true",ᵐbetu,good,,X,
267664,167,night,ut-buŋ,,,"1,67",
268011,168,day,ran,,,6,
267842,169,year,ⁿdam,,,30,
267090,170,when?,naŋis,,,"1,43",
277826,174,"in, inside",lon,,,"1,72",
278246,177,this,unlo,,,62?,
278014,178,that,unre,,,,
277891,179,near,ᵐbʷilan,,,103,
277631,180,far,tireut,,,,
267256,181,where?,ᵐbi,,,"3, 59",
268172,182,I,ni,,,"1,21,22",
268350,183,thou,ik,,,1,
268531,184,he/she,i,,,1,
268708,185,we,kit,"pl. incl.",,I,
268886,185,we,ᵑgema,"pl. excl.",,E,
269414,185,we,kaku,"dl. incl.",,,
269540,185,we,məraku,"dl. excl.",,,
269060,186,you,ᵑgimi,pl.,,"1,13",
269660,186,you,mnaku,dl.,,x,
269239,187,they,ir,they,,"1, 70",
269782,187,they,raku,"they (dual)",,x,
266567,188,what?,sa,,,"1, 33",
266388,189,who?,si,,,1,
277521,191,all,ᵐboŋa,,,82,
277573,192,and,ai,,,34?,
277769,193,if,metpe,,,,
277707,194,how?,papanlo,,,,
277961,195,"no, not",ta,,,4,
273765,196,"to count",-pʷilpʷil,,,"1, 13",
264568,197,One,su,,,5,
264750,198,Two,ru,,,1,
264928,199,Three,til,,,1,
265106,200,Four,it,,,"1,65?",
265284,201,Five,lim,,,1,
265462,202,Six,liti,,,20,
265635,203,Seven,lu-ru,,,2,
265808,204,Eight,li-til,,,"5, 7",
265977,205,Nine,lia-pat,,,20,
266150,206,Ten,soŋil,,,5,
