id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1172,Nume,"Tryon (1976)",tgs,nume1241,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, East Vanuatu","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-14.20900000000000000000,167.56200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257866,1,hand,lima-k,,,1,
278064,2,left,ɣala-k,,,14,
277337,3,right,matu-k,,,"5, 37",
278476,4,leg/foot,na-roŋo-k,,,17,
277183,5,"to walk","βan kilkil",,,2,
258047,6,road/path,sal,,,1,
271128,7,"to come","βana ma",,,"1, 23",
277034,8,"to turn",atʳis,,,107,
271309,9,"to swim",ɣar,,,5,
262977,10,dirty,βe-ᵐbulu,,,67,
279014,12,skin,βini-k,,,28,
276115,13,back,tarmʷu-k,"actually /tarwu-k/",,12,
262293,14,belly,taᵏpʷa-k,,,36,
278835,15,bone,suru-k,,,52,
263832,16,intestines,na-sina-k,,,1,
266904,17,liver,βara-k,,,17,
260027,18,breast,susu-k,,,1,
256190,19,shoulder,kʷet-pini-k,,,"65,36",
274929,20,"to know, be knowledgeable","murus teɣil",,,"18, 93",
276729,21,"to think",ⁿduⁿdum,,,13,
274368,22,"to fear",ᵏpʷænæ,,,32,
278659,23,blood,ⁿdara-k,,,1,
254917,24,head,kʷotu-k,,,9,
259534,25,neck,ɣande-k,,,,
266725,26,hair,βulu-k,,,31,
279192,27,nose,muⁿdu-k,,,14,
273450,28,"to breathe",mæmsæŋ,,,14,
275817,29,"to sniff, smell",roŋo-ᵐbun,,,"42, 62",
283287,30,mouth,βala-k,,,42,
281329,31,tooth,liwo-k,,,"1,35",
280547,32,tongue,mia-k,,,7,
272386,33,"to laugh",βetŋel,,,"84, 49",
270599,34,"to cry",teŋ,,,1,
270951,35,"to vomit",lulu,,,8,
273275,36,"to spit",lot,,,37,
271489,37,"to eat",ɣen,,,1,
261771,39,"to cook",monoɣ,,,21,
274212,40,"to drink",sim,,,52,
270240,41,"to bite",ɣaret,,,1,
276588,42,"to suck",ⁿderemut,"[AF] (wrong form - this means 'sweet')",,,
278297,43,ear,kʷoro-k,,,16,
270418,44,"to hear",roŋote,,,"1, 55",
282572,45,eye,mata-k,,,1,
270060,46,"to see",kere,,,1?,
272207,48,"to sleep",ŋor,,,63,
275081,49,"to lie down",ŋor,,,61,
271851,51,"to sit",sa,,,72,
271672,52,"to stand",tur,,,"2, 69",
280902,53,"person/human being",tuartuⁿdun,,,"4, 51",
280040,54,man/male,mʷerat,,,"73, 14",
280225,55,woman/female,taua,,,24,
279861,56,child,nutu-k,,,5,
280404,57,husband,asa-k,,,2,
281005,58,wife,asa-k,,,1,
279676,59,mother,raββe-k,,,"20, 47",
279495,60,father,tama-k,,,1,
281150,61,house,ɣoβur,,,45,
280725,63,name,sisi-k,,,"1, 34",
275385,64,"to say",mænæs,,,111,
259847,65,rope,ɣa,,,25,
273096,66,"to tie up, fasten",liɣ,,,"1,39",
275702,67,"to sew",susur,,,"15, 59",
274665,69,"to hunt","be susur",,,,
276442,71,"to stab, pierce",ɣos,,,83,
269883,72,"to hit",tu,,,8,
274775,74,"to kill",βus,,,26,
270778,75,"to die, be dead",mat,,,1,
275235,76,"to live, be alive",es,,,24,
275548,77,"to scratch",ɣar,,,12,
273902,78,"to cut, hack",tar,,,1,
259381,79,stick/wood,raɣæ,*rakayu,,"1, 25",
275966,80,"to split","tar wor",,,1,
264120,81,sharp,βe-seser,,,19,
276291,88,"to squeeze",ɣiβir,,,16,
272735,89,"to hold",ter,,,35,
274057,90,"to dig",ɣil,,,1,
276879,94,"to throw",βiβir,,,30,
272033,95,"to fall",so,,,13,
281508,96,dog,tok,"English term only remembered.",L,73,
282216,97,bird,man,,,1,
282037,98,egg,waswas,,,69,
283643,99,feather,βol-man,,,1,
283109,100,wing,ᵐbin,,,2,
272913,101,"to fly",ɣaβ,,,14,
282931,102,rat,ɣosuɣ,,,3,
283778,103,meat/flesh,misiɣiβin,,,,
279370,104,fat/grease,waraken,,,39,
283466,105,tail,ɣoi,,,"1, 58",
281864,106,snake,mʷat,,,12,
281687,108,louse,wuwut,,,1,
282395,109,mosquito,nam,,,1,
282752,111,fish,weɣ,,,1,
263971,112,rotten,βe-ⁿdar,,,19,
283923,114,leaf,ⁿdon,,,1,
255529,115,root,ɣerin,,,"2, 41",
255094,116,flower,taβaɣes,,,34,
255226,117,fruit,wewereɣa,,,"1, 26, 38?",
255381,118,grass,we-βelis,,,1,
257064,120,stone,βat,,,1,
256886,121,sand,w-on,,,1,
256530,122,water,ᵐbe,,,28,
274522,123,"to flow",sæl,,,38,
259080,124,sea,nau,,,42,
257243,125,salt,nau,,,30,
259028,126,lake,tes,,,,
255684,127,woods/forest,leβewon,,,"81, 82",
259233,128,sky,miliɣ,cloud?,,"1, 64",
255836,129,moon,wo-βul,,,1,
256015,130,star,wi-βti,,,1,
256352,131,cloud,ᵐbulu,,,95,
258902,132,fog,maraβ,,,"3, 32",
256707,133,rain,re,,,48,
258739,134,thunder,we-βil,,,23,
258403,135,lightning,waŋ,,,12,
258225,136,wind,leŋ,,,"1, 77",
272561,137,"to blow",wuw,,,4,
267522,138,warm,βe-tutun,,,12,
262816,139,cold,malas,,,51,
261938,140,dry,mamas,,,11,
262118,141,wet,ᵐbom,,,15,
262472,142,heavy,weⁿd,,,76,
257331,143,fire,w-eβ,,,1,
273597,144,"to burn",tiŋit,,,85,
257511,145,smoke,w-as,,,2,
257689,146,ash,matoŋos,,,,
260198,147,black,wiriwiriɣ,,,29,
260378,148,white,wewend,,,100,
260557,149,red,me,,,1,
260735,150,yellow,aŋaŋor,,,"9, 81",
260910,151,green,βe-turturuɣ,,,70,
261233,152,small,wistik,,,"121, 46",
261050,153,big,laβ,,,10,
263111,155,long,βe-sælɣin,,,,
264408,156,thin,βe-meβinβin,,,"1, 50",
264272,157,thick,βe-tutuᵐb,,,57,
263265,158,narrow,wiskit,small,,82,
262648,160,"painful, sick",semʷ,,,111,
263528,162,old,taraⁿdəti,,,,
263375,163,new,βe-ɣarakʷ,,,9,
261414,164,good,ᵐboŋ,,,,
261594,165,"bad, evil",tes,,,"1, 99",
263684,166,"correct, true",βeᵐboŋ,good,,X,
267643,167,night,kʷoŋ,,,1,
267995,168,day,maren,,,6,
267820,169,year,tau,,,1,
267069,170,when?,aŋes,,,"1,41",
277813,174,"in, inside",alon,,,1,
278238,177,this,kere,,,,
278006,178,that,keren,,,,
277881,179,near,aᵐbəti,,,,
277617,180,far,aras,,,32,
268151,182,I,na,,,"1,21,22",
268329,183,thou,nik,,,"1, 18",
268510,184,he/she,ni,,,"1,6",
268687,185,we,ɣiⁿd,"pl. incl.",,I,
268865,185,we,kama,"pl. excl.",,E,
269395,185,we,ⁿduru,"dl. incl.",,,
269521,185,we,kamar,"dl. excl.",,,
269039,186,you,kimi,pl.,,"1,13",
269641,186,you,kumur,dl.,,x,
269218,187,they,nir,they,,"1, 33",
269763,187,they,ruru,"they (dual)",,x,
266546,188,what?,sa,,,"1, 33",
266367,189,who?,se,,,1,
266296,190,other,tuar,,,61,
277510,191,all,ⁿdul,,,15,
277696,194,how?,taŋneaβe,,,,
277950,195,"no, not",ᵐbek,,,,
273749,196,"to count",luwun,,,81,
264545,197,One,tuwal,,,9,
264729,198,Two,i-ru,,,1,
264907,199,Three,i-tol,,,1,
265085,200,Four,i-βet,,,"1,65",
265263,201,Five,tiβi-lim,,,"11, 1",
265441,202,Six,leβe-te,,,20,
265614,203,Seven,leβe-ru,,,13,
265787,204,Eight,leβe-tol,,,"5, 7",
265956,205,Nine,leβe-βet,,,20,
266129,206,Ten,saŋuβul,,,5,
