id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1179,"Wusi (Nonona)","Tryon (1976)",wsi,wusi1237,"Tryon, DT. 1976. New Hebrides Languages: An internal classification. Canberra: Pacific Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo","Kirsty Maurits",,"@book{52375,  address               = {Canberra},  note                  = {Bibliography: p. 541-545.},  pages                 = {v+545},  publisher             = {Research School of Pacific and Asian Studies, Australian National University},  series                = {Pacific Linguistics: Series C},  title                 = {New Hebrides Languages: An Internal Classification},  volume                = {50},  year                  = {1976},  bibtexkey             = {tryon_hebrides-internal1976},  class_loc             = {PL6211.N44},  document_type         = {B},  fn                    = {papua\tryon_new-hebrides1976pages.pdf, papua\tryon_new-hebrides1976.pdf, papua\tryon_new-hebrides1976pages_o.pdf},  hhtype                = {overview;comparative;wordlist},  inlg                  = {English [eng]},  inlg_code             = {eng},  isbn                  = {9780858831520},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6211 .N44 TRY 1976},  src                   = {hh, mpieva},  srctrickle            = {hh#hvw:Tryon:NewHebrides, mpieva#Tryon1976NewHebri},  subject_headings      = {Vanuatu–Languages, Melanesian languages–Vanuatu–Classification, Vanuatu–Languages – Melanesian languages–Vanuatu–Classification},  author                = {Tryon, Darrell T.}}"
latitude,longitude
-15.27860000000000000000,166.69600000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
257901,1,hand,βakuku-,,,,
257902,1,hand,lima-,,,1,
278097,2,left,marau-,,,2,
277371,3,right,tutuβa-,,,"5,70",
278513,4,leg/foot,palo-,,,33,
278514,4,leg/foot,sari-,,,73,
277204,5,"to walk",aliali,,,"10, 63",
258081,6,road/path,sala,,,1,
271163,7,"to come",βe·,,,24,
277054,8,"to turn",porieni,,,28,
271343,9,"to swim",karo,,,5,
262998,10,dirty,merou,,,24,
259726,11,dust,asu-,,,41,
279048,12,skin,βenu-,,,28,
276149,13,back,tao-,,,12,
262327,14,belly,tia-,,,1,
278869,15,bone,sui-,,,52,
263852,16,intestines,tali-,,,76,
266933,17,liver,mape-,,,7,
260059,18,breast,susu-,,,1,
256220,19,shoulder,pili-,,,38,
274951,20,"to know, be knowledgeable",tei,,,,
276750,21,"to think",ḍomiḍomi,,,13,
274390,22,"to fear",matau,,,1,
278693,23,blood,ḍae-,,,1,
254951,24,head,patu-,,,9,
259568,25,neck,ḍolo-,,,42,
266759,26,hair,βulu-,,,31,
279226,27,nose,malsu-,,,"1,56",
273470,28,"to breathe",noro,,,74,
275837,29,"to sniff, smell",ᵐponaina,,,42,
283320,30,mouth,βaβa-,,,1,
281363,31,tooth,uḍu-,,,18,
280581,32,tongue,mimi-,,,"7, 41",
272420,33,"to laugh",uru,,,13,
270634,34,"to cry",ulo,,,59,
270985,35,"to vomit",lulua,,,8,
273308,36,"to spit",loto,,,37,
271523,37,"to eat",aniani,,,1,
261801,39,"to cook",maka,,,19,
274234,40,"to drink",koko,,,54,
270275,41,"to bite",eti,,,"1, 55",
276607,42,"to suck",tˢimitˢimi,,,51,
278331,43,ear,talina-,,,1,
270452,44,"to hear",rone,,,1,
282606,45,eye,mata-,,,1,
270095,46,"to see",ile,,,18,
272241,48,"to sleep",nuralaβi,,,91,
275103,49,"to lie down",misimisi,,,,
271885,51,"to sit",sari·,,,115,
271706,52,"to stand",turi,,,"2, 69",
280075,54,man/male,taoḍu,,,"22, 85",
280259,55,woman/female,laβina,,,"1,73",
279895,56,child,matu-,,,"5, 47",
280423,57,husband,taoḍu,,,"18, 40",
281026,58,wife,laβina,,,"5, 96",
279710,59,mother,pui-,,,54,
279529,60,father,tama-,,,1,
281185,61,house,βanua,,,7,
280759,63,name,ese-,,,"1,41",
275408,64,"to say",βirei,,,30,
259881,65,rope,asi,,,58,
273133,66,"to tie up, fasten",toβisi,,,32,
274684,69,"to hunt",aβeaβe,,,,
276463,71,"to stab, pierce",tˢiβi,,,,
269919,72,"to hit",apote,,,91,
