id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1183,Enggano,"Stockhof (1987)",eno,engg1245,"Stockhof W. A. L. (1987) Holle Lists: Vocabularies in Languages of Indonesia Vol. 10/3 Islands off the West Coast of Sumatra",,"Austronesian, Malayo-Polynesian","Kirsty Maurits",,"@book{325190,  publisher  = {Research School of Pacific and Asian Studies, The Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {Holle Lists: Vocabularies in Languages of Indonesia, Vol.10/3: Islands off the West Coast of Sumatra},  volume     = {76},  year       = {1987},  bibtexkey  = {stokhof_off-sumatra1987},  fn         = {papua\stokhof_west-coast-sumatra1987.pdf},  hhtype     = {wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#w:Stokhof:Holle:1987},  author     = {Stokhof, W. A. L.}}"
latitude,longitude
-5.38850000000000000000,102.24500000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
285093,1,hand,èafŏ,,,,
285094,2,left,èèfè,,,,
285095,3,right,èloeba,,,,
285096,4,leg/foot,ija(k)è,,,,
285276,5,"to walk",djalan,,,,
285277,5,"to walk",èèkowĕ,,,,
285098,6,road/path,èèkŏwĕ,,,,
285099,9,"to swim",māākŏ,,,,
285100,12,skin,èoelie,,,,
285278,13,back,èkahāe,,,,
285279,13,back,hahapaoe,,,,
285102,14,belly,èkiedai,,,,
285103,15,bone,èā,,,,
285104,17,liver,kèma,,,,
285280,18,breast,èămah,,,,
285281,18,breast,èkŏkŏ(k),,,,
285259,20,"to know, be knowledgeable",akida(k),,,,
285260,20,"to know, be knowledgeable",oewakaki,,,,
285261,20,"to know, be knowledgeable",kidak,,,,
285262,20,"to know, be knowledgeable","oewa āpoe hāja(k)",,,,
285263,20,"to know, be knowledgeable",kaboehaja(k),,,,
285264,20,"to know, be knowledgeable",kidĕhaoe,,,,
285265,20,"to know, be knowledgeable",oemahaoe,,,,
285107,21,"to think",pōhōja(k),,,,
285108,23,blood,"kijakki <kija'kki?>",,,,
285282,24,head,èoeloe,,,,
285283,24,head,èoedoe,,,,
285110,25,neck,ehanoe(k),,,,
285111,26,hair,"poeroeroe èoeloe",,,,
285284,27,nose,èfanoe,,,,
285285,27,nose,èpanoe,,,,
285113,28,"to breathe",ahŏpŏ(k),,,,
285114,30,mouth,èkāā,,,,
285115,31,tooth,nienie,,,,
285286,32,tongue,èlieŏ,,,,
285287,32,tongue,èdieŏ,,,,
285288,33,"to laugh",abaoekakaj,,,,
285289,33,"to laugh",ĕo(k)oi,,,,
285118,34,"to cry",bèlo,,,,
285119,37,"to eat",amĕnŏ(k),,,,
285120,39,"to cook",pahaboehă,,,,
285121,40,"to drink",iedjo,,,,
285251,43,ear,kariehā,,,,
285252,43,ear,kaliehĕ,,,,
285123,45,eye,èbaka,,,,
285124,47,"to yawn",èfāwāfŏ,,,,
285125,48,"to sleep",oewŏhŏ,,,,
285126,49,"to lie down",wakahadŏ,,,,
285127,50,"to dream",māāniha,,,,
285290,51,"to sit",èhekoe,,,,
285291,51,"to sit",pakomakja,,,,
285129,52,"to stand",maènoe,,,,
285130,53,"person/human being",èhāhā(k),people,,,
285131,54,man/male,èmanī,,,,
285132,55,woman/female,èhōda,,,,
285133,56,child,èara,,,,
285292,57,husband,dadoe(k),,,,
285293,57,husband,èanŏ(k),,,,
285135,58,wife,"lahè boewă(k)",,,,
285294,59,mother,naè,ref.,,,
285295,59,mother,naèna,,,,
285296,60,father,ama,ref.,,,
285297,60,father,amana,,,,
285138,61,house,èobĕ,,,,
285298,62,thatch/roof,ko(k)èko(k),,,,
285299,62,thatch/roof,anèka,,,,
285300,62,thatch/roof,èkèo(k),,,,
285140,63,name,"nioennā tīō",,,,
285301,65,rope,èko(k)ia,,,,
285302,65,rope,kadīkakālie,,,,
285303,65,rope,èŏkŏ(k),,,,
285304,66,"to tie up, fasten",ami(k)ī(k),,,,
285305,66,"to tie up, fasten",afamī(k),,,,
285143,70,"to shoot",afŏŏkie,,,,
285306,72,"to hit","kiā hoeŏ",,,,
285307,72,"to hit",abaanbŏ,,,,
285308,72,"to hit",oebidji,,,,
285309,72,"to hit",idjī,,,,
285310,72,"to hit",èkiĕĕ,,,,
285311,72,"to hit",moeoe,,,,
285312,72,"to hit","moho(k) oekie",,,,
285145,74,"to kill",patăhālè,,,,
285146,75,"to die, be dead",hŏpanènèĕ,,,,
285147,76,"to live, be alive",kŏŏda,,,,
285148,81,sharp,èădŏ,,,,
285149,82,"dull, blunt",kahaoe(k),,,,
285150,83,"to work",kehafariek,,,,
285313,90,"to dig",mainŏk,,,,
285314,90,"to dig",homainŏk,,,,
285315,90,"to dig",mŏhŏmŏ(k),,,,
285152,91,"to buy",oeabaōdie,,,,
285316,92,"to open, uncover",poekai,,,,
285317,92,"to open, uncover",koie,,,,
285154,96,dog,bèo,,,,
285155,97,bird,kèèfa,,,,
285156,98,egg,èara,,,,
285157,99,feather,poeroeroei,,,,
285158,100,wing,"èfa èfa",,,,
285318,102,rat,èhoewā,,,,
285319,102,rat,èpèhĕja,,,,
285320,102,rat,kĕwānoe,,,,
285160,104,fat/grease,èo,,,,
285321,105,tail,èaidiă,,,,
285322,105,tail,hŏkai,,,,
285162,106,snake,èanōà,,,,
285163,107,"worm (earthworm)",èhŏdŏ(k),,,,
285323,108,louse,èhikoe,,,,
285324,108,louse,eàboedŏdŏ,,,,
285165,109,mosquito,kiija,,,,
285166,110,spider,poekĕha,,,,
285167,111,fish,eàjo,,,,
285325,113,branch,èko(k),,,,
285326,113,branch,èafodiĕ,,,,
285327,113,branch,èkoena,,,,
285328,114,leaf,èfoenoe,,,,
285329,114,leaf,kihoedŏ,,,,
285330,115,root,èba,,,,
285331,115,root,"pokok akar",,,,
285332,115,root,èpāha,,,,
285333,116,flower,èpfoejĕ,,,,
285334,116,flower,kafèfo,,,,
285172,117,fruit,èhoewa,,,,
285253,118,grass,ŏwahŏdā,,,,
285254,118,grass,èiefoe,,,,
285255,118,grass,akŏmā,,,,
285256,118,grass,ijahŏmā,,,,
285174,119,earth/soil,èloffo,,,,
285335,120,stone,èèja(k),,,,
285336,120,stone,(igigja?),,,,
285337,121,sand,èoehoe,,,,
285338,121,sand,haoehaoe,,,,
285177,122,water,èbŏ,,,,
285178,124,sea,èoewè,,,,
285179,125,salt,sajoer,,,,
285180,127,woods/forest,èŏkoewĕ,,,,
285181,128,sky,"èalahoe (awan awan)",,,,
285182,129,moon,ekanooe,,,,
285339,130,star,eafi-doewa,,,,
285340,130,star,kamīmī,,,,
285341,131,cloud,kaèlahoe,,,,
285342,131,cloud,èalahoe,,,,
285343,133,rain,kalinaha(k),,,,
285344,133,rain,èbo,,,,
285345,133,rain,"poeāri poeāri",,,,
285346,134,thunder,èalahoe,,,,
285347,134,thunder,pakoeda,,,,
285348,136,wind,èkijoe,,,,
285349,136,wind,lakŏha(k),,,,
285350,138,warm,kohorijo,,,,
285351,138,warm,kaīdahandĕ,,,,
285352,139,cold,èèho,,,,
285353,139,cold,kaäfoeā,,,,
285354,140,dry,kaäkihi,,,,
285355,140,dry,makiha(k),,,,
285356,141,wet,kamoko,,,,
285357,141,wet,kidebo,,,,
285358,143,fire,èjobie,,,,
285359,143,fire,eapoeha,,,,
285360,143,fire,èafauje,,,,
285361,143,fire,pakoehoeĕ,,,,
285362,143,fire,kahihŏ,,,,
285363,143,fire,kidoeroeka,,,,
285364,144,"to burn",hangoes,,,,
285365,144,"to burn",kakiho(k),,,,
285194,145,smoke,ŏkŏ,,,,
285195,146,ash,èīpo(k),,,,
285366,147,black,kaākŏhŏ,,,,
285367,147,black,kahièhiè,,,,
285368,148,white,kahieābie,,,,
285369,148,white,kaŏrārie,,,,
285370,148,white,kaoerejĕ,,,,
285371,149,red,kaiekŏkŏ(k),,,,
285372,149,red,"kabŏ èlā",,,,
285199,150,yellow,kakidahaiĕ,,,,
285200,151,green,kakīnīfĕ,,,,
285373,152,small,nŏkie,,,,
285374,152,small,kikoeoekă,,,,
285375,152,small,kimoemoehĕ,,,,
285376,153,big,amoehŏ,,,,
285377,153,big,adèījĕ,,,,
285378,153,big,kakoeka,,,,
285379,153,big,kaaanwĕ,,,,
285380,154,short,kanefoe,,,,
285381,154,short,kakoeĕ,,,,
285382,154,short,keàbabŏdŏ,,,,
285204,155,long,aījŏnoe(k)oe,,,,
285383,156,thin,kanànè,,,,
285384,156,thin,kima(k),,,,
285385,156,thin,kimak,,,,
285386,157,thick,èafa(k),,,,
285387,157,thick,kiĕ,,,,
285388,158,narrow,kikoeoekă,,,,
285389,158,narrow,kimoemoehĕ,,,,
285208,159,wide,kidīdēhŏ(k),,,,
285390,162,old,kifienè,,,,
285391,162,old,èaak,,,,
285392,162,old,koeōdĕ,,,,
285393,163,new,nŏoninĕ,,,,
285394,163,new,pōbōdā,,,,
285395,164,good,kaoewe,,,,
285396,164,good,koina,,,,
285397,165,"bad, evil",èieboe,,,,
285398,165,"bad, evil",kiŏhā,,,,
285257,167,night,koahjĕ,,,,
285258,167,night,kafŏ,,,,
285405,168,day,kienŏhŏ,,,,
285406,168,day,haŏ(k)ha,,,,
285528,170,when?,nakoeānā,,,,
285529,170,when?,nāāfè,,,,
285530,171,"to hide",pienoekak,,,,
285531,171,"to hide",fakieoe,,,,
285532,171,"to hide",pakoeoe,,,,
285533,171,"to hide",karohajĕ,,,,
285534,171,"to hide","pakè èbŏ",,,,
285535,174,"in, inside",ihŏ,,,,
285536,174,"in, inside",pŏkŏ,,,,
285409,175,above,dèbè,,,,
285410,175,above,itèbè,,,,
285219,176,below,tŏfŏ,,,,
285537,177,this,èhĕ,,,,
285538,177,this,itèk,,,,
285266,178,that,itèk,,,,
285267,178,that,èana,,,,
285539,179,near,fanèna,,,,
285540,179,near,panè,,,,
285223,180,far,mil,,,,
285224,181,where?,ijāha,,,,
285225,182,I,oewā,,,,
285407,183,thou,ŏŏ,,,,
285408,183,thou,ĕĕ,,,,
285227,184,he/she,kija,he,,,
285541,185,we,oewā,incl,,,
285542,185,we,ikŏ,excl,,,
285399,186,you,ŏŏ,,,,
285400,186,you,ĕĕ,,,,
285230,187,they,kija,,,,
285231,188,what?,èijah,,,,
285543,189,who?,hŏhā,,,,
285544,189,who?,hā,,,,
285401,191,all,kidjĕrŏ,,,,
285402,191,all,haèloedă(k),,,,
285403,191,all,fakidja,,,,
285404,191,all,kèabak,,,,
285545,192,and,farakoa,,,,
285546,192,and,panako,,,,
285547,194,how?,kinŏnŏ,,,,
285548,194,how?,èŏdā,,,,
285549,195,"no, not","èara no(k)a",,,,
285550,195,"no, not",ijara(k),,,,
285237,197,One,kaik,,,"31,14",
285238,198,Two,adoewĕ/adoewa,,,,
285239,199,Three,akoloe,,,,
285240,200,Four,afa,,,,
285551,201,Five,aliba,,,,
285552,201,Five,aribĕ,,,,
285553,202,Six,kakinĕ,,,,
285554,202,Six,aki,,,,
285555,202,Six,akinĕ,,,,
285243,203,Seven,"ariba adoewĕ",,,,
285244,204,Eight,afai-īafā,,,,
285245,205,Nine,baikaik/ibaikaik,,,,
285556,206,Ten,kifahoek,,,,
285557,206,Ten,kāāfoeroe,,,,
285247,207,Twenty,"kaik taka",,,,
285248,208,Fifty,"adoewĕ takajo kifahoek",,,,
285249,209,"One Hundred","alibĕ taka",,,,
285250,210,"One Thousand","kifahoek taka",,,,
