id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1188,Houaïlou,"Leenhardt (1935)",aji,ajie1238,"Leenhardt, M. 1935. Vocabulaire et Grammaire de La Langue Houaïlou. Institut D'ethnologie. Paris",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Southern, South, Wailic","Kirsty Maurits","Simon Greenhill","@book{34363,  address               = {Paris},  pages                 = {vi+412},  publisher             = {Institut d'Ethnologie},  series                = {Travaux et Mémoires de l'Institut d'Ethnologie},  title                 = {Vocabulaire et grammaire de la langue houaïlou},  volume                = {10},  year                  = {1935},  bibtexkey             = {leenhardt_vocabulaire-houailou1935},  class_loc             = {PL6263},  document_type         = {B},  fn                    = {papua\leenhardt_houailou1935.pdf, papua/leenhardt_houailou1935.pdf},  hhtype                = {grammar_sketch;dictionary},  inlg                  = {French [fra]},  inlg_code             = {fra},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 6263 LEE 1935},  mpifn                 = {houailou_leenhardt1935.pdf},  src                   = {hh, mpieva},  srctrickle            = {hh#sd:Leenhardt:Houailou, mpieva#Leenhardt1935Vocabula},  subject_headings      = {New Caledonia–Languages, New Caledonia–Languages},  author                = {Leenhardt, Maurice}}"
latitude,longitude
-21.30290000000000000000,165.46800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
286232,1,hand,e,,,11,
286233,2,left,dara,,,29,
286234,3,right,gamë,,,,
286235,3,right,tari,,,,
286236,4,leg/foot,juâ,leg,,56,
286237,4,leg/foot,"kowi xeria",foot,,54,
286238,5,"to walk",vana,,,2,
286239,6,road/path,weye,,,30,
286240,7,"to come",joiè,,,,
286241,7,"to come",mi,,,1,
286242,8,"to turn",bi,,,84,
286243,8,"to turn",bia,,,84,
286244,8,"to turn",biri,,,92,
286245,8,"to turn",jobiri,,,92,
286246,8,"to turn",pugewe,,,92?,
286247,9,"to swim",u,,,5,
286248,10,dirty,kojë,,,,
286249,10,dirty,lo,,,,
286250,10,dirty,siuru,,,,
286251,11,dust,"puru jë",,,"20,6",
286252,12,skin,kar̃a,,,1,
286253,13,back,dè,"Is this 11 or 12?",,82,
286254,14,belly,poe,,,36,
286255,15,bone,ju,,,2,
286256,16,intestines,koena,,,82,
286257,17,liver,kamērē,,,62,
286258,18,breast,pèwâ,,,,
286259,18,breast,mèsâ,,,"8, 60",
286260,18,breast,mèji,,,"8, 1",
286261,19,shoulder,begunu,,,64,
286262,20,"to know, be knowledgeable",tawai,,,1,
286263,21,"to think",tanexai,,,,
286264,21,"to think",goani,,,,
286265,21,"to think",nege,,,,
286266,23,blood,wara,,,"65,1",
286267,24,head,go,,,9,
286268,24,head,goa,,,9,
286269,25,neck,koegunu,,,23,
286270,26,hair,"punu goa",,,31,
286271,27,nose,kwi,,,11,
286272,28,"to breathe",ku,,,,
286273,28,"to breathe",mui,,,,
286274,29,"to sniff, smell",bo,,,42,
286275,29,"to sniff, smell",tapè,,,113,
286276,30,mouth,newâ,,,36,
286277,31,tooth,pewa,,,21,
286278,32,tongue,koromè,,,"14,7",
286279,32,tongue,kurumè,,,"14,7",
286280,33,"to laugh",ka,,,,
286281,33,"to laugh",pisu,,,,
286282,34,"to cry",asērē,,,,
286283,34,"to cry",ceau,,,,
286284,35,"to vomit",gōru,,,39?,
286285,36,"to spit",siwar̃i,"loan from Pn?",L,18,
286286,37,"to eat",âra,,,39,
286287,38,"to chew",mâ,,,1,
286288,39,"to cook",kavetana,,,,
286289,40,"to drink",wayo,,,66,
286290,41,"to bite",ke,,,,
286291,42,"to suck",ji,,,25,
286292,43,ear,bode,,,16,
286293,44,"to hear",poer̃e,,,7,
286294,45,eye,piemè,,,"31,1",
286295,47,"to yawn",kumea,,,,
286296,48,"to sleep",kuru,,,,
286297,50,"to dream",ngēxë,,,64,
286298,53,"person/human being",kamo,,,93,
286299,54,man/male,wi,,,,
286300,55,woman/female,boè,,,1?,
286301,56,child,ole,,,,
286302,56,child,osari,,,,
286303,56,child,le,,,,
286304,57,husband,duawe,,,31?,
286305,59,mother,pani,,,"1,45",
286306,60,father,pēva,,,37,
286307,61,house,moa,,,1,
286308,63,name,ne,,,,
286309,64,"to say",avui,,,"13,103",
286310,64,"to say",er̃e,,,104,
286311,64,"to say",vier̃e,,,"13,103",
286312,65,rope,koe,,,25,
286313,66,"to tie up, fasten",jēnur̃i,,,,
286314,66,"to tie up, fasten",lù,,,,
286315,66,"to tie up, fasten",luvia,,,,
286316,66,"to tie up, fasten",poi,,,,
286317,67,"to sew",rhu,,,17?,
286318,68,needle,kaju,,,,
286319,69,"to hunt",sa,,,,
286320,69,"to hunt",guuru,,,,
286321,69,"to hunt",sî,,,,
286322,72,"to hit",virhovo,,,,
286323,72,"to hit",rhaxè,,,11,
286324,72,"to hit",rhovoxè,,,11,
286325,72,"to hit",davia,,,10?,
286326,73,"to steal",ce,,,,
286327,73,"to steal",cee,,,,
286328,74,"to kill",sovemi,,,97,
286329,74,"to kill",savemi,,,97,
286330,74,"to kill",kuvemi,,,,
286331,74,"to kill",rhavemi,,,,
286332,75,"to die, be dead",mèrhiwî,,,1,
286333,75,"to die, be dead",jovemi,,,1,
286334,76,"to live, be alive",moru,,,"1, 76",
286335,77,"to scratch",kâxè,,,,
286336,77,"to scratch",ke,,,,
286337,78,"to cut, hack",rhari,,,,
286338,78,"to cut, hack",sio,,,131,
286339,79,stick/wood,kè,,,47?,
286340,79,stick/wood,"go kè",,,"45,47?",
286341,80,"to split",sirhērē,,,,
286342,80,"to split",ti,,,,
286343,81,sharp,peō,,,,
286344,82,"dull, blunt",keai,,,,
286345,82,"dull, blunt",bawi,,,,
286346,83,"to work",wakè,,,,
286347,84,"to plant",nai,,,44,
286348,85,"to choose",pabiri,,,42,
286349,85,"to choose",pamiri,,,42,
286350,85,"to choose",tube,,,,
286351,86,"to grow",pèkau,,,,
286352,86,"to grow",kani,,,,
286353,87,"to swell",cù,,,,
286354,88,"to squeeze",kâvia,,,,
286355,88,"to squeeze",rirha,,,,
286356,88,"to squeeze",jowiri,,,,
286357,89,"to hold",cē,,,,
