id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1189,"Proto Northern Central Vanuatu","Clark 2009",,nort3195,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu","Erin Donnelly",,"@book{302842,  address    = {Canberra},  pages      = {289},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics},  title      = {Leo Tuai: A comparative lexical study of North and Central Vantuatu languages},  volume     = {603},  year       = {2009},  bibtexkey  = {clark_tuai-vantuatu2009},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  src        = {hh},  srctrickle = {hh#hv:Clark:North-Central-Vanuatu},  author     = {Clark, Ross}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
287043,1,hand,*lima,hand,,1,
287044,1,hand,*vara,arm,,16,
286726,2,left,*mawiri,,,"1,59",
286727,3,right,*matuʔa,,,"5, 37",
286921,4,leg/foot,*lewa,leg,,37,
286922,4,leg/foot,*bwalo,"leg or part of leg",,33,
286729,5,"to walk",*lako,"step, walk, go",,1,
286730,6,road/path,*sala,,,1,
286731,7,"to come",*mai,,,1,
287045,8,"to turn",*vilo-si,,,24,
287046,8,"to turn",*vile-si,,,24,
286733,9,"to swim",*karu,,,5,
286734,10,dirty,*leba,"mud, dirt",,9,
286735,11,dust,*avu,"ashes, lime, dust",,1,
287047,12,skin,*kuli,"skin, bark",,1,
287048,12,skin,*vinu-ti,"skin, husk, rind",,28,
287049,13,back,*adu,,,82,
287050,13,back,*mwadu,,,35,
287051,14,belly,*tabwa-i,,,36,
287052,14,belly,*tia,,,1,
286739,15,bone,*suRi,,,,
286740,16,intestines,*tinaʔe,,,1,
287053,17,liver,*ate,,,1,
287054,17,liver,*mwabwe,,,7,
286742,18,breast,*susu,,,1,
286743,19,shoulder,*bwatu,,,65,
286941,20,"to know, be knowledgeable",*bi(ni)si,,,5,
286942,20,"to know, be knowledgeable",*ilo,,,13,
