id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1193,"Lom (Mapurese)","Olaf H. Smedal (1987)",mfb,bang1365,,,"Austronesian, Malayo-Polynesian, Malayo-Chamic, Malayic, Malay","Paska Ariandy Iswanto","Simon Greenhill","@book{67307,  address               = {Jakarta},  pages                 = {viii+168},  publisher             = {Universitas Atma Jaya},  series                = {NUSA},  title                 = {Lom-Indonesian-English and English-Lom wordlists},  volume                = {28/29},  year                  = {1987},  asjp_name             = {Lom},  bibtexkey             = {smedal_lom-wordlists1987},  class_loc             = {PL5056},  document_type         = {B},  fn                    = {papua\smedal_lom1987.pdf},  hhtype                = {dictionary},  inlg                  = {English [eng]},  inlg_code             = {eng},  issn                  = {0126-2874},  macro_area            = {Papua},  mpi_eva_library_shelf = {PL 5056 SME 1987},  src                   = {asjp2010, hh, mpieva},  srctrickle            = {asjp2010#4474, hh#d:Smedal:Lom, mpieva#Smedal1987LomIndon},  subject_headings      = {Lom language–Dictionaries–Indonesian, Indonesian language–Dictionaries–English, English language–Dictionaries–Lom, Lom language–Dictionaries–Indonesian – Indonesian language–Dictionaries–English – English language–Dictionaries–Lom},  author                = {Smedal, Olaf H.}}"
latitude,longitude
-1.73290000000000000000,105.89700000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
287887,1,hand,taŋən,,,18,
287888,2,left,kiriʔ,,,"1,42",
287889,3,right,kanən,,,"1,73",
287890,4,leg/foot,kakei,,,1,
287891,5,"to walk",bəjələn,,,21,
287892,6,road/path,jələn,,,1,
287893,7,"to come",datəŋ,,,14,
287894,8,"to turn",musiŋ,,,,
287895,9,"to swim",bərənaŋ,,,,
287896,10,dirty,lasap,,,,
287897,11,dust,abok,,,,
287898,12,skin,kulet,,,,
287899,13,back,puŋgoŋ,,,,
287900,14,belly,pərot,,,32,
287901,15,bone,tulaŋ,,,,
287902,16,intestines,liŋkaŋ,,,,
287903,17,liver,atiʔ,,,,
287904,18,breast,cok,,,,
287905,19,shoulder,payəŋ,,,,
287906,20,"to know, be knowledgeable",kənal,,,,
287907,21,"to think",rikin,,,,
287908,22,"to fear",takot,,,1,
287909,23,blood,darah,,,,
287910,24,head,kəpale,,,,
287911,25,neck,kətukoʔ,,,,
287912,26,hair,rambut,,,20,
287913,27,nose,idoŋ,,,,
287914,28,"to breathe",ñawe,,,1,
287915,29,"to sniff, smell",mambəʔ,,,,
287916,30,mouth,mulot,,,,
287917,31,tooth,gigiʔ,,,,
287918,32,tongue,lideh,,,"4,31",
287919,33,"to laugh",kətawe,,,,
287920,34,"to cry",pagəl,,,,
287921,35,"to vomit",mutah,,,,
287922,36,"to spit",ŋəludeh,,,1,
287923,37,"to eat",makən,,,,
287924,38,"to chew",dəmpak,,,,
287925,39,"to cook",masak,,,19,
287926,40,"to drink",minom,,,,
287927,41,"to bite",kərəka,,,,
287928,42,"to suck",ŋəñot,,,,
287929,43,ear,biloŋ,,,,
287930,44,"to hear",nəŋər,,,,
287931,45,eye,mate,,,,
287932,46,"to see",neŋoŋ,,,50,
287933,47,"to yawn",ŋowap,,,19,
287934,48,"to sleep",tiduʔ,,,"1,70",
287935,49,"to lie down",bareŋ,,,,
287936,50,"to dream",mimpiʔ,,,,
287937,51,"to sit",dudok,,,35,
287938,52,"to stand",bədiriʔ,,,1,
287939,53,"person/human being",uraŋ,,,,
287940,54,man/male,lakei,,,2,
287941,55,woman/female,məntinaʔ,,,19,
287942,56,child,anək,,,,
287943,57,husband,ləlakei,,,,
287944,58,wife,biniŋ,,,,
287945,59,mother,nuʔ,,,10,
287946,60,father,waʔ,,,,
287947,61,house,umah,,,,
287948,62,thatch/roof,atap,,,1,
287949,63,name,name,,,,
287950,64,"to say",kate,,,,
287951,65,rope,taliʔ,,,,
287952,66,"to tie up, fasten",ŋəbət,,,,
287953,67,"to sew",ñaʔit,,,,
287954,68,needle,jarum,,,,
287955,69,"to hunt",bəlapon,,,,
287956,70,"to shoot",nimbak,,,49,
287957,71,"to stab, pierce",nikəm,,,,
287958,72,"to hit",kəne,,,,
287959,73,"to steal",maliŋ,,,,
287960,74,"to kill",munoh,,,,
287961,75,"to die, be dead",matei,,,,
287962,76,"to live, be alive",idup,,,"1,82",
287963,77,"to scratch",ŋatap,,,,
287964,78,"to cut, hack",ŋutəŋ,,,,
287965,79,stick/wood,bataŋ,,,,
287966,80,"to split",məleh,,,,
287967,81,sharp,landəp,,,34,
287968,82,"dull, blunt",tumpol,,,,
287969,83,"to work",bəgawi,,,,
287970,84,"to plant",nanəm,,,2,
287971,85,"to choose",milih,,,,
287972,86,"to grow",numbuh,,,1,
287973,87,"to swell",buntəʔ,,,,
287974,88,"to squeeze",mərəs,,,42,
287975,89,"to hold",məgəŋ,,,32,
287976,90,"to dig",ŋaliʔ,,,,
287977,91,"to buy",məliʔ,,,,
287978,92,"to open, uncover",mukaʔ,,,11,
287979,93,"to pound, beat",numbok,,,9,
287980,94,"to throw",limpar,,,,
287981,95,"to fall",jatoh,,,,
287982,96,dog,asəʔ,,,1,
287983,97,bird,buroŋ,,,,
287984,98,egg,takot,,,,
287985,99,feather,buləʔ,,,,
287986,100,wing,kəpak,,,1,
