id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1194,Hewa,"Fricke 2014",ski,sika1262,"Fricke, Hanna. 2014. Topics in the grammar of Hewa. A variety of Sika in Eastern Flores, Indonesia. LINCOM: Munich.Hewa is a variety of Sika spoken in the southeastern edge of the Sika speaking area.The items in this word list were collected during fieldwork in 2013 by Hanna Fricke and published in 2014.The items are given in a phonemic transcription using IPA  symbols.Some verbs in Hewa agree with person and number of their subject. If this is the case for a verb in the list, the forms are given as annotation. More on verbal inflection in Hewa see Fricke (2014: 28-37).",,"Austronesian, Malayo-Polynesian, Central-Eastern, Central Malayo-Polynesian, Timor, Flores-Lembata","Hanna Fricke","Simon Greenhill","@book{320303,  address    = {München},  pages      = {104},  publisher  = {LINCOM},  title      = {Topics in the Grammar of Hewa: A variety of Sika in Eastern Indonesia},  year       = {2014},  bibtexkey  = {fricke_hewa-sika2014},  fn         = {papua\fricke_hewa2014v3.pdf, papua\fricke_hewa2014_s.pdf, papua\fricke_hewa2014v2.pdf, papua\fricke_hewa2014.pdf},  hhtype     = {grammar_sketch},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#s:Fricke:Hewa},  author     = {Fricke, Hanna}}"
latitude,longitude
-8.59771100000000032537,122.70820899999999653573
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
288097,1,hand,lima,,,"1,64",
288098,2,left,virin,,,1,
288099,3,right,vanan,,,1,
288100,4,leg/foot,vaʔi,,,"1,100",
288360,5,"to walk",pano,"1SG,1PL.IN,3PL",,2,
288361,5,"to walk",bano,"2SG,3SG,1PL.EX, 2PL",,2,
288101,6,road/path,laran,,,1,
288102,7,"to come",mai,,,1,
288103,7,"to come",main,,,1,
288104,8,"to turn",belok,"loan from Indonesian",L,,
288105,9,"to swim",nani,,,"1,45",
288106,10,dirty,milan,,,131,
288107,11,dust,avu,"also means ash",,1,
288108,11,dust,pua,(?),,,
288109,12,skin,ʔulit,,,1,
288110,13,back,toʔe,,,11,
288111,14,belly,dula,,,,
288112,15,bone,lurin,,,2,
288113,16,intestines,"tain vaten","tain = intestine vaten = liver",,1,
288114,17,liver,vaten,,,"1,58",
288115,18,breast,uhu,,,1,
288116,19,shoulder,palik,,,"1,89",
288117,20,"to know, be knowledgeable",raʔitan,,,75,
288118,21,"to think",suɡo,"also: remember",,83,
288119,22,"to fear",blauʔ,,,80,
288120,23,blood,mei,,,3,
288121,24,head,loʔen,,,67,
288122,25,neck,əru,,,,
288123,26,hair,"loʔe roun","head leaf (ASch)",,40,
288124,26,hair,loʔe,"= head without possessive -n (ASch)",,,
288125,27,nose,iru,,,1,
288126,28,"to breathe",boʔ,,,,
288127,29,"to sniff, smell",movoʔ,,,,
288128,30,mouth,va,,,1,
288129,31,tooth,niu,,,1,
288130,32,tongue,ma,,,7,
288131,33,"to laugh",to,,,1,
288349,34,"to cry",tani,"1SG,1PL.IN,3PL",,1,
288350,34,"to cry",dani,"2SG,3SG,1PL.EX, 2PL",,1,
288132,35,"to vomit",mutaʔ,,,1,
288133,36,"to spit",niru,,,14,
288351,37,"to eat",ʔa,3PL,,1,
288352,37,"to eat",gea,2PL,,1,
288353,37,"to eat",gea,1PL.EX,,1,
288354,37,"to eat",ʔea,1PL.IN,,1,
288355,37,"to eat",ga,3SG,,1,
288356,37,"to eat",goa,2SG,,1,
288357,37,"to eat",ʔoa,1SG,,1,
288358,38,"to chew",ŋalet,"for animals only",,,
288359,38,"to chew",maʔmaʔ,"only for hard things (betel nut, meet, ...); for humans and animals, for humans one usually adds the verb for eat after mama 'chew'",,1,
288134,39,"to cook",hunaʔ,,,,
288135,39,"to cook",pura,,,49,
288341,40,"to drink",-inu,,,1,
288342,40,"to drink",ʔinu,1SG,,1,
288343,40,"to drink",minu,2SG,,1,
288344,40,"to drink",ninu,3SG,,1,
288345,40,"to drink",tinu,1PL.IN,,1,
288346,40,"to drink",minu,1PL.EX,,1,
288347,40,"to drink",minu,2PL,,1,
288348,40,"to drink",rinu,3PL,,1,
288136,41,"to bite",baka,,,,
288137,42,"to suck",pləmet,,,,
288138,43,ear,tilu,,,"1,4",
288337,44,"to hear",diʔiŋ,,,67?,
288338,44,"to hear",ʔəna,1SG,,1,
288339,44,"to hear",bəna,2PL,,1,
288340,44,"to hear",rəna,"2SG,3SG,1PL.IN,1PL.EX,2PL,3PL",,1,
288139,45,eye,mata,,,1,
288333,46,"to see",ʔitaʔ,"1SG, 1PL.IN, 3PL",,1,
288334,46,"to see",gitaʔ,"2SG,3SG,1PL.EX, 2PL",,1,
288335,46,"to see",tenger,,,4,
288336,46,"to see",papaŋ,,,,
288140,47,"to yawn",moaʔ,,,19,
288330,48,"to sleep",tuʔe,"1SG, 1PL.IN, 3PL",,1,
288331,48,"to sleep",duʔe,"2SG,3SG,1PL.EX, 2PL",,1,
288332,48,"to sleep",ɡəpaŋ,,,,
288326,49,"to lie down",tuʔe,"1SG, 1PL.IN, 3PL",,97,
288327,49,"to lie down",duʔe,"2SG,3SG,1PL.EX, 2PL",,97,
288141,50,"to dream",mipin,"can also be a noun",,"1,37",
288328,51,"to sit",təri,"1SG, 1PL.IN, 3PL",,146,
288329,51,"to sit",dəri,"2SG,3SG,1PL.EX, 2PL",,146,
288366,52,"to stand",gəra,"2SG,3SG,1PL.EX, 2PL",,89,
288365,52,"to stand",ʔəra,"1SG,1PL.IN,3PL",,89,
288143,53,"person/human being",biʔan,,,82,
288144,53,"person/human being",ata,,,4,
