id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1196,Portuguese,"Gabriel Rosa",por,port1283,,,"Indo-European, Italic, Romance, Italo-Western, Western, Gallo-Iberian, Ibero-Romance, West Iberian, Portuguese-Galician","Gabriel Rosa",,"@misc{Rosa-1196-2015,  author = \"Gabriel Rosa\",  date = \"2015\",  howpublished = \"personal communication\"}"
latitude,longitude
39.91000000000000000000,-8.10000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
288414,1,hand,mão,,,,
288415,2,left,esquerdo,,,,
288416,3,right,direito,,,,
288417,4,leg/foot,perna/pé,,,,
288418,5,"to walk",andar,,,,
288419,6,road/path,caminho,,,,
288420,7,"to come",vir,,,,
288421,8,"to turn",virar,,,,
288422,9,"to swim",nadar,,,,
288423,10,dirty,sujo,,,,
288424,11,dust,poeira,,,,
288425,12,skin,pele,,,,
288426,13,back,costas,,,,
288427,14,belly,barriga,,,,
288428,15,bone,osso,,,,
288429,16,intestines,intestinos,,,,
288430,17,liver,figado,,,,
288431,18,breast,mama,,,,
288432,19,shoulder,ombro,,,,
288433,20,"to know, be knowledgeable",saber,,,,
288434,21,"to think",pensar,,,,
288435,22,"to fear",recear,,,,
288436,23,blood,sangue,,,,
288437,24,head,cabeça,,,,
288438,25,neck,pescoço,,,,
288439,26,hair,cabelo,,,,
288440,27,nose,nariz,,,,
288441,28,"to breathe",respirar,,,,
288442,29,"to sniff, smell",cheirar,,,,
288443,30,mouth,boca,,,,
288444,31,tooth,dente,,,,
288445,32,tongue,língua,,,,
288446,33,"to laugh",rir,,,,
288447,34,"to cry",chorar,,,,
288448,35,"to vomit",vomitar,,,,
288449,36,"to spit",cuspir,,,,
288450,37,"to eat",comer,,,,
288451,38,"to chew",mastigar,,,,
288452,39,"to cook",cozinhar,,,,
288453,40,"to drink",beber,,,,
288454,41,"to bite",morder,,,,
288455,42,"to suck",chupar,,,,
288456,43,ear,orelha,,,,
288457,44,"to hear",ouvir,,,,
288458,45,eye,olho,,,,
288459,46,"to see",ver,,,,
288460,47,"to yawn",bocejar,,,,
288461,48,"to sleep",dormir,,,,
288462,49,"to lie down",deitar,,,,
288463,50,"to dream",sonhar,,,,
288464,51,"to sit",sentar-se,,,,
288465,52,"to stand","estar em pé",,,,
288466,53,"person/human being",pessoa,,,,
288467,54,man/male,homem,,,,
288468,55,woman/female,mulher,,,,
288469,56,child,criança,,,,
288470,57,husband,marido,,,,
288471,58,wife,esposa,,,,
288472,59,mother,mãe,,,,
288473,60,father,pai,,,,
288474,61,house,casa,,,,
288475,62,thatch/roof,telhado,,,,
288476,63,name,nome,,,,
288477,64,"to say",dizer,,,,
288478,65,rope,corda,,,,
288479,66,"to tie up, fasten",atar,,,,
288480,67,"to sew",coser,,,,
288481,68,needle,agulha,,,,
288482,69,"to hunt",caçar,,,,
288483,70,"to shoot",disparar,,,,
