id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1207,Mangaia,"Greenhill & Clark (2011)",rar,raro1241,"Greenhill SJ & Clark R (2011). POLLEX-Online: The Polynesian Lexicon Project Online. Oceanic Linguistics, 50(2), 551-559.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Central Pacific, East Fijian-Polynesian, Polynesian, Nuclear, East, Central, Tahitic","Kirsty Maurits",,"@article{POLLEX,  journal = {Oceanic Linguistics},  number  = {2},  pages   = {551--559},  title   = {{POLLEX-Online: The Polynesian Lexicon Project Online}},  volume  = {50},  year    = {2011},  author  = {Greenhill, Simon J. and Clark, Ross}}"
latitude,longitude
-21.23000000000000000000,-159.78000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
290020,32,tongue,arero,,,15,
290021,39,"to cook",kou,,,10,
290022,42,"to suck",ngote,,,9,
290023,61,house,kainga,,,6,
345817,61,house,'are,,,14,
290024,71,"to stab, pierce",ngoto,"to pierce deep",,,
290025,74,"to kill",patu,"to smite or slay",,9,
290026,87,"to swell",puku,,,24,
290027,88,"to squeeze",tatari,,,,
290388,90,"to dig",keri,,,1,
290389,90,"to dig",kenu,,,6,
290390,90,"to dig",koo,,,17,
290029,95,"to fall",marere,,,12,
290030,100,wing,pererau,,,9,
290385,120,stone,koʔatu,,,"1,39",
290386,120,stone,kooʔatu,,,"1,39",
290387,120,stone,maka,,,4,
290032,141,wet,rarirari,,,9,
290033,146,ash,reu,,,67,
290395,147,black,kerekere,,,5,
290396,147,black,tako,,,,
290035,150,yellow,rengarenga,,,10,
290036,151,green,matie,,,"1, 11",
290037,156,thin,rairai,,,5,
290038,158,narrow,aaiti,,,89,
290039,171,"to hide",puni,,,1,
290040,182,I,au,,,"1,21",
290043,183,thou,koe,singular,,1,
290041,184,he/she,ia,,,1,
290391,185,we,maatou,exclusive,,"2, 39",
290392,185,we,taatou,"1 pl. incl.",,"1, 39",
