id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1210,Nasal,"Anderbeck and Aprilani (2013)",nsy,nasa1239,"Anderbeck, Karl; Aprilani, Herdian. 2013. The Improbable Language: Survey Report on the Nasal Language of Bengkulu, Sumatra. SIL Electronic Survey Report. SIL International.",,"Austronesian, Malayo-Polynesian, Nasal","Andrew Hsiu",,"@book{300794,  address    = {Dallas},  pages      = {44},  publisher  = {SIL International},  series     = {SIL Electronic Survey Reports},  title      = {The improbable language: survey report on the Nasal language of Bengkulu, Sumatra},  year       = {2012},  bibtexkey  = {anderbeck-aprilani_improbable-bengkulu2012},  fn         = {papua\anderbeck-aprilani_nasal2012.pdf},  hhtype     = {comparative;wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#vw:AnderbeckAprilani:Nasal},  author     = {Anderbeck, Karl and Aprilani, Herdian}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
290408,1,hand,culʊʔ,,,46,
290409,2,left,kixi,,,"1,42",
290410,3,right,kanan,,,"1,73",
290411,4,leg/foot,suhʊt,"SA: !! with k? check spelling in original",,29,
290412,5,"to walk",lapax,,,42,
290413,6,road/path,təŋəhan,,,,
290414,6,road/path,balaʔ,"SA: ? balaʔ means 'big'",,,
290415,7,"to come",xatʊŋ,,,14,
290416,8,"to turn",mbiloʔ,,,24,
290417,9,"to swim",ləlaɡoy,,,1,
290418,10,dirty,kamaʔ,,,35,
290419,11,dust,dəbʊː,,,58,
290420,12,skin,bawaʔ,,,18,
290421,13,back,puŋɡʊŋ,,,24,
290422,14,belly,isaw,,,,
290423,15,bone,tulan,,,1,
290424,16,intestines,usʊs,,,24,
290425,17,liver,xatay,,,1,
290426,18,breast,susu,,,1,
290427,19,shoulder,pəmpɪŋ,,,16,
290428,20,"to know, be knowledgeable",panday,"< (South) Indian",L,23,
290429,21,"to think",bəpikɪx,"< AR",L,22,
290430,22,"to fear",xabay,,,14,
290431,23,blood,xalah,,,,
290432,24,head,hulu,,,1,
290433,25,neck,ɡalah,,,33,
290434,26,hair,uwoʔ,,,1,
290435,27,nose,iŋʊlan,,,,
290436,28,"to breathe",bənapas,,,29,
290437,29,"to sniff, smell",ɲiʊm,,,30,
290438,30,mouth,baŋoʔ,,,16,
290439,31,tooth,ɡiɡi,,,17,
3229145,32,tongue,moː,,,1,
3229146,32,tongue,lidah,"lidah is Malay loan (SA)",L,"4, 31",
290441,33,"to laugh",lalaŋ,,,70,
290442,34,"to cry",səməlaw,,,,
290443,35,"to vomit",mutah,,,1,
290444,36,"to spit",bəliʊx,,,54,
290446,37,"to eat",kaneʔ,,,1,
290447,37,"to eat",maŋan,,,"1,14",
290445,38,"to chew",məpaʔ,,,66,
290448,39,"to cook",məsaʔ,,,19,
290449,40,"to drink",minʊm,,,1,
290450,41,"to bite",ŋəxʊh,,,,
290451,42,"to suck",ŋəxisʊp,,,1,
290452,43,ear,cupɪŋ,,,"15,51",
290453,44,"to hear",ndəŋʊl,,,1,
290454,45,eye,mato,,,1,
290455,46,"to see",ŋəliyaʔ,,,"19,23",
290456,47,"to yawn",ŋəluap,,,19,
290457,48,"to sleep",pədʊm,,,16,
290458,49,"to lie down",ŋɡalɪəŋ,,,"54,109",
290459,50,"to dream",mimpɪ,,,"1,37",
290460,51,"to sit",məduŋ,,,98,
290461,52,"to stand",təɡaʔ,,,26,
290462,53,"person/human being",hulʊn,,,17,
290463,54,man/male,xaɡah,,,43,
290464,55,woman/female,bay,,,1,
290465,56,child,anaʔ,,,1,
290466,57,husband,sawoʰ,,,2,
290467,58,wife,bibay,,,41,
290468,59,mother,maʔ,,,35,
290469,60,father,baʔ,,,13,
290470,61,house,bahʊn,,,,
290471,62,thatch/roof,hatoʔ,,,1,
290472,63,name,ɡəlax,,,10,
290473,64,"to say",ŋicɪʔ,,,26,
290474,65,rope,tali,,,1,
290475,66,"to tie up, fasten",tambaŋ,,,,
290476,67,"to sew",ɲjahɪt,,,2,
290477,68,needle,səxoʔ,,,13,
290478,69,"to hunt",bəbuxu,,,23,
290479,70,"to shoot",nɪmbaʔ,,,49,
290480,71,"to stab, pierce",nikam,,,31,
290481,72,"to hit",maŋɡul,,,,
290482,73,"to steal",malɪŋ,,,16,
290483,74,"to kill",mataykon,,,2,
290484,75,"to die, be dead",matay,,,1,
290485,76,"to live, be alive",uxɪp,,,1,
290486,77,"to scratch",ŋikʊy,,,19,
290487,78,"to cut, hack",nətʊʔ,,,1,
290488,79,stick/wood,kayu,,,1,
290489,80,"to split",mbəlah,,,1,
290490,81,sharp,isʊʔ,,,,
290491,82,"dull, blunt",kudul,,,80,
290492,83,"to work",bəɡawiyan,"< Javanese",L,21,
290493,84,"to plant",nahoʔ,,,,
290494,85,"to choose",milɪh,,,1,
290495,86,"to grow",tuwoh,,,"1,25",
290496,87,"to swell",mətʊŋ,,,16,
290497,88,"to squeeze",nəkon,,,,
290498,89,"to hold",nəcaʔ,,,72,
290499,89,"to hold",hahan,,,,
290500,90,"to dig",ŋɡali,"most probably borrowed from Malay on account of g instead of *k",L,,
290501,91,"to buy",məmbəli,,,1,
290502,92,"to open, uncover",məmbukaʔ,,,1,
290503,93,"to pound, beat",nutu,,,20,
290504,94,"to throw",xamboy,,,,
290505,95,"to fall",buɡʊh,,,,
290506,96,dog,kaci,,,59,
290507,97,bird,buxʊŋ,,,17,
290508,98,egg,təlul,,,1,
290509,99,feather,"bulu manoʔ",,,1,
290510,100,wing,kəpɪh,,,52,
290511,101,"to fly",hambʊx,,,52,
