id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1218,"Ninde (Lorlo)","Aviva Shimelman",mwi,labo1244,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Labo","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1218-2015,  author = \"Aviva Shimelman\",  date = \"2015\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.42910000000000000000,167.44200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
297297,1,hand,nɛ-vaxa-,,,"16, 71",
297298,2,left,destataʔ,,,63,
297299,3,right,desmotne,,,"5, 37",
297300,4,leg/foot,ni-ᵐʙul-,,,33,
297301,5,"to walk",-ðo-,,,111,
297302,7,"to come",-pul,,,25,
297303,9,"to swim",-ⁿdenⁿden,,,79,
297304,10,dirty,-naᵑgan-,,,130,
297305,13,back,ni-tuk-,,,12,
297306,14,belly,ni-vit-,,,5,
297307,15,bone,no-ᵐʙoðoᵑgo,,,37,
297308,16,intestines,ne-sene,,,1,
297309,17,liver,nu-ᵐʙupune,,,"7, 54, 55",
297310,18,breast,no-mʷomʷo,,,30,
297311,19,shoulder,nu-ᵐʙutvaxa,,,"65,1",
297312,20,"to know, be knowledgeable",-xoraŋ-,,,"19, 108",
297313,22,"to fear",-metaʔ,,,1,
297314,23,blood,naːre,,,1,
297315,24,head,nu-ᵐʙut-,,,9,
297316,25,neck,nu-ᵐʙulwoin-,,,84,
297317,26,hair,n-elput-,,,"31, 60",
297318,27,nose,nu-ᵑgunaː-,,,59,
297319,28,"to breathe",-ŋaxa,,,13,
297320,29,"to sniff, smell",-ᵐʙune,,,42,
297321,30,mouth,no-ᵐboŋ-,,,41,
297322,31,tooth,ni-ᵐʙaxia-,,,47,
297323,32,tongue,ne-lme-,,,"7, 17",
297324,33,"to laugh",-vitumo,,,47,
297325,34,"to cry",-xo,,,76,
297326,35,"to vomit",-liluɔ,,,8,
297327,36,"to spit",-xoi,,,106,
297328,37,"to eat",-ʔan,,,1,
297329,38,"to chew",-samʷe,,,21,
297330,39,"to cook",-sumxoʔ,,,95,
297331,40,"to drink",-mɪn,,,"1,49",
297332,43,ear,ⁿdiliŋ-,,,"1, 40",
297333,44,"to hear",-xo,,,64,
297334,45,eye,ne-met-,,,1,
297335,46,"to see",-li,,,14,
297336,47,"to yawn",-lel,,,"19, 34",
297337,48,"to sleep",-mitox,,,1,
297338,50,"to dream",-ᵐʙrix-,,,10?,
297339,51,"to sit",-supo,,,40,
297340,52,"to stand",-taxse,,,61,
297341,53,"person/human being",naxa,,,74,
297342,54,man/male,naŋaxa,,,97,
297343,55,woman/female,watiwʌx,,,95,
297344,56,child,ᵐbailoʊulou,,,71,
297345,57,husband,"numugut akɪne",,,"80, 82",
297346,58,wife,"watian akine",,,"62, 84",
297347,59,mother,naie,,,18,
297348,60,father,tama-ᵑg,,,1,
297349,61,house,na-ːmʷi,,,1,
297350,62,thatch/roof,nu-woxoite,,,"1, 62",
297351,63,name,niki-,,,"1, 35",
297352,64,"to say",-ᵐʙiti,,,"47, 141",
297353,66,"to tie up, fasten",-wus,,,32,
297354,67,"to sew",-tax,,,13,
297355,69,"to hunt",-ᵑgamus,,,,
297356,70,"to shoot",-tupus,,,8,
297357,71,"to stab, pierce",-tax,,,35,
297358,72,"to hit",-xus,,,82,
297359,73,"to steal",-venaʔ,,,"1,58",
297360,74,"to kill",-xosᵐʙn,,,"26, 1",
297361,75,"to die, be dead",-mes,,,1,
297362,76,"to live, be alive",-mʷox,,,"1, 76, 68",
297363,78,"to cut, hack",-xos,,,102,
297364,79,stick/wood,ne-i,,,1,
297365,80,"to split",-sɪᵐbax,,,9,
297366,81,sharp,maᵑgal,,,"14, 79, 81",
297367,83,"to work",-xaʔ,,,46,
297368,84,"to plant",-lalap,,,10,
297369,87,"to swell",-tiᵐʙ,,,12,
297370,89,"to hold",-palel,,,71,
297371,90,"to dig",-kɪl,,,1,
297372,91,"to buy",-ᵐʙul,,,1,
297373,92,"to open, uncover",-sax,,,58,
297374,94,"to throw",-suᵐʙro,,,"86, 91",
297375,95,"to fall",-sum,,,"42, 100",
297376,96,dog,kʰapox,,,10,
297377,97,bird,ne-men,,,1,
297378,98,egg,namalap,,,60,
297379,99,feather,nele,,,1,
297380,100,wing,nelvaxa,,,"38, 69, 71",
297381,101,"to fly",-ele,,,75,
297382,102,rat,kairate,,,76,
