id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1223,"Avava (Timbibi)","Aviva Shimelman",tmb,katb1237,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Malekula Central","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1223-2015,  author = \"Aviva Shimelman\",  date = \"2015\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.27010000000000000000,167.48400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
291953,1,hand,fara-n,,,16,
291954,2,left,mʷir,,,"1,59",
291955,3,right,barin,,,30,
291956,4,leg/foot,boloko-n,,,33,
291957,5,"to walk",-solsol,,,114,
291958,6,road/path,asal,,,1,
291959,7,"to come",-wɛl,,,25,
291960,8,"to turn",-ⁿdʳioŋ,,,34,
291961,9,"to swim",-lumlum,,,38,
291962,10,dirty,-mɛtmɛt,,,2,
291963,11,dust,bisnap˺,,,80,
291964,12,skin,ipnu-,,,28,
291965,13,back,ⁿdrun,,,82,
291966,14,belly,vat-,,,5?,
291967,15,bone,boloŋ-,,,37,
291968,16,intestines,ᵐʙurtan,,,75,
291969,17,liver,ɛlɛmɛt,,,52,
291970,18,breast,asih,,,"1, 55",
291971,19,shoulder,"ᵐbat nɛvɛran",,,"1, 65",
291972,20,"to know, be knowledgeable",-rokut-,,,"19, 87",
291973,21,"to think",-sis-,,,39,
291974,22,"to fear",mitu-tean,,,1,
291975,23,blood,ɛⁿdʳe,,,1,
291976,24,head,ᵐbat-,,,9,
291977,25,neck,ᵐbalawa-,,,84,
291978,26,hair,suvlɛ-,,,"31, 33",
291979,27,nose,onoz-,,,18,
291980,29,"to sniff, smell",-suŋsuŋ,,,9,
291981,30,mouth,a-ᵐboŋ-,,,41,
291982,31,tooth,ᵐborɔʰ,,,45,
291983,32,tongue,lɛm-,,,"7, 17",
291984,33,"to laugh",-waŋ,,,88,
291985,34,"to cry",-ul,,,59,
291986,35,"to vomit",-iok,,,29,
291987,36,"to spit",-mɛlɛᵐʙə,,,105,
291988,39,"to cook",-tntn,,,9,
291989,40,"to drink",-mɪn,,,"1,49",
291990,43,ear,ⁿdɪliŋ-,,,"1, 40",
291991,44,"to hear",-paroŋ,,,1,
291992,45,eye,mat-,,,1,
291993,46,"to see",-gilgilai,,,18,
