id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
123,Sengseng,"A. Chowning",ssz,seng1281,"Chowning, A. (1996) Relations among languages of West New Britain: an assessment of recent theories and evidence. Pp. 7-62 In M.D. Ross, Ed. Studies in Languages of New Britain and New Ireland. 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain. Pacific Linguistics, C-135.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Pasismanua","Penny Keenan","Simon Greenhill","@incollection{152885,  address    = {Canberra},  booktitle  = {Studies in Languages of New Britain and New Ireland, I: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain},  pages      = {7-62},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  title      = {Relations among languages of West New Britain: an assessment of recent theories and evidence},  year       = {1996},  bibtexkey  = {chowning_britain-assessment1996},  fn         = {papua\chowning_wnew-britain1996.pdf, papua\chowning_wnew-britain1996_ov2.pdf, papua\ross_new-ireland-new-britain1996.pdf, papua\chowning_wnew-britain1996_o.pdf, papua\chowning_relations-west-new-britain1996_o.pdf},  hhtype     = {overview;comparative},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hv:Chowning:WNewBritain},  author     = {Chowning, Ann},  editor     = {Ross, Malcolm D.}}"
latitude,longitude
-6.22793393026867203588,149.76562500000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
123,1,hand,vili-,,,41,
480,2,left,[a]kos,,,15,
837,3,right,apipsik,"(see 94)",,12,
1194,4,leg/foot,kɪve-,,,83,
71548,5,"to walk",yok,,,68,
71549,5,"to walk",hih,,,,
71598,6,road/path,hiso,,,,
71599,6,road/path,hitaso,,,,
71600,6,road/path,komaŋ,,,,
71648,7,"to come",moi,,,1,1
71649,7,"to come",me[i],,,1,1
71723,8,"to turn",pakeh,,,67,
71724,8,"to turn",puk,,,35,
2979,9,"to swim","suh [su]","(see 165)",,12,
71824,10,dirty,soɪn,,,,
71825,10,dirty,mi-sumu-iyan,,,,
87975,11,dust,nekokwa,"(see 146)",,11,
87976,11,dust,kau,,,17,
71956,12,skin,e-lit,,,,1?
71957,12,skin,ho-,,,13,1?
72019,13,back,posihila-,,,,
72020,13,back,musu-,,,,
4764,14,belly,kuma-,,,44,
5121,15,bone,pokoɪn,,,12,
5478,16,intestines,muhulu-,,,19,
72164,17,liver,eta-,,,60,?
72165,17,liver,kakat,,,1,?
6192,18,breast,sus[u]-,,,1,1
6549,19,shoulder,huwa-,,,14,
72304,20,"to know, be knowledgeable",haop,"(see 46)",,129,
72305,20,"to know, be knowledgeable",hion,"(see 46)",,,
88447,21,"to think",kumak,belive,,,
88448,21,"to think",minhu,"think about",,,
72410,22,"to fear",lem,,,13,
72411,22,"to fear",noknok,,,,
7977,23,blood,e-ŋhik,,,,
72491,24,head,mɪhɪ-,,,24,
72492,24,head,po-,,,14,
72547,25,neck,hot-,"hmoN = throat",,87,
72548,25,neck,hmoŋ,"hmoN = throat",,,
9048,26,hair,yut-,,,15,
72691,27,nose,muhut-,,,69,
72692,27,nose,"hut[u] -",,,69,
9762,28,"to breathe",moyo-,,,89,
72804,29,"to sniff, smell",hibɛk-i,,,16,
72805,29,"to sniff, smell",pin,,,,
10476,30,mouth,wo-,,,36,
10833,31,tooth,ŋi-,,,30,?
11190,32,tongue,mamai-,,,7,?
11547,33,"to laugh",hoŋ,,,,
88830,34,"to cry",tinis,tears,,1,1
88831,34,"to cry",hau,"sound - includes cry of bird etc",,7,
73125,35,"to vomit",mutwok,,,10,
73126,35,"to vomit",kelaut,,,,
73172,36,"to spit",kusap,,,"19,34",
73173,36,"to spit",lakmo,,,,
12975,37,"to eat",i,,,9,
89369,38,"to chew",nas,,,12,1?
89370,38,"to chew",mak,,,1,
