id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
125,Singhi,"Blust, from: Reijffert (1956)",sne,baub1235,"Reijffert, Fr. A. (1956). Vocabulary of English and Sarawak Land Dayak (Singhi tribe). Sarawak Government Printer Kuching : 1956.",,"Austronesian, Malayo-Polynesian, Land Dayak, Bidayuh, Core, Western","Debasish Roy","Simon Greenhill","@book{319956,  address    = {Kuching},  pages      = {64},  publisher  = {Sarawak Government Office},  title      = {Vocabulary of English &Sarawak Land Dyak (Singhi tribe)},  year       = {1956},  bibtexkey  = {reijffert_dyak-singhi1956},  fn         = {papua\reijffert_singhi1956.pdf},  hhtype     = {dictionary},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#d:Reijffert:Singhi},  author     = {Reijffert, A.}}"
latitude,longitude
1.31824000000000007837,110.34668000000000631644
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
125,1,hand,toŋan,,,18,
482,2,left,bait,,,7,
839,3,right,toux,,,"5,25",1
1196,4,leg/foot,pĕun,,,,
1553,5,"to walk",ponu,,,2,1
1910,6,road/path,aran,,,1,1
2267,7,"to come",nug,,,,
2624,8,"to turn",kus,,,,
2981,9,"to swim",naŋuy,,,1,1
71828,10,dirty,kais,,,,
71829,10,dirty,sirida,,,,
71906,11,dust,abux,,,1,1
71907,11,dust,sapok,,,1,1
4052,12,skin,kurit,,,1,1
4409,13,back,dug,,,,
4766,14,belly,tain,"[< m]",,1,1
5123,15,bone,turaŋ,,,1,1
5837,17,liver,atin,,,1,1
6194,18,breast,saduë,,,,
6551,19,shoulder,papi,,,16,
6908,20,"to know, be knowledgeable",puan,,,,
7265,21,"to think","saka ŋasuŋ",,,,
7622,22,"to fear",toru,,,,
7979,23,blood,doya,,,1,1
8336,24,head,bak,,,,
8693,25,neck,tuŋoĕ,,,34?,
9050,26,hair,boek,,,1,1
9407,27,nose,nuŋ,"cf. Rejang",,1?,1?
9764,28,"to breathe",masuŋ,,,23,
10121,29,"to sniff, smell",koduk,,,1,1
10478,30,mouth,boba,,,1,1
10835,31,tooth,jupen,,,1,1
11192,32,tongue,jorah,,,4,1?
11549,33,"to laugh",tauwix,,,1,1
11906,34,"to cry",sien,,,,
12263,35,"to vomit",ŋutah,,,1,1
12620,36,"to spit",ŋujah,,,1,1
12977,37,"to eat",man,,,1?,?
73312,38,"to chew",mopa,fix,,,
73313,38,"to chew",ñugis,fix,,,
13691,39,"to cook",tunuk,,,1,1
14048,40,"to drink",nuoh,,,1?,
73552,41,"to bite",siŋüt,,,,?
73553,41,"to bite",kuut,,,1?,?
73648,42,"to suck",ñuop,,,,1
73649,42,"to suck",ŋisap,,,1,1
15119,43,ear,kojit,,,,
15476,44,"to hear",kidiŋah,,,1,1
15833,45,eye,botun,,,,
16190,46,"to see",kirin,,,,
16547,47,"to yawn",kuab,,,19,1
16904,48,"to sleep",boĕs,,,,
74010,49,"to lie down",guriŋ,,,54,
74011,49,"to lie down",biroñoŋ,,,,
17618,50,"to dream",pimux,,,,
17975,51,"to sit",guru,,,,
18332,52,"to stand",mojug,,,,?
18689,53,"person/human being",dayah,,,,
19046,54,man/male,dari,,,,
19403,55,woman/female,dayuŋ,,,,
19760,56,child,anak,,,1,1
20117,57,husband,bonun,,,1?,
20474,58,wife,sowen,,,1,1
20831,59,mother,sinĕ,,,1,1
21188,60,father,sama,,,1,1
21545,61,house,romin,,,"13,1?",
74665,62,thatch/roof,toñah,,,,
74666,62,thatch/roof,iraw,,,,
22259,63,name,adun,,,1,1
74796,64,"to say",naŋ,,,,
74797,64,"to say",tanen,,,,
22973,65,rope,taris,,,1,1
23330,66,"to tie up, fasten",mökes,,,,
23687,67,"to sew",nopuŋ,,,,
24044,68,needle,tos,,,,
75193,69,"to hunt",ŋokaŋ,,,,
75194,69,"to hunt",ñipa,,,,
24758,70,"to shoot",nimak,,,49,
25115,71,"to stab, pierce",nijub,,,22?,
25472,72,"to hit",obox,,,22,
25829,73,"to steal",noku,,,1,1
75509,74,"to kill",ŋabus,,,,
75510,74,"to kill",ñüu,,,,
26543,75,"to die, be dead",kobus,,,,
26900,76,"to live, be alive",idip,,,1,1
27257,77,"to scratch",gayu,,,1,1?
27614,78,"to cut, hack",ñopa,,,,
