id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1256,"Naman (Litzlitz)","Aviva Shimelman",lzl,litz1237,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior, Malekula Central","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1256-2015,  author = \"Aviva Shimelman\",  date = \"2015\",  howpublished = \"personal communication\"}"
latitude,longitude
-16.13310000000000000000,167.41500000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
296527,1,hand,nɪ-vɛru-,,,16,
296528,2,left,meir,,,"1,59",
296529,3,right,xometu,,,"5, 37",
296530,4,leg/foot,ⁿdalu-,,,34,
296531,4,leg/foot,ⁿtalu-,,,34,
296532,5,"to walk",-loŋoloŋ,,,60,
296533,6,road/path,ne-sɛl,,,1,
296534,7,"to come",-vale,,,25,
296535,8,"to turn",-ⁿdelvəs,,,"31, 74",
296536,11,dust,nɛ-snap,,,80,
296537,12,skin,nɛ-vl-,,,"1, 81",
296538,13,back,ⁿtɛru-,,,82,
296539,14,belly,taᵐbaɣ-,,,"36, 99",
296540,16,intestines,nɛ-sn-,,,1,
296541,17,liver,no-vɛⁿdaⁿdaml-,,,,
296542,18,breast,nɛ-sm,,,"1, 30?",
296543,19,shoulder,ᵐbɛruᵐbɛr-,,,"1, 65",
296544,20,"to know, be knowledgeable",-roŋ-,,,19,
296545,21,"to think",-sɛm-,,,13?,
296546,22,"to fear",-mitoxtox,,,1,
296547,23,blood,nɛ-ⁿde,,,1,
296548,24,head,ᵐbat-,,,9,
296549,25,neck,no-wɛ-,,,18,
296550,26,hair,na-nsbɪl-,,,"31, 33",
296551,27,nose,nu-kons-,,,"1,58",
296552,28,"to breathe",-ɳavaŋap,,,69,
296553,30,mouth,ᵐboŋ-,,,41,
296554,31,tooth,ni-lβ-,,,"1,35",
296555,32,tongue,nɛ-lwɛm-,,,"7, 17",
296556,33,"to laugh",-vʊtmas,,,47,
296557,34,"to cry",-tɪŋ,,,1,
296558,35,"to vomit",-lualu,,,8,
296559,36,"to spit",-tʰɛlᵐʙɪs,,,15,
296560,37,"to eat",-aːɣan,,,1,
296561,38,"to chew",-olus,,,58?,
296562,39,"to cook",-taᵐbʊx,,,86,
296563,40,"to drink",-mɪnmɪn,,,"1,49",
296564,43,ear,ⁿdɛliŋa-,,,"1, 40",
296565,44,"to hear",-roŋ,,,1,
296566,45,eye,mɛtɛ-,,,1,
296567,46,"to see",-lɪs,,,"14, 94",
296568,47,"to yawn",-nmʷɔ,,,19,
296569,48,"to sleep",-metər,,,1,
296570,49,"to lie down",-mɛtmetər,,,37,
296571,50,"to dream",-mɛtɛrxoᵐb,,,"11, 10?",
296572,51,"to sit",-lɪᵑk,,,110,
296573,51,"to sit",-lɪᵑk,,,110,
296574,52,"to stand",-tɛr,,,"2, 69",
296575,54,man/male,moɣot,,,94,
296576,55,woman/female,ntɕʰaˑn,,,,
296577,56,child,netʰitʰɛ,,,5,
296578,59,mother,naːne,,,"1,83",
296579,59,mother,naːne,,,"1,83",
296580,60,father,taːte,,,19,
296581,61,house,ne-im,,,1,
296582,62,thatch/roof,ni-et,,,1,
296583,63,name,na-ᵑgt͡sɛ-,,,"1, 5",
296584,64,"to say",-waβar,,,30,
296585,64,"to say",-avar,,,30,
296586,65,rope,no-ɣɔ,,,25,
296587,66,"to tie up, fasten",-ᵐbɪᵑk,,,41,
296588,67,"to sew",-ⁿt͡sil,,,60,
296589,70,"to shoot",-lue,,,15,
296590,71,"to stab, pierce",-soxɔ,,,67,
296591,72,"to hit",-vr,,,94,
296592,74,"to kill",-vrɪᵐbn,,,69,
296593,75,"to die, be dead",-mɪs,,,1,
296594,76,"to live, be alive",-mur,,,"1, 76",
296595,77,"to scratch",-xoxɔ,,,65,
296596,78,"to cut, hack",-xorɪs,,,100,
296597,79,stick/wood,na-ɣe,,,1,
296598,80,"to split",-ᵑgal,,,,
296599,81,sharp,kʰaŋal,,,"14, 79, 81",
296600,82,"dull, blunt",psɪtɛrɛrsi,,,,
296601,83,"to work",-rɪᵐb,,,,
296602,84,"to plant",-ɣop,,,9?,
296603,87,"to swell",-ᵐbʊr,,,7,
296604,89,"to hold","-rob (tɪtɪn)",,,91,
296605,90,"to dig",-lɪβ,,,60,
