id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1259,Utudnon,"Carl Rubino (2005)",bvy,bayb1234,"Carl Rubino. 2005. \"Utudnon, an Undescribed Language of Leyte\". In Hsiu-chuan Liao and Carl R. Galvez Rubino (eds.), Current Issues in Philippine Linguistics and Anthropology: Parangal kay Lawrence A. Reid, 306-336. Manila, Philippines: Linguistic Society of the Philippines and SIL Philippines.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bisayan, Central, Warayan","Andrew Hsiu",,"@incollection{128254,  address    = {Manila, Philippines},  booktitle  = {Current Issues in Philippine Linguistics and Anthropology: Parangal kay Lawrence A. Reid},  pages      = {306-336},  publisher  = {Linguistic Society of the Philippines and SIL Philippines},  series     = {Current Issues in Philippine Linguistics and Anthropology},  title      = {Utudnon, an Undescribed Language of Leyte},  volume     = {XXXII},  year       = {2005},  bibtexkey  = {rubino_utudnon-leyte2005},  fn         = {papua\rubino_utudnon2005.pdf, papua\rubino_utudnon2005_o.pdf},  hhtype     = {grammar_sketch},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#s:Rubino:Utudnon},  author     = {Rubino, Carl},  editor     = {Liao, Hsiu-chuan and Rubino, Carl R. Galvez}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
299432,6,road/path,dáyan,,,1,
299433,20,"to know, be knowledgeable",kiláya,,,18,
299434,27,nose,ilóng,,,1,
299435,32,tongue,díla’,,,4,
299436,34,"to cry",tangís,,,1,
299437,39,"to cook",lung-ág,,,,
299438,41,"to bite",tukób,,,,
299439,43,ear,dayunggán,,,11,
299440,48,"to sleep",túyog,,,1,
299441,51,"to sit",púngko’,"sit down",,139,
299442,55,woman/female,bají,,,1,
299680,56,child,bagsók,,,,
299681,56,child,pujá,,,83,
299444,61,house,bayáy,,,14,
299445,64,"to say",silíng,,,57,
299446,68,needle,dayágom,,,,
299447,75,"to die, be dead",muy-ók,,,,
299448,95,"to fall",mahúyug,,,29,
299449,96,dog,irú’,,,21,
299450,106,snake,háyas,,,26,
299451,107,"worm (earthworm)",úyod,,,21,
299452,116,flower,buyák,,,22,
299453,121,sand,bayás,,,19,
299454,127,woods/forest,kakahuján,,,2,
299455,129,moon,búyan,,,1,
299456,134,thunder,dayugdúg,,,"2,48",
299457,135,lightning,lití’,,,84,
299458,136,wind,lití’,,,,
299459,140,dry,mayá,,,26,
299460,141,wet,húpit,,,,
299461,149,red,puyá,,,28,
299462,167,night,duyóm,,,20,
299463,170,when?,san-ó,,,"10,20",
299464,176,below,ilayúm,under,,20,
299465,177,this,iní,,,1,
299466,178,that,ádto,,,16,
299467,179,near,duóy,,,,
299676,181,where?,diín,past,,"1,15",
299677,181,where?,háin,"future and present",,"1,63",
299469,182,I,akú,,,"1,5",
299470,183,thou,ikáw,,,1,
299471,184,he/she,síja,,,"1,31",
299678,185,we,kitá,,,"1,50",
299679,185,we,kamí,,,"2,52",
299473,186,you,kamó,,,"1,38",
299474,187,they,silá,,,1,
299475,188,what?,anú,,,"2,18",
299476,189,who?,sin-ó,,,14,
299477,194,how?,anuón,,,29,
