id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1267,"Ayta Mag-indi","Stone (2008)",blx,magi1241,"Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.",,"Austronesian, Malayo-Polynesian, Philippine, Central Luzon, Sambalic","Andrew Hsiu",,"@article{150458,  journal    = {Studies in Philippine languages and cultures},  pages      = {158-183},  title      = {The Sambalic languages of Central Luzon},  volume     = {19},  year       = {2008},  bibtexkey  = {stone_sambalic-luzon2008},  country    = {Philippines [PH]},  fn         = {papua\stone_sambalic2008.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {51521},  src        = {hh, sil16},  srctrickle = {hh#hvw:Stone:Sambalic, sil16#51521},  subject    = {Language classification [LCL], Grammatical descriptions [GRD]},  author     = {Stone, Roger}}"
latitude,longitude
14.96170000000000000000,120.18200000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
300486,1,hand,gamɨt,,,21,
300487,2,left,odi,,,69,
300488,5,"to walk",bita,,,,
300489,9,"to swim",kaway,,,82,
300490,10,dirty,dinat,,,116,
300491,11,dust,alikabuk,,,"1,48",
300492,12,skin,balat,,,21,
300493,13,back,bukut,,,86,
300494,14,belly,bituka,,,85,
300495,15,bone,botʔu,,,39,
300496,17,liver,agtay,,L,,
300497,18,breast,susu,,,1,
300498,19,shoulder,bantaw,,,101,
300499,23,blood,daya,,,1,
300500,24,head,ulo,,,1,
300501,25,neck,bɨŋ,,,114,
300502,26,hair,sabut,,,66,
300503,27,nose,baluŋus,,,"1,86",
300504,29,"to sniff, smell",dɨp,,,79,
300505,30,mouth,bɨbɨy,,,"32,92",
300506,31,tooth,lasi,,,,
300507,32,tongue,dila,,,4,
300508,33,"to laugh",kayliʔ,,,99,
300509,34,"to cry",taŋis,,,1,
300510,35,"to vomit",suka,,,9,
300511,37,"to eat",ɨkan,,,"1,14",
300512,40,"to drink",inum,,,1,
300513,41,"to bite",kayat,,,1,
300514,42,"to suck",sɨpsɨp,,,1,
300515,43,ear,tɨk,,,45,
300516,44,"to hear",lɨŋɨʔ,,,"1,17",
300517,45,eye,mata,,,1,
300518,46,"to see",akit,,,"1,109",
300519,48,"to sleep",bɨlɨw,,,,
300520,50,"to dream",taynɨp,,,30,
300521,51,"to sit",iknuʔ,,,59,
300522,52,"to stand",irɨŋ,,,83,
300523,54,man/male,lilaki,,,"2,99",
300524,55,woman/female,babayi,,,"1,105",
300525,56,child,anak,,,1,
300526,57,husband,asawa,,,2,
300527,58,wife,asawa,,,1,
300528,59,mother,indu,,,16,
300529,60,father,bapa,,,5,
300530,61,house,bali,,,14,
300531,62,thatch/roof,buboŋ,,,6,
300532,63,name,lagyu,,,,
300533,65,rope,yubil,,,"22,23",
300534,67,"to sew",tayiʔ,,,1,
300535,68,needle,karayom,,,"1,34",
300536,73,"to steal",takaw,,,1,
300537,74,"to kill",pati,,,2,
300538,81,sharp,tarɨm,,,1,
300539,83,"to work",obra,,,,
300540,84,"to plant",tanɨm,,,2,
300541,85,"to choose",piliʔ,,,1,
300542,88,"to squeeze",pɨspɨs,,,29,
300543,90,"to dig",kali,,,1,
300544,91,"to buy",haliw,,,20,
300545,94,"to throw",tapun,,,98,
300546,96,dog,asu,,,1,
300547,97,bird,manunk,,,1,
300548,98,egg,ukuy,,,16,
300549,99,feather,sabut,,,65,
300550,100,wing,palakpak,,,33,
300551,101,"to fly",lumpad,,,21,
300552,105,tail,ikuy,,,1,
300553,106,snake,utan,,,67,
300554,107,"worm (earthworm)",uwɨl,,,35,
300555,109,mosquito,ilɨk,,,28,
300556,110,spider,gigaŋ,,,69,
300557,111,fish,kɨnaʔ,,,46,
300558,115,root,uyat,,,1,
300559,117,fruit,tagɨy,,,43,
300560,120,stone,batu,,,1,
300561,121,sand,balas,,,19,
300562,122,water,lanɨm,,,"1,56",
300563,125,salt,asin,,,3,
300564,128,sky,laŋit,,,1,
300565,129,moon,buwan,,,1,
300566,130,star,bɨtɨwɨn,,,1,
300567,131,cloud,lem,,,2,
300568,133,rain,uran,,,1,
300569,134,thunder,kilat,,,41,
300570,135,lightning,kilat,,,1,
300571,138,warm,ʔumut,hot,,105,
300572,139,cold,lɨpʔɨt,,,,
300573,141,wet,basaʔ,,,1,
300574,142,heavy,biyat,,,1,
300575,143,fire,apuy,,,1,
300576,145,smoke,asuk,,,"2,53",
300577,146,ash,abu,,,1,
300578,147,black,uyaŋ,,,85,
300579,148,white,puti,,,1,
300580,149,red,udit,,,101,
300581,150,yellow,ʔɨlyaw,,,27,
300582,152,small,bɨlɨŋ,,,,
300583,153,big,ragul,,,100,
300584,155,long,karaŋ,,,90,
300585,156,thin,impis,,,"1,47",
300586,157,thick,kudpa,,,"1,11",
300587,158,narrow,kapit,,,"47,72",
300588,159,wide,kuwal,,,66,
300589,163,new,bayu,,,"1,54",
300590,164,good,ŋɨd,,,113,
300591,167,night,yabi,,,21,
300592,168,day,maʔamot,,,55,
300593,169,year,taʔun,,,1,
300594,170,when?,makanu,,,"10,19",
300595,171,"to hide",taguʔ,,L,,
300596,172,"to climb",dakey,,,34,
300597,180,far,dayu,,,1,
300598,181,where?,antu,,,"1,77",
300599,182,I,aku,,,"1,5",
300600,183,thou,ka,,,"1,29",
300601,184,he/she,ya,,,1,
301792,185,we,kitamu,,,"1,49",
301793,185,we,kay,,,2,
300603,186,you,kau,,,"1,20",
300604,187,they,sila,,,1,
300605,188,what?,sabet,,,,
300606,189,who?,sisabɨt,,,,
300607,191,all,kaganawan,,,77,
300608,192,and,buy,,,,
300609,193,if,nu,,,"2,70",
300610,194,how?,parasaʔantu,,,,
300611,196,"to count",bilaŋ,,,1,
300612,197,One,gisaʔ,,,1,
300613,198,Two,luwaʔ,,,1,
300614,199,Three,tatluʔ,,,"1,10",
300615,200,Four,apat,,,"1,16",
300616,201,Five,limaʔ,,,1,
300617,202,Six,anɨm,,,"1,40",
300618,203,Seven,pituʔ,,,1,
300619,204,Eight,waluʔ,,,3,
300620,205,Nine,siyam,,,9,
300621,206,Ten,mapuʔ,,,"5,40",
300622,207,Twenty,luwampuʔ,,,"3,6",
300623,208,Fifty,limampuʔ,,,"1,2",
300624,209,"One Hundred","gisay gatus",,,4,
300625,210,"One Thousand","gisay libuʔ",,,5,
