id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1274,Hanunoo,"Barbian (1977)",hnn,hanu1241,"Barbian, Karl-Josef. 1977. The Mangyan languages of Mindoro. Cebu City: University of San Carlos.",,"Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, South Mangyan, Hanunoo","Andrew Hsiu",,"@book{311529,  address    = {Cebu City},  pages      = {200},  publisher  = {University of San Carlos},  title      = {The Mangyan languages of Mindoro},  year       = {1977},  bibtexkey  = {barbian_mangyan-mindoro1977mindoro},  extra_hash = {mindoro},  fn         = {papua\barbian_mangyan-mindoro1977.pdf, papua\barbian_mangyan-mindoro1977_o.pdf},  hhtype     = {overview;comparative;wordlist},  inlg       = {English [eng]},  macro_area = {Papua},  src        = {hh},  srctrickle = {hh#hvw:Barbian:Mangyan-Mindoro},  author     = {Barbian, Karl-Josef}}"
latitude,longitude
12.41590000000000000000,121.22100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
301150,1,hand,dalúkap,,,"3,44",
335245,2,left,wala,,,"25,68",
335246,2,left,wal'án,,,"25,68",
335253,3,right,sikón,"right hand",,71,
335260,5,"to walk",lumakang,,,1,
335261,5,"to walk",lakáw,,,1,
335271,6,road/path,dalan,,,1,
335278,9,"to swim",lumangóy,,,1,
335287,10,dirty,mauring,,,46,
335288,10,dirty,bangí,,,,
335302,11,dust,mapag'ón,,,,
301151,12,skin,lukób,,,83,
301152,13,back,dayó,,,"87,89",
301153,14,belly,tiyán,,,1,
335314,15,bone,but'ó,,,39,
301154,16,intestines,puná,,,64,
301155,17,liver,atáy,,,1,
335321,18,breast,suso,,,1,
301156,19,shoulder,labay,,,85,
335328,21,"to think",magdumdum,,,,
335329,21,"to think",painuinu,,,,
335330,21,"to think",magdumán,,,106,
335344,22,"to fear",dala,,,91,
335345,22,"to fear",magkadala,,,91,
301157,23,blood,dugó,,,16,
301158,24,head,ulo,,,1,
301690,25,neck,leog,,,1,
301691,25,neck,langgáw,,,,
301160,26,hair,buhók,,,"1,65",
301692,27,nose,ilóng,,,1,
301693,27,nose,iróng,,,1,
