id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1291,"Tirax (Bakru)","Aviva Shimelman",mme,maee1241,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, Malekula Coastal","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1291-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
latitude,longitude
-15.99140000000000000000,167.28800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
302004,1,hand,fəra-,,,16,
302053,2,left,maiɾe,,,"1,59",
302101,3,right,matu,,,"5, 37",
302147,4,leg/foot,malɛ-,,,62,
302194,5,"to walk",-vial,,,10,
302239,6,road/path,na-hal,,,1,
302284,7,"to come",-mɛ,,,1,
302332,8,"to turn",-ⁿdʳori,,,"34, 106",
302412,10,dirty,-lalo,,,6,
302448,11,dust,bɛtɪɸ,,,87,
302496,12,skin,flɛ-,,,"1, 81",
302543,13,back,taho-,,,12,
302591,14,belly,tᵐbaɣi-,,,"36, 99",
302636,15,bone,su-,,,52,
302683,16,intestines,sɪnɪ-,,,1,
302760,18,breast,na-sus,,,1,
302842,22,"to fear",-mtaɣit,,,1,
302888,23,blood,na-ⁿdʳe,,,1,
302936,24,head,ᵐbati-,,,9,
302982,25,neck,ᵐbetiⁿdʳal,,,"42, 117",
303029,26,hair,"fəlɛn bati-",,,"31, 60",
303076,27,nose,kuhu-,,,"1,58,55",
303122,28,"to breathe",-vɪnlaŋ,,,77,
303155,29,"to sniff, smell",-vtin,,,"83, 84",
303194,30,mouth,soŋo-,,,55,
303239,31,tooth,lɪvo-,,,"1,35",
303287,32,tongue,nɛnɛ-,,,"7, 41",
303335,33,"to laugh",-fogaur,,,92,
303384,34,"to cry",-ŋar,,,5,
303429,35,"to vomit",-lu,,,8,
303477,36,"to spit",-tⁿti,,,15,
303523,37,"to eat",-wɛⁿdʳ,,,35,
303578,39,"to cook",-titin,,,9,
303614,40,"to drink",-nin,,,"1,49",
303658,43,ear,ⁿdʳɪlɪŋa-,,,"1, 40",
303707,44,"to hear",-roŋo,,,1,
303750,45,eye,məta-,,,1,
303797,46,"to see",-lehi,,,"14, 94",
303834,47,"to yawn",-məmaɸ,,,19,
303875,48,"to sleep",-netur,,,1,
303945,50,"to dream","-netur ᵐborobor",,,"11, 10",
303991,51,"to sit",-at,,,109,
304040,52,"to stand",-tur,,,"2, 69",
304091,54,man/male,nɛrnɛr,,,73,
304139,55,woman/female,vinaⁿdʳ,,,"1,101",
304186,56,child,tɛᵐbiʰ,,,80,
304234,57,husband,leh,,,38,
304282,58,wife,vinaⁿdʳ-h-,,,"5, 63",
304327,59,mother,nunu,,,53,
304373,60,father,tata,,,19,
304421,61,house,na-in,,,1,
304469,62,thatch/roof,ni-at,,,1,
304553,64,"to say",-vɛri,,,30,
304601,65,rope,narit,,,63,
304650,66,"to tie up, fasten",-miʃi,,,80,
304761,70,"to shoot",-vini,,,1,
304840,72,"to hit",-ruᵐbi,,,87,
304887,73,"to steal",-vənaɣe,,,"1,58",
304934,74,"to kill",-ruᵐbinɛʰ,,,"71, 1",
304982,75,"to die, be dead",-nɛʰ,,,1,
305071,77,"to scratch",-koskosizi,,,69,
305113,78,"to cut, hack",-tɛsi,,,29,
305161,79,stick/wood,na-ɣa,,,1,
305243,81,sharp,-mon,,,24,
305286,82,"dull, blunt",-ᵐbatot,,,15,
305328,83,"to work",-ⁿdah,,,75,
305372,84,"to plant",-lap,,,10,
305420,87,"to swell",-hol,,,66,
305501,89,"to hold",-tugoni,,,94,
305586,91,"to buy",-vol,,,1,
305632,92,"to open, uncover",-wale,,,55,
305672,93,"to pound, beat",-ruᵐbruᵐbi,,,43,
305718,94,"to throw",-sɛrɛɣe,,,87,
305761,95,"to fall",-soɸ,,,13,
305804,96,dog,liⁿdax,,,29,
305853,97,bird,nanix,,,1,
305901,98,egg,ⁿdʳul,,,"1, 66",
305950,99,feather,fəle-na,,,1,
305994,100,wing,na-ɣaⁿde,,,"1, 12, 67",
306041,101,"to fly",-ɣaɣaⁿd,,,"14, 78, 80",
306088,102,rat,na-xarip,,,18,
306181,105,tail,balɣan,,,60,
306229,106,snake,nə-mat,,,12,
306274,107,"worm (earthworm)",vɪlɛslɛs,,,"68, 72, 73, 74",
306316,108,louse,na-ɣut,,,1,
306364,109,mosquito,namux,,,1,
306412,110,spider,nela,,,1,
306459,111,fish,nas,,,53,
306550,113,branch,raŋ,,,"1,21",
306598,114,leaf,roɣa,,,"51, 53",
306643,115,root,lɪᵐbana,,,18,
306709,117,fruit,na-voŋa-,,,9,
306750,118,grass,na-nix,,,51,
306794,119,earth/soil,ⁿtan,,,"1, 78",
306842,120,stone,nə-vat,,,1,
306890,121,sand,na-wɛn,,,1,
306937,122,water,nu-ã,,,2,
306990,124,sea,ⁿtah,,,1,
307034,126,lake,nalɛⁿd,,,"37, 38",
307076,127,woods/forest,nɛ-nitəra,,,90,
307120,128,sky,ⁿdakran,,,"30, 31",
307164,129,moon,na-vʉɬ,,,1,
307212,130,star,fivor,,,70,
307297,133,rain,na-uh,,,1,
307345,134,thunder,ᵐbetᵐbetekuɾ,,,"2, 84",
307393,135,lightning,vlax,,,26,
307439,136,wind,n-laŋ,,,"1, 77",
307528,139,cold,-nalɣa,,,51,
307615,141,wet,-waiɾ,,,"35, 47",
307661,142,heavy,-ⁿdʳoɸ,,,14,
307707,143,fire,naⁿdɣan,,,19?,
307751,144,"to burn",-ɣan,,,40,
307792,145,smoke,ies,,,"2, 77",
307835,146,ash,ᵐbɪtɪɸ,,,79,
307924,148,white,-vus,,,1,
307970,149,red,-nial,,,"1, 55",
308015,150,yellow,-məɣɛl,,,68,
308055,151,green,-ɣasan,,,8,
308097,152,small,-ᵐbiʰ,,,109,
308144,153,big,-lalaⁿd,,,"10, 86",
308189,160,"painful, sick",-ros,,,32,
308275,162,old,-trtəra,,,27,
308320,163,new,-mɪlakɛl,,,44,
308363,164,good,-nam,,,27,
308410,165,"bad, evil",-hat,,,1,
308457,166,"correct, true",-vratin,,,"37, 73",
308501,167,night,laᵐbuŋ,,,1,
308549,168,day,laran,,,6,
308596,169,year,"kaka haɣal",,,67,
308635,170,when?,hɛvɛliŋ,,,59,
308672,171,"to hide",-tohoɣi,,,,
308767,174,"in, inside",lalɛn,,,1,
308813,175,above,linha,,,11,
308860,176,below,nɛlvɛn,,,"41, 74",
308893,177,this,xori,,,58,
308917,178,that,huwe,,,37,
308945,179,near,xeriɸ,,,89,
308992,180,far,awe,*kawe,,71,
318377,180,far,awe,,,71,
318378,180,far,awe,,,71,
309038,181,where?,xande,,,"3, 59",
309082,182,I,xono,,,"1,21,22",
309131,183,thou,nox,,,"1, 18",
309179,184,he/she,xain,,,"1, 29",
309225,185,we,nekir,"we pl incl",,I,
309266,185,we,knɛn,"we pl excl",,E42,
309297,185,we,"nekir ⁿderu","we dl incl",,,
309321,185,we,"knɛn iru","we dual excl",,,
309351,186,you,kɛni,"you pl",,"1,13",
309428,187,they,xair,they,,"1, 69",
309496,188,what?,haɣa,,,"1, 59",
309538,189,who?,hena,,,"1, 25",
309595,194,how?,hɪⁿdlaxa,,,56,
309675,196,"to count",sɪᵐbegi,,,73,
309720,197,One,haɣal,,,"42, 57",
309768,198,Two,i-ru,,,1,
309816,199,Three,i-til,,,1,
309864,200,Four,i-vat,,,"1,65",
309912,201,Five,i-lin,,,1,
309960,202,Six,i-ɣoɛn,,,1,
310007,203,Seven,i-ɣɛⁿdit,,,1,
310055,204,Eight,i-ɣowɛl,,,3,
310102,205,Nine,i-ɣesiɸ,,,5,
310149,206,Ten,hiŋavil,,,5,
310196,207,Twenty,i-ŋoviliru,,,9,
310285,209,"One Hundred",i-ŋosɪŋavil,,,40,
