id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1305,"Alavas 1","Aviva Shimelman",,,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1305-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
302024,1,hand,naðara-,,,16,
302072,2,left,na-maiɾ,,,"1,59",
302118,3,right,na-matue,,,"5, 37",
302165,4,leg/foot,na-ᵐbalaku-,,,33,
302214,5,"to walk",-tia,,,112,
302304,7,"to come",-ma,,,1,
302348,8,"to turn",-rori,,,"34, 106",
302388,9,"to swim",-tial,,,85,
302427,10,dirty,-loxlox,,,129,
302468,11,dust,nɪ-ᵐbɪtmaɸ,,,86,
302515,12,skin,ni-ʒil,,,"1, 81",
302562,13,back,nu-suᵐbuna-,,,91,
302608,14,belly,ni-hinɪ-,,,"19, 34",
302655,15,bone,ni-si-,,,52,
302736,17,liver,nɛ-ᵐbɛᵐbi-,,,"7, 54",
302814,19,shoulder,nɪ-ᵐbili-,,,38,
302861,22,"to fear",-luɣɔ,,,19,
302908,23,blood,na-re,,,1,
302955,24,head,na-ᵐbatu-,,,9,
303001,25,neck,nɛ-ᵐbɛtralu-,,,"42, 116",
303049,26,hair,"nɪðil batu-",,,"31, 60",
303096,27,nose,nu-kunuhu-,,,"1,58",
303168,29,"to sniff, smell",-ᵐbuno,,,42,
303211,30,mouth,nu-suŋo-,,,55,
303258,31,tooth,nu-luvo-,,,"1,35",
303307,32,tongue,nɛ-nɛnɛ-,,,"7, 41",
303355,33,"to laugh",-ðaur,,,92,
303404,34,"to cry",-ŋara,,,5,
303449,35,"to vomit",-lulue,,,8,
303497,36,"to spit",-lutuð,,,"37,102",
303543,37,"to eat",-or,,,35,
303632,40,"to drink",-num,,,"1,34",
303678,43,ear,no-ᵐbororu-,,,16,
303725,44,"to hear",-roŋɔ,,,1,
303770,45,eye,na-nata-,,,1,
303851,47,"to yawn",-nanað,,,19,
303895,48,"to sleep",-natuɾ,,,1,
303963,50,"to dream","-nutur poɾpoɾ",,,"11, 10",
304011,51,"to sit",-at,,,109,
304060,52,"to stand",-turo,,,"2, 69",
304110,54,man/male,nɛ-mɛɾɛte,,,73,
304159,55,woman/female,na-ðaðɛn,,,"1,106",
304205,56,child,ʧiᵐblax,,,79,
304253,57,husband,nɛ-hɛl-h-,,,38?,
304300,58,wife,lɪgtɛr-h-,,,29,
304347,59,mother,nɛhɛr,,,,
304393,60,father,tɛte,,,19,
304441,61,house,ne-man,,,1,
304489,62,thatch/roof,nɛ-reat,,,"1, 61",
304573,64,"to say",-vʷaɾa,,,30,
304621,65,rope,nanarte,,,63,
304666,66,"to tie up, fasten",-sal,,,79,
304700,67,"to sew",-rur,,,13,
304735,69,"to hunt",-xoroɾ,,,"59, 64",
304816,71,"to stab, pierce",-haɾa,,,14,
304859,72,"to hit",-rump,,,87,
304907,73,"to steal",-ðanax,,,"1,58",
304953,74,"to kill",-ruᵐbana,,,"71, 1",
305002,75,"to die, be dead",-na,,,1,
305049,76,"to live, be alive",-nɛveɾe,,,"1, 76, 69",
305087,77,"to scratch",-koskos,,,69,
305132,78,"to cut, hack",-hinde,,,99,
305181,79,stick/wood,na-i,,,1,
305263,81,sharp,-mʷon,,,24,
305345,83,"to work",-ðɛahax,,,33,
305391,84,"to plant",-ruɸ,,,9,
305439,87,"to swell",-vuwun,,,68,
305475,88,"to squeeze",-wihiɣin,,,74,
305559,90,"to dig",-giɬ,,,1,
305605,91,"to buy",-wʊɬ,,,1,
305689,93,"to pound, beat",-ruᵐburuᵐb,,,43,
305734,94,"to throw",-vɛrɪn,,,90,
305824,96,dog,ni-viɾi,,,"7, 75, 80",
305872,97,bird,na-nanɣɔ,,,1,
305921,98,egg,no-rul,,,"1, 66",
305968,99,feather,ni-ðil-muan,,,1,
306013,100,wing,nandɛn,,,"1, 12, 67",
306061,101,"to fly",-tahiɣ,,,77,
306108,102,rat,na-rið,,,18,
306156,103,meat/flesh,nu-ɣoðɣoðɛne,,,89,
306200,105,tail,na-valaune,,,64,
306249,106,snake,na-mat,,,12,
306291,107,"worm (earthworm)",nɪ-vɪlɪsɪlas,,,"68, 72, 73, 74",
306336,108,louse,na-ɣut,,,1,
306384,109,mosquito,namɣɔ,,,1,
306432,110,spider,nela,,,1,
306479,111,fish,na-nas,,,53,
306524,112,rotten,-momo,,,51,
306569,113,branch,na-raŋa-n,,,"1,21",
306616,114,leaf,na-raune,,,1,
306662,115,root,nalaᵐbɛn,,,18,
306728,117,fruit,nu-vuan,,,9,
306767,118,grass,na-nuh,,,51,
306813,119,earth/soil,na-tan,,,1,
306861,120,stone,na-ðat,,,1,
306909,121,sand,na-on,,,1,
306956,122,water,no-a,,,2,
307009,124,sea,na-tah,,,1,
307049,126,lake,na-lɛnd,,,"37, 38",
307094,127,woods/forest,no-voroa,,,"2, 88",
307137,128,sky,na-ⁿdaknaran,,,"30, 31",
307183,129,moon,na-βule,,,1,
307231,130,star,no-vovoɾ,,,70,
307316,133,rain,na-hue,,,1,
307364,134,thunder,nakuɾu,,,2,
307412,135,lightning,nɪ-ɣilax,,,26?,
307458,136,wind,na-laŋ,,,"1, 77",
307547,139,cold,-nanala,,,51,
307587,140,dry,-nanah,,,11,
307634,141,wet,-hinin,,,36,
307680,142,heavy,-roɸ,,,31,
307726,143,fire,nahand,,,19,
307768,144,"to burn",-ɣan,,,40,
307810,145,smoke,nɪ-hɪnand,,,2,
307852,146,ash,nɪ-ᵐbɪtmaɸ,,,75,
307896,147,black,-loŋ,,,80,
307943,148,white,-ᵐbiahavo,,,105,
307989,149,red,-nial,,,"1, 55",
308030,150,yellow,-mɛlɛɣ,,,68,
308071,151,green,-ɣasan,,,8,
308115,152,small,-vɛlvili,,,115,
308162,153,big,-lan,,,"10, 86",
308204,160,"painful, sick",-ros,,,32,
308248,161,"shy, ashamed",-noɣonɣan,,,"55, 60",
308293,162,old,nɛ-mɛrsean,,,"1, 124",
308382,164,good,-naki,,,107,
308429,165,"bad, evil",-hat,,,1,
308475,166,"correct, true",-vurtian,,,"37, 73",
308520,167,night,tuᵐbuŋ,,,"1,67",
308568,168,day,tiran,,,"6, 52",
308615,169,year,nu-huɣað,,,"29, 65",
308647,170,when?,tahaðe,*takape,,60,
318526,170,when?,tahaðe,,,60,
318527,170,when?,tahaðe,,,60,
308691,171,"to hide",-vtehuwun,,,"37, 39",
308738,172,"to climb",-hax,,,2,
308787,174,"in, inside",lalalon,,,1,
308832,175,above,maro,,,10,
308877,176,below,laŋalaðɛn,,,"41, 76",
308905,177,this,hiŋis,,,59,
308964,179,near,huruð,,,89,
309009,180,far,luhuɣa,,,"62, 63",
309054,181,where?,ande,,,"3, 59",
309102,182,I,ɣina,,,"1,21,22",
309151,183,thou,wunox,,,"1, 18",
309198,184,he/she,ɣe,,,"1, 29",
309243,185,we,jɛkɛre,"we pl incl",,I,
309279,185,we,kanan,"we pl excl",,E42,
309370,186,you,kan,"you pl",,"1,13",
