id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1310,"Siviti (Womol)","Aviva Shimelman",,,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1310-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
301994,1,hand,wara-,,,16,
302043,2,left,mʷiɾ,,,"1,59",
302091,3,right,matu,,,"5, 37",
302137,4,leg/foot,malɛ-,,,62,
302184,5,"to walk",-vial,,,10,
302231,6,road/path,ⁿzal,,,1,
302274,7,"to come",-mʷẽ,,,1,
302322,8,"to turn",-rori,,,"34, 106",
302404,10,dirty,-lalo,,,6,
302486,12,skin,vɪlo-,,,"1, 81",
302533,13,back,ⁿdaɣu-,,,12,
302581,14,belly,lavoɣa-,,,86,
302626,15,bone,ⁿʒi-,,,"2, 31",
302714,17,liver,na-rena,,,5,
302751,18,breast,ne-sus,,,1,
302788,19,shoulder,ᵐbʷili-,,,38,
302832,22,"to fear",-mɛtaɣut,,,1,
302878,23,blood,na-re,,,1,
302926,24,head,ᵐbati-,,,9,
302974,25,neck,ⁿzalɣa-,,,99,
303019,26,hair,"vɛlon bati-",,,"31, 60",
303066,27,nose,ᵑguʃu-,,,"1,58,55",
303114,28,"to breathe",-vɪlaŋ,,,77,
303146,29,"to sniff, smell",-vtin,,,"83, 84",
303184,30,mouth,ⁿzoŋo-,,,55,
303229,31,tooth,lowo-,,,"1,35",
303277,32,tongue,mimɛ-,,,"7, 41",
303325,33,"to laugh",-ɳiɾ,,,93,
303374,34,"to cry",-rat,,,61,
303419,35,"to vomit",-lulu,,,8,
303467,36,"to spit",-tiβis,,,15,
303514,37,"to eat",-or,,,35,
303569,39,"to cook",-titin,,,9,
303604,40,"to drink",-min,,,"1,49",
303648,43,ear,ᵐboro-,,,16,
303697,44,"to hear",-roŋa,,,1,
303740,45,eye,mɛta-,,,1,
303789,46,"to see",-lɪs,,,"14, 94",
303865,48,"to sleep",-metuɾ,,,1,
303935,50,"to dream","-metur porpoɾ",,,"11, 10",
303981,51,"to sit",-at,,,109,
304030,52,"to stand",-tuɾ,,,"2, 69",
304084,54,man/male,ni-mɛrmɛɾ,,,73,
304129,55,woman/female,nɛvɛnar,,,"1,101",
304176,56,child,lɪlɪt͡siplɛx,,,79,
304224,57,husband,lilɛɣ-s-,,,38,
304272,58,wife,nɛ-vɛnar-s-,,,"75, 76",
304317,59,mother,mama,,,5,
304364,60,father,tate,,,19,
304411,61,house,na-im,,,1,
304459,62,thatch/roof,ni-at,,,1,
304506,63,name,ni-ŋsa-,,,"1, 36",
304545,64,"to say",-wiɾ,,,30,
304591,65,rope,marit,,,63,
304640,66,"to tie up, fasten",-mʷit͡s,,,80,
304684,67,"to sew",-rur,,,13,
304714,69,"to hunt",-xorxor,,,"59, 64",
304751,70,"to shoot",-soɾo,,,16,
304794,71,"to stab, pierce",siɾ,,,14,
304830,72,"to hit",-rup,,,87,
304877,73,"to steal",-vɪnaɣe,,,"1,58",
304925,74,"to kill",-rupɛmɛs,,,"71, 2",
304972,75,"to die, be dead",-mɛs,,,1,
305020,76,"to live, be alive",-meruɸ,,,"1, 76",
305105,78,"to cut, hack",-vɛlɛ,,,,
305151,79,stick/wood,na-ɣa,,,1,
305200,80,"to split",tetuaɣe,,,,
305233,81,sharp,-mʷon,,,24,
305277,82,"dull, blunt",-papot,,,15,
305318,83,"to work",-pas,,,30,
305362,84,"to plant",-ruv,,,9,
305410,87,"to swell",-wuwun,,,68,
305453,88,"to squeeze",-wis,,,"18, 71",
305492,89,"to hold",-us,,,46,
305538,90,"to dig",-ɣil,,,1,
305576,91,"to buy",-wʊl,,,1,
