id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1313,Najit,"Aviva Shimelman",,,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1313-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
302006,1,hand,nɪvar-,,,16,
302055,2,left,nə-miɾ,,,"1,59",
302103,3,right,nə-mɛtu,,,"5, 37",
302149,4,leg/foot,n̩ə-milo-,,,62,
302196,5,"to walk",-val,,,10,
302241,6,road/path,ⁿʒal,,,1,
302286,7,"to come",-mã,,,1,
302334,8,"to turn",-rori,,,"34, 106",
302372,9,"to swim",-səf,,,12,
302413,10,dirty,loŋ,,,129,
302450,11,dust,naf,,,1,
302545,13,back,ⁿʒɪpno-,,,91,
302593,14,belly,lɛvuwo-,,,86,
302638,15,bone,ⁿʒi-,,,"2, 31",
302685,16,intestines,ⁿʒɪno-,,,1,
302761,18,breast,na-sus,,,1,
302798,19,shoulder,ᵐbələ-,,,38,
302844,22,"to fear",-ləɣoləx,,,19,
302890,23,blood,ni-re,,,1,
302938,24,head,ᵐbatu-,,,9,
302984,25,neck,ⁿʒɛlɣa-,,,99,
303031,26,hair,nɪ-vulo-,,,31,
303078,27,nose,gsʊ-,,,"1,58,55",
303124,28,"to breathe",-vɪnlaŋ,,,77,
303196,30,mouth,ⁿʒoŋo-,,,55,
303241,31,tooth,luvo-,,,"1,35",
303289,32,tongue,nɪ-mɛmɛ-,,,"7, 41",
303337,33,"to laugh",-ɳir,,,93,
303386,34,"to cry",-ŋɛr,,,5,
303431,35,"to vomit",-lolo,,,8,
303479,36,"to spit",-tɪpɪs,,,15,
303525,37,"to eat",-or,,,35,
303616,40,"to drink",-min,,,"1,49",
303660,43,ear,ᵐboro-,,,16,
303709,44,"to hear",-roŋɔ,,,1,
303752,45,eye,nə-mto-,,,1,
303798,46,"to see",-lɪs,,,"14, 94",
303835,47,"to yawn",-momaɸ,,,19,
303877,48,"to sleep",-mɛtur,,,1,
303947,50,"to dream","-mɛtur porpor",,,"11, 10",
303993,51,"to sit",-at,,,109,
304042,52,"to stand",-tor,,,"2, 69",
304093,54,man/male,mɛrmɛr,,,73,
304141,55,woman/female,ⁿduat,,,102,
304188,56,child,ⁿdipʷis,,,69,
304236,57,husband,lɛlax,,,38,
304284,58,wife,ⁿduat-s-,,,81,
