id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1314,"Alavas-Wowo (Wowo 1)","Aviva Shimelman",,,"Transcription -- broad -- done with standard IPA with the exception that [ᴅ] was represented as \"dʳ\".",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Malekula Interior","Aviva Shimelman","Aviva Shimelman","@misc{Shimelman-1314-2016,  author = \"Aviva Shimelman\",  date = \"2016\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
302022,1,hand,narara-,,,16,
302070,2,left,na-maiɾ,,,"1,59",
302116,3,right,na-matue,,,"5, 37",
302163,4,leg/foot,na-ᵐbalako-,,,33,
302212,5,"to walk",-tia,,,112,
302254,6,road/path,na-hal,,,1,
302302,7,"to come",-ma,,,1,
302346,8,"to turn",-rori,,,"34, 106",
302426,10,dirty,-loklox,,,129,
302466,11,dust,nɛ-ᵐbɛtmaɸ,,,86,
302513,12,skin,ne-ʒil,,,"1, 81",
302560,13,back,nɪ-soᵐbuna-,,,91,
302606,14,belly,ni-hinɪ-,,,"19, 34",
302654,15,bone,ni-si-,,,52,
302698,16,intestines,nɛltɛgnasəne,,,"1, 67",
302734,17,liver,na-ᵐbɪ-,,,7?,
302772,18,breast,"na hu",,,1,
302812,19,shoulder,nɛ-ᵐbilne,,,38,
302859,22,"to fear",-luwɔ,,,19?,
302906,23,blood,na-re,,,1,
302953,24,head,na-ᵐbatɪ-,,,9,
302999,25,neck,nɪ-ᵐbɪtralo-,,,"42, 116",
303047,26,hair,"niðil batɪ-",,,"31, 60",
303094,27,nose,nu-kunuhi-,,,"1,58",
303167,29,"to sniff, smell",-ᵐbuno,,,42,
303256,31,tooth,nu-luwo-,,,"1,35",
303305,32,tongue,nɛ-nɛnɛ-,,,"7, 41",
303353,33,"to laugh",-ðaur,,,92,
303402,34,"to cry",-ŋara,,,5,
303447,35,"to vomit",-lulue,,,8,
303495,36,"to spit",-lutuð,,,"37,102",
303541,37,"to eat",-or,,,35,
303630,40,"to drink",-num,,,"1,34",
303676,43,ear,no-ᵐbororo-,,,16,
303723,44,"to hear",-roŋɔ,,,1,
303768,45,eye,na-nata-,,,1,
303810,46,"to see",-lɛ,,,14,
303849,47,"to yawn",-nanaðʰa,,,19,
303893,48,"to sleep",-natuɾ,,,1,
303961,50,"to dream","-natuɾ poɾpoɾ",,,"11, 10",
304009,51,"to sit",-at,,,109,
304058,52,"to stand",-toɾo,,,"2, 69",
304108,54,man/male,nɛmɛrɛte,,,73,
304157,55,woman/female,na-ðaðɛn,,,"1,106",
304203,56,child,nɛ-ʧiᵐblax,,,79,
304251,57,husband,nɛ-hɛl-h-,,,38?,
304298,58,wife,lɛktɛr-h-,,,29,
304345,59,mother,deðe,,,"20, 62",
304391,60,father,tɛte,,,19,
304439,61,house,ne-men,,,1,
304487,62,thatch/roof,nɛ-riat,,,"1, 61",
304528,63,name,na-haɣe,,,"1, 39",
304571,64,"to say",-var,,,30,
304619,65,rope,nanarte,,,63,
304664,66,"to tie up, fasten",-sal,,,79,
304699,67,"to sew",-rur,,,13,
304733,69,"to hunt",-xoroɾ,,,"59, 64",
