id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1329,"Mato (Ramuk dialect)","Stober 2005, 2013 & Lincoln 1976",met,mato1252,"Author / Source: Stober, Scot, 2005. Mato dialect survey.  Unpublished ms., Summer Institute of Linguistics. Stober, Scot F., 2013. Mato grammar sketch.  Ukarumpa: SIL-PNG Academic Publications. (Data Papers on Papua New Guinea Languages 59)Lincoln, Peter C., 1976. Rai Coast Austronesian language survey data, in two parts.  Mimeo, University of Hawai`i. Notes: Stober's list is the main source, but supplemented with data from Lincoln's Nenaya list (agreement between the two lists is good) and from Stober's grammar sketch.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Roinji-Nenaya","Malcolm Ross","Malcolm Ross","@misc{hdial_Stober_Mato,  title            = {Mato dialect survey: Morobe province},  year             = {2005},  fn               = {papua\stober_mato-dialect-survey2005.pdf},  glottolog_ref_id = {55052},  hhtype           = {overview;dialectology},  howpublished     = {Ms.},  lgcode           = {Mato [met]},  macro_area       = {Papua},  numnote          = {1,2,2+1,2+2 etc.},  author           = {Stober, Scot F.}}@book{g_Stober_Mato,  title            = {Mato grammar sketch},  publisher        = {Ukarumpa: SIL},  series           = {Data Papers on Papua New Guinea Languages},  volume           = {59},  pages            = {206},  year             = {2013},  fn               = {papua\stober_mato2013.pdf},  glottolog_ref_id = {319941},  hhtype           = {grammar},  inlg             = {English [eng]},  lgcode           = {Mato = Mato [met]},  macro_area       = {Papua},  author           = {Stober, Scot F.}}@mimeo{lincoln1976a,  date      = {1976},  title     = {Rai Coast Austronesian language survey data, in two parts},  medium    = {Mimeo},  publisher = {University of Hawai`i},  language  = {en},  author    = {Lincoln, Peter C.}}"
latitude,longitude
-5.91640000000000000000,146.85900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
310556,1,hand,rimano,,,1,
310557,2,left,xoŋ,,,,
310558,3,right,rimamo,,,,
310559,4,leg/foot,kino,,,,
310560,5,"to walk",haxa,,,123,
310561,6,road/path,daxaŋa,,,70,
310562,7,"to come",ma,,,1,
310563,8,"to turn",gea,"Source: Lincoln",,,
310583,8,"to turn",yaga,,,,
310564,9,"to swim",yum,,,94,
310565,10,dirty,musu,,,136,
310566,11,dust,gagap,,,59,
310567,12,skin,saŋganoa,,,95,
310568,13,back,ubunoa,,,101,
310569,14,belly,gamonoa,,,45,
310570,15,bone,tuana,,,"1,10",
310571,16,intestines,wau-,"Source: Lincoln",,81,
310572,17,liver,atina,,,1,
310573,18,breast,suindi,,,,
310574,19,shoulder,yaxunoa,,,27,
310575,20,"to know, be knowledgeable",abia,,,,
310576,21,"to think",hatum,,,86,
310577,22,"to fear",tari,"Source: Lincoln",,63,
310578,23,blood,sibina,,,60,
310579,24,head,tohonoa,,,,
310580,25,neck,waxuntowanoa,,,127,
310581,26,hair,toholondi,,,77,
310582,27,nose,yuŋxanoa,,,1,
310584,29,"to sniff, smell",yuyu,"Source: Lincoln",,89,
310585,30,mouth,soxoŋunoa,,,,
310586,31,tooth,wena,metathesis?,,"2,68",
310587,32,tongue,manano,,,45,
310588,33,"to laugh",masisi,,,103,
310589,34,"to cry",taŋ,,,1,
310590,35,"to vomit",xua,"Source: Lincoln",,8,
310591,36,"to spit",ŋip,"Source: Lincoln",,119,
310592,37,"to eat",xaŋ,,,1,
310593,38,"to chew",ɡɑxu-ti,"Source: Grammar",,,
310594,39,"to cook",tau,"Source: Lincoln",,10,
310595,40,"to drink",nuŋ,,,"1,34",
310596,41,"to bite",gaxu,,,78,
310597,42,"to suck",tumtum,"Source: Lincoln",,81,
310598,43,ear,taŋaŋliana,,,"1, 49",
310599,44,"to hear",luŋu,,,"1, 36",
310600,45,eye,maxanoa,,,,
