id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1334,"Mumeng (Patep dialect)","Malcolm Ross, fieldnotes & Adams (n.d.)",ptp,pate1247,"(1) Malcolm Ross, fieldnotes(2) Karen Adams, n.d. Electronic dictionary. Ukarumpa: Summer Institute of Linguistics",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Huon Gulf, South, Hote-Buang, Buang, Mumeng","Malcolm Ross","Malcolm Ross","@misc{Ross-1334-2016,  author = \"Malcolm Ross\",  date = \"2016\",  howpublished = \"personal communication\"}@book{adams-a,  title     = {Electronic dictionary},  publisher = {Ukarumpa: Summer Institute of Linguistics},  language  = {en},  author    = {Adams, Karen and nd}}"
latitude,longitude
-6.91990000000000000000,146.63900000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
311826,1,hand,vge,,,76,
311827,2,left,ked,,,15,
311828,3,right,hyov,,,,
311829,4,leg/foot,vaɣa,,,20,
311830,6,road/path,mop,,,,
311831,7,"to come",lam,,,"1,85",
311832,10,dirty,niŋeak,,,,
311833,11,dust,vjuva,,,,
311834,12,skin,nvi,,,,
311835,13,back,nimi,,,,
311836,14,belly,ɣeaa,,,,
311837,15,bone,lɛn,,,,
311838,17,liver,loɣowa,,,,
311839,18,breast,lul,,,1,
311840,19,shoulder,kdia,,,,
311841,20,"to know, be knowledgeable",ɣɔvo,,,,
311842,22,"to fear",ɣɔna,,,,
311843,23,blood,hi,,,,
311844,24,head,bazub,,,,
311845,25,neck,kwa,,,,
311846,26,hair,lehi,,,,
311847,27,nose,nlu,,,27,
311848,28,"to breathe",kloho,,,,
311849,29,"to sniff, smell",pmu,,,,
311850,30,mouth,mya,,,,
311851,31,tooth,nvu,,,1,
311852,32,tongue,gɛt,,,,
311853,33,"to laugh",nap,,,,
311854,34,"to cry",byag,,,,
311855,35,"to vomit",mutak,,,1,
311856,36,"to spit",psuv,,,19,
311857,37,"to eat",ya,,,1,
311858,38,"to chew",ŋul,"'chew sugarcane'",,,
311859,39,"to cook",m¥el,,,77,
311860,39,"to cook",nok,,,,
311861,40,"to drink",num,,,1,
311862,41,"to bite",ŋa,,,77,
311863,43,ear,niña,,,,
311864,44,"to hear",ŋo,,,1,
311865,45,eye,ma,,,1,
311866,46,"to see",ye,,,14,
311867,47,"to yawn",peha,,,,
311868,48,"to sleep",yep,,,8,
311869,49,"to lie down",yep,,,98,
311870,50,"to dream",vvia,,,"1,77",
311871,51,"to sit",do,,,"18,152",
311872,52,"to stand",le,,,,
311873,53,"person/human being",ɣɔmɣɔ,,,,
311874,54,man/male,vuɣ,,,,
311875,55,woman/female,veɣ,,,117,
311876,56,child,nu,,,,
311877,57,husband,leya,,,,
311878,58,wife,vne,,,5,
311879,59,mother,..ta,,,,
311880,60,father,ma,,,"1,10",
311881,61,house,ɣumak,,,1,
311882,63,name,le,,,,
311883,64,"to say",nel,,,,
311884,65,rope,yihi,,,,
311885,66,"to tie up, fasten",ku,,,,
311886,67,"to sew",du,,,76,
311887,69,"to hunt",hlɔɔ,,,,
311888,70,"to shoot",neɣ,,,1,
311889,71,"to stab, pierce",duu,,,,
311890,72,"to hit",hi,,,,
311891,73,"to steal",yodak,,,,
311892,74,"to kill",hi,,,93,
311893,75,"to die, be dead",yib,,,,
311894,76,"to live, be alive",mamvha,,,,
311895,77,"to scratch",kʷel,,,12,
311896,78,"to cut, hack",gol,,,,
311897,78,"to cut, hack",kku,,,,
311898,78,"to cut, hack",sɛv,,,19,
311899,78,"to cut, hack",vuv,,,,
311900,80,"to split",kdɛn,,,,
311901,83,"to work",yuak,,,,
311902,84,"to plant",yin,,,,
311903,85,"to choose",vnɔɔ,,,,
311904,86,"to grow",lig,,,,
311905,87,"to swell",vuak,,,,
