id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1335,Mangseng,"Malcolm Ross, fieldnotes & Lloyd Milligan (n.d.)",mbh,mang1403,"Malcolm Ross, fieldnotesLloyd Milligan, n.d., Electronic lexicon. Ukarumpa, Summer Institute of Linguistics.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Southwest New Britain, Arawe-Pasismanua, Arawe","Malcolm Ross","Malcolm Ross","@misc{Ross-1335-2016,  author = \"Malcolm Ross\",  date = \"2016\",  howpublished = \"personal communication\"}@book{milligan-a,  title     = {Electronic lexicon},  publisher = {Ukarumpa, Summer Institute of Linguistics},  author    = {Milligan, Lloyd and nd}}"
latitude,longitude
-5.89750000000000000000,150.68000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
311621,1,hand,mɛni,,,35,
311622,4,leg/foot,yevi,,,83,
311623,5,"to walk",iɛs,,,,
311624,6,road/path,soveŋalo,,,,
311625,7,"to come",(iɛs)mɛ,,,1,
311626,9,"to swim",ke,,,,
311627,10,dirty,akop,,,,
311628,10,dirty,akrom,,,,
311629,11,dust,amum,,,,
311630,12,skin,ni,,,,
311631,13,back,i-gime,,,,
311632,14,belly,yopo,,,2,
311633,15,bone,(po)ki(n),,,,
311634,16,intestines,mikeli,,,,
311635,17,liver,limimia,,,,
311636,18,breast,(iya)susu,,,1,
311637,19,shoulder,gɛipo,,,,
311638,20,"to know, be knowledgeable",mire,,,,
311639,21,"to think",telilel,,,,
311640,22,"to fear",movur,,,1,
311641,23,blood,mla,,,64,
311642,24,head,pou(ŋa),,,14,
311643,25,neck,kei,,,,
311644,26,hair,podoi,,,,
311645,27,nose,yoŋe,,,1,
311646,29,"to sniff, smell",noŋ,"'hear, smell'",,29,
311647,29,"to sniff, smell",noŋet",,,29,
311648,30,mouth,iwo,,,93,
311649,31,tooth,iwopupo,,,,
311650,32,tongue,ilɛmuma,,,,
311651,33,"to laugh",ŋenge,,,44,
311652,34,"to cry",taŋ,,,1,
311653,35,"to vomit",mutmut,,,1,
311654,36,"to spit",osuk,,,,
311655,37,"to eat",yani,,,1,
311656,38,"to chew",antun,,,,
311657,39,"to cook",pos,,,113,
311658,40,"to drink",ðin,,,1,
311659,41,"to bite",puntoku,,,,
311660,42,"to suck",lik,,,,
311661,43,ear,telɛŋa,,,1,
311662,44,"to hear",pakɛi,,,,
311663,45,eye,iðɛki,,,,
311664,46,"to see",iðɛpoli,,,,
311665,48,"to sleep",noŋnoŋ,,,"8,106",
311666,49,"to lie down",ŋoo,,,,
311667,51,"to sit",temen,,,,
311668,52,"to stand",i-mit(a),,,1,
311669,53,"person/human being",toku,,,,
311670,54,man/male,toku,,,,
311671,55,woman/female,sɛŋ,,,"1,117",
311672,56,child,tu-,,,"5, 36",
311673,57,husband,ewo,,,2,
311674,58,wife,ewo,,,1,
311675,59,mother,yianina,,,,
311676,60,father,yiavovo,,,,
311677,61,house,maŋ,,,31,
311678,62,thatch/roof,powe,,,,
311679,63,name,iron,,,,
311680,64,"to say",ri,,,,
311681,65,rope,kinoŋa,,,,
311682,65,rope,pupo,,,,
311683,66,"to tie up, fasten",kin,,,,
311684,67,"to sew",italalo,,,,
311685,68,needle,italaliŋa,,,,
311686,69,"to hunt",or,,,83,
311687,70,"to shoot",pun,,,,
311688,71,"to stab, pierce",or,,,,
311689,72,"to hit",pun,,,23,
311690,72,"to hit",so,,,,
311691,73,"to steal",kem,,,31,
311692,74,"to kill","pun rin","'hit die'",,1,
311693,74,"to kill","so rin","'hit die'",,,
311694,75,"to die, be dead",rin,,,40,
311695,76,"to live, be alive",mimi,,,81,
311696,77,"to scratch",gaisis,,,,
311697,77,"to scratch",kamris,,,,
311698,78,"to cut, hack",sap,,,,
311699,80,"to split",osa,,,,
311700,83,"to work",oma,,,1,
311701,84,"to plant",elel,,,,
311702,85,"to choose",ateal,,,,
311703,86,"to grow",plo,,,18,
311704,87,"to swell",loðun,,,,
311705,88,"to squeeze",rekuk,,,,
311706,88,"to squeeze",polpot,,,,
311707,89,"to hold",montun,,,,
311708,90,"to dig",to,,,,
311709,91,"to buy",ol,,,1,
311710,92,"to open, uncover",pavlesu,,,,
311711,93,"to pound, beat",titit,,,20,
311712,94,"to throw",pavlesu,,,,
311713,95,"to fall",ma,,,,
311714,95,"to fall",pu,,,21,
311715,96,dog,lalau,,,,
311716,97,bird,mɛn,,,1,
311717,98,egg,otɛl,,,1,
311718,99,feather,ebeðoi,,,,
311719,100,wing,(ene)geniti,,,,
311720,101,"to fly",laŋ,"perhaps cognate with 'fly' insect?",,X,
311721,102,rat,moso,,,,
311722,103,meat/flesh,mikɛrɛm,,,,
311723,104,fat/grease,(mon)mon(ŋa),,,1,
311724,105,tail,i-lepi(po),,,80,
311725,106,snake,pilimo,,,,
311726,108,louse,ŋut,,,1,
311727,109,mosquito,menin,,,47,
311728,110,spider,maŋ,,,85,
311729,111,fish,silaŋ,,,,
311730,112,rotten,keim,,,,
311731,113,branch,menin,"= 'arm'",,53,
311732,114,leaf,ðoiŋ,"'leaf, feather, hair'",,,
311733,115,root,wonripi,,,,
311734,116,flower,punpolŋa,,,,
311735,117,fruit,moniŋ,,,,
311736,118,grass,pilil,,,1,
311737,119,earth/soil,olue,,,,
311738,120,stone,um,,,52,
311739,121,sand,(wun)wun,,,,
311740,122,water,(ð)ei,,,,
311741,123,"to flow",lel,,,16,
311742,124,sea,ðev,,,,
311743,125,salt,au,,,,
311744,126,lake,pamonlel,,,,
