id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1344,Ham,"Lincoln (n.d.)",dad,mari1428,"Lincoln, Piet. (n.d.) Rai Coast Survey.","I found the language difficult to transcribe. Because the language is quitedifferent from other Rai Coast languages and because there are moremorphophonemic distortions of morphemes, it was not easy to discoverinconsistencies and misunderstandings while I was still in the village andable to ask for clarification.","Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Bel, Nuclear Bel, Southern","Kwang-Ju Cho","Kwang-Ju Cho","@book{LincolnND,  address = {Honolulu},  title   = {Rai Coast Survey},  author  = {Lincoln, Piet}}"
latitude,longitude
-5.34900000000000000000,145.59000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
314075,5,"to walk",uyaɡaule,walk,,,
314031,6,road/path,nabu,road/path,,,
314076,7,"to come",usi,come,,58,
314077,8,"to turn",faliɛ,turn,,,
314081,8,"to turn",apiwe,squeeze,,,
314047,9,"to swim",yoyoŋwe,swim,,,
314048,10,dirty,amuya,dirty,,,
314049,11,dust,asu,dust,,,
313960,12,skin,bowa,skin,,,
313950,13,back,puta,back,,104,
313949,14,belly,te,belly,,1,
313961,15,bone,tuwa,bone,,"1,10",
313962,16,intestines,didimura,guts,,,
313963,17,liver,wau,liver,,,
313982,20,"to know, be knowledgeable",kisi,know,,,
313983,21,"to think",kisi,think,,,
313984,22,"to fear",kumi,afraid,,,
313964,23,blood,naudi,blood,,,
313951,24,head,mudiri,head,,,
313953,25,neck,ula,neck,,,
313952,26,hair,fatiɛ,"head hair",,,
313954,27,nose,uyu,nose,,1,
313981,28,"to breathe","ia la fɛ",breathe,,,
313980,29,"to sniff, smell","sume ãno",smell,,,
313955,30,mouth,siɡoro,mouth,,,
313958,31,tooth,waila,"teeth; metathesis?",,"2,68",
313959,32,tongue,bale-ɡ,tongue,,33,
313970,33,"to laugh",kasẽ,"laugh (smile)",,,
313969,34,"to cry",keãfe,cry,,,
313972,35,"to vomit",aluaβe,vomit,,8,
313971,36,"to spit",salina,spit,,,
313966,37,"to eat","aya koe",eat,,,
313965,40,"to drink","aya koe",drink,,,
313967,41,"to bite","aya garõfe",bite,,,
313968,42,"to suck","aya koe",suck,,,
313956,43,ear,wedere,ear,,,
313979,44,"to hear",kariaũ,hear,,,
313957,45,eye,mala,eye,,1,
313977,46,"to see","ai lef",see,,1,
313978,46,"to see","ai lefɛ",see,,1,
313974,48,"to sleep","bõ ai nok",sleep,,,
313975,51,"to sit",abodok,sit,,,
313976,52,"to stand",afɛrɛf,stand,,,
313986,54,man/male,tamo,man,,"12, 14",
313987,55,woman/female,kayau,woman,,,
313988,56,child,gesunal,"child (non-kin)",,,
313991,56,child,"nu nalu",child,,5,
313995,57,husband,"nu tamo",husband,,,
313994,58,wife,"nu kayau",wife,,1,
313989,59,mother,sinuau,mother,,,
313990,59,mother,nai,"mom (vocative)",,18,
313992,60,father,tamuau,father,,1,
313993,60,father,dei,"dad (vocative)",,,
314022,61,house,põ,house,,,
313996,63,name,"nu yanau",name,,20,
314078,64,"to say",odo,talk,,,
314019,65,rope,malu,vine/rope,,29,
314034,66,"to tie up, fasten",upoi,"tie rope",,11,
314035,67,"to sew",walis,sew,,,
314036,68,needle,tsiri,meedle,,39,
314062,69,"to hunt",koira,hunt,,,
314063,70,"to shoot",wirã,shoot,,,
314064,71,"to stab, pierce",koruwe,stab,,,
314065,72,"to hit","imami ũwe",hit/punch,,,
314085,73,"to steal",be,steal,,,
314066,74,"to kill",lapele,kill,,,
313985,76,"to live, be alive","lapiɛ saɛ̃",live,,,
314079,77,"to scratch",ɡuɡele,scratch,,12,
314037,78,"to cut, hack",ɡuduŋwe,cut,,,
