id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1346,Wab,"Lincoln (n.d.)",wab,wabb1237,"Lincoln, Piet. (n.d.) Rai Coast Survey.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Bel, Astrolabe","Kwang-Ju Cho","Kwang-Ju Cho","@book{LincolnND,  address = {Honolulu},  title   = {Rai Coast Survey},  author  = {Lincoln, Piet}}"
latitude,longitude
-5.61220000000000000000,146.46100000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
345472,1,hand,ima-,,,"1,64",
345473,2,left,daiye,,,77,
345474,3,right,one,,,"1,64",
345475,4,leg/foot,ye-u,,,1,
315890,5,"to walk",paloŋ,walk,,116,
315849,6,road/path,dool,road/path,,1,
315891,7,"to come",u-si,come,,58,
315892,8,"to turn",u-loi,turn,,,
315896,8,"to turn",u-pis,squeeze,,88,
315863,9,"to swim",na-nun,swim,,"12,56",
315864,10,dirty,tuŋuŋne,dirty,,,
315865,11,dust,kukuo,dust,,,
315767,13,back,fafe-u,back,,,
315766,14,belly,ɡamle-u,belly,,45,
315777,15,bone,tua-u,bone,,"1,10",
315778,16,intestines,wulwolne,guts,,69,
315779,17,liver,ɡalɡal,liver,,59,
345476,18,breast,sus,,,1,
315798,20,"to know, be knowledgeable",maŋau,know,,,
315799,21,"to think","tio na-dumdum",think,,,
315800,22,"to fear",na-rir,afraid,,29,
315780,23,blood,ror,"blood; irregular final C, expected l",,1,
315768,24,head,tabnau,head,,,
315770,25,neck,lua-u,neck,,18,
315769,26,hair,ɡata-u,"head hair",,76,
315771,27,nose,uy-u,nose,,1,
315797,28,"to breathe","yaŋ nab",breathe,,67,
315796,29,"to sniff, smell","same (na-loŋ)",smell,,29,
315772,30,mouth,awa-u,mouth,,36,
315775,31,tooth,nie-u,teeth,,24,
315776,32,tongue,bale-u,tongue,,33,
315786,33,"to laugh",bariu,"laugh (smile)",,"3, 54",
315785,34,"to cry",taŋ,cry,,1,
315788,35,"to vomit",na-lou,vomit,,8,
315787,36,"to spit",na-ŋus,spit,,"14, 83",
315782,37,"to eat",na-ŋien,eat,,"1,12",
315839,39,"to cook",nayeŋ,boil,,3,
315840,39,"to cook",nuniŋ,roast,,,
315781,40,"to drink",na-luŋ,drink,,62,
315783,41,"to bite",na-kal,bite,,1,
315784,42,"to suck",na-mis,suck,,6,
315773,43,ear,talŋa-u,ear,,1,
315795,44,"to hear",na-loŋ,hear,,"1, 36",
315774,45,eye,mala-u,eye,,1,
315794,46,"to see","na-ɡot-ium ien",see,,,
315791,48,"to sleep",na-inum,sleep,,,
315792,51,"to sit","na-ɡoŋ ien",sit,,,
315793,52,"to stand","ma-mar ien",stand,,1,
315802,54,man/male,ŋik,man,,,
315803,54,man/male,tamol,man,,"12, 14",
315804,55,woman/female,pain,woman,,"1,106",
315805,56,child,kuŋer,"child (non-kin)",,,
315808,56,child,nanu,child,,"5, 38",
315812,57,husband,uwa-u,husband,,2,
315811,58,wife,uwa-u,wife,,1,
315806,59,mother,tina-u,mother,,1,
315807,59,mother,nin,"mom (vocative)",,"1, 83",
315809,60,father,tama-u,father,,1,
315810,60,father,mom,"dad (vocative)",,"1, 10",
315838,61,house,lom,house,,1,
315813,63,name,wau,name,,60,
315893,64,"to say",kasoŋ,talk,,,
315835,65,rope,wol,vine/rope,,2,
315852,66,"to tie up, fasten",na-tau,"tie rope",,,
315853,67,"to sew",sib,sew,,75,
315854,68,needle,tieŋ,meedle,,,
315877,69,"to hunt","na-nunumnum ien",hunt,,,
315878,70,"to shoot",na-pin,shoot,,1,
315879,71,"to stab, pierce",se,stab,,"1, 8",
315880,72,"to hit",na-fuŋ,hit/punch,,23,
315900,73,"to steal",panuoŋ,steal,,"1,58",
315881,74,"to kill","fuŋ mit",kill,,"1, 2",
315790,75,"to die, be dead",na-mit,die,,1,
315801,76,"to live, be alive","mit bakam",live,,,
315894,77,"to scratch",u-sak,scratch,,86,
315832,79,stick/wood,aai,tree/wood,,1,
315855,80,"to split",ta-paŋ,split,,13,
315856,81,sharp,mol,sharp,,36,
315850,83,"to work",urot,work,,41,
315895,87,"to swell",dil,swell,,,
345477,88,"to squeeze",-pis,,,29,
315897,89,"to hold",na-to,hold,,17,
315851,90,"to dig","ton na-sal","dig hole",,,
315898,94,"to throw",bek,throw,,,
315899,95,"to fall",muol,fall,,122,
315827,96,dog,ɡaun,dog,,43,
315826,97,bird,man,bird,,1,
315828,98,egg,patou,egg,,32,
315829,99,feather,"man bade",feather,,77,
315830,100,wing,bade,wing,,20,
315823,101,"to fly",pirpur,"fly [verb]",,,
315825,102,rat,kuyu,rat,,3,
315814,103,meat/flesh,ɡaruŋ,"meat [food]",,100,
315815,103,meat/flesh,mid,flesh,,23,
315816,104,fat/grease,lon,"fat (white, solid)",,92,
315817,104,fat/grease,ren,grease,,,
315818,105,tail,nul,tail,,,
315819,106,snake,mut,snake,,12,
315820,107,"worm (earthworm)",karorui,worm,,,
315821,108,louse,ut,louse,,1,
315822,109,mosquito,nam,mosquito,,1,
315824,110,spider,sabokbok,spider,,73,
315831,111,fish,kouk,fish,,,
315833,114,leaf,"ai labne",leaf,,59,
315834,115,root,"ai warat",root,,57,
315836,116,flower,"ai manmane",flower,,,
315837,118,grass,diŋdiŋ,grass,,96,
315857,119,earth/soil,ton,earth/ground,,1,
315858,120,stone,patiu,stone,,1,
315859,121,sand,suu,sand,,,
315861,122,water,lan,"fresh water/river",,1,
345478,123,"to flow",lutuot,,,82,
315860,124,sea,tiɛk,sea,,64,
315862,126,lake,"lan ɡulotne",lake,,43,
315876,127,woods/forest,ruɡruɡ,bush/forest,,113,
315882,129,moon,sinsen,moon,,,
315883,130,star,buai,star,,81,
315867,131,cloud,yaŋta,cloud,,36,
315866,132,fog,yaŋta,fog,,,
315868,133,rain,auyoŋ,rain,,1,
315869,136,wind,yaŋ,wind,,,
315870,137,"to blow","yaŋ pulul","wind blows",,73,
315872,138,warm,wanwon,hot,,"1,33",
315871,139,cold,na-malsuŋ,cold,,51,
315873,140,dry,mamos,dry,,11,
315874,141,wet,lanlannej,wet,,,
315875,142,heavy,malle,heavy,,,
315841,143,fire,yab,fire,,1,
315842,145,smoke,ɡabu,smoke,,,
315843,146,ash,tup,ash,,84,
315845,147,black,mum,black,,93,
315844,148,white,kokne,white,,60,
315846,149,red,rar,red,,25,
315848,150,yellow,saksak,yellow,,,
315847,151,green,ŋadŋadne,green,,,
315901,152,small,katuse,small,,,
315902,153,big,peulen,big,,,
315903,154,short,kutmeŋ,short,,,
315904,155,long,meŋne,long/tall,,,
315906,156,thin,malpi,thin,,,
315905,157,thick,multu,thick,,66,
315789,160,"painful, sick",meyai,sick,,108,
315908,162,old,muɡeŋ,old,,x,
315909,163,new,fau,new,,"1,26",
315910,164,good,noŋ,good,,,
315911,165,"bad, evil",daupeŋ,bad,,,
315907,166,"correct, true",melen,true,,,
315884,167,night,urum,night,,11,
315885,169,year,dom,year,,80,
315886,170,when?,ŋimbe,when,,"1,24",
345479,179,near,patoi,,,,
315889,181,where?,ɡin,where,,84,
345480,182,I,na,,,12,
345481,183,thou,uŋ,,,"1,66",
345482,184,he/she,i,,,1,
345483,186,you,a,,,,
345484,187,they,ide,,,25,
315887,188,what?,som,what,,"1,75",
315888,189,who?,ɡei,who,,23,
345485,196,"to count",-kabi,,,,
345486,197,One,tasip,,,14,
345487,198,Two,laulam,,,,
345488,199,Three,tuol,,,1,
345489,200,Four,pai,,,"1,64",
345490,201,Five,tindum,,,,
345491,206,Ten,tinsil,,,,
