id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1353,Mindiri,"Lincoln (n.d.)",mpn,mind1255,"Lincoln, Piet. (n.d.) Rai Coast Survey.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Bel, Astrolabe","Kwang-Ju Cho","Kwang-Ju Cho","@book{LincolnND,  address = {Honolulu},  title   = {Rai Coast Survey},  author  = {Lincoln, Piet}}"
latitude,longitude
-5.54610000000000000000,146.13800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
345200,1,hand,moŋga,,,,
345201,2,left,ŋasin,,,19,
345202,3,right,mendor,,,,
345203,4,leg/foot,hie-ŋga,,,"1, 110",
314836,5,"to walk",ta-tər,walk,,37,
314789,6,road/path,ndal,road/path,,1,
314837,7,"to come",ku-sur,come,,,
314838,8,"to turn",tuliani,turn,,,
314843,8,"to turn",pəpi,squeeze,,89,
314807,9,"to swim",ku-luoŋɡə,swim,,28,
314808,10,dirty,nun,dirty,,42,
314809,11,dust,ɡofɡof,dust,,59,
345204,12,skin,kukuli-,,,1,
314706,13,back,mbisapu-ŋɡə,back,,,
314705,14,belly,tine-ŋɡa,belly,,"19, 34",
314716,15,bone,tuŋatu,bone,,,
314717,16,intestines,"tine-ŋɡə warə-n",guts,,1,
314718,17,liver,pilaŋɛ,liver,,,
345205,18,breast,su?,,,1,
314739,20,"to know, be knowledgeable",ku-loŋ,know,,19,
314740,21,"to think",loŋso,think,,63,
314741,22,"to fear","tani-ŋɡɛ sarim",afraid,,,
314719,23,blood,ndar,blood,,1,
314707,24,head,kuso-ŋɡə,head,,,
314709,25,neck,bulalə-ŋɡə,neck,,68,
314708,26,hair,"kuso-ŋɡə ron","head hair",,40,
314710,27,nose,βiu-ŋɡu,nose,,1,
314738,28,"to breathe","yaŋ ŋa-nolpɛ",breathe,,67,
314737,29,"to sniff, smell","ku-yon ku-loŋ",smell,,29,
314711,30,mouth,kuɔ-ŋɡə,mouth,,36,
314714,31,tooth,luwu-ŋɡə,teeth,,"1,35",
314715,32,tongue,balə-ŋga,tongue,,33,
314726,33,"to laugh",ndi-wayəp,"laugh (smile)",,,
314725,34,"to cry",ŋa-taiɛp,cry,,,
314728,35,"to vomit",ŋa-lui,vomit,,8,
314727,36,"to spit",ŋa-suwa-yəp,spit,,19,
314722,37,"to eat",ŋa-niɛp,eat,,,
314720,38,"to chew",ŋa-mamə,"chew betel nut",,1,
345206,38,"to chew",mami,,,1,
314779,39,"to cook",ku-fuŋa,boil,,,
314780,39,"to cook",ku-muri,roast,,77,
314721,40,"to drink",ŋa-mi,drink,,1,
314723,41,"to bite",ŋa-niɛp,bite,,,
314724,42,"to suck",ŋa-mi,suck,,6,
314712,43,ear,tɜlŋɡoo-ŋɡa,ear,,1,
314736,44,"to hear",ku-loŋ,hear,,"1, 36",
314713,45,eye,malo-ŋɡu,eye,,1,
314735,46,"to see",ŋa-leaɛp,see,,,
345207,47,"to yawn",(ma)mʷavi,,,19,
314731,48,"to sleep",ŋa-ɛnɛp,sleep,,8,
314732,49,"to lie down",ŋa-noliɛp,"lie down",,,
314733,51,"to sit",ŋa-mandusəp,sit,,,
314734,52,"to stand",putukur,stand,,2,
345208,53,"person/human being",koi-ta,,,,
314743,54,man/male,koi,man,,,
314744,55,woman/female,pɛɛn,woman,,"1,106",
314745,56,child,naluk,"child (non-kin)",,5,
314748,56,child,nalu-k,child,,5,
314752,57,husband,kiwo-ŋɡa,husband,,2,
314751,58,wife,"kiwa pɛn",wife,,94,
314746,59,mother,tina-nə,mother,,1,
314747,59,mother,nɛn,"mom (vocative)",,"1, 83",
314749,60,father,təma-n,father,,1,
314750,60,father,mamə,"dad (vocative)",,"1, 10",
314778,61,house,kambe,house,,23,
314753,63,name,ŋio-ŋɡo,name,,,
314839,64,"to say",ku-ŋom,talk,,,
314840,64,"to say",ta-bol,talk,,50,
314775,65,rope,war,vine/rope,,2,
314792,66,"to tie up, fasten",ku-po,"tie rope",,11,
314793,67,"to sew",ku-ɡedə,sew,,,
314794,68,needle,sisil,meedle,,39,
314822,69,"to hunt","iu ndə-tore",hunt,,49,
314823,70,"to shoot",pan,shoot,,1,
314824,71,"to stab, pierce",use,stab,,"1, 8",
314825,72,"to hit",ku-funi,hit/punch,,23,
314848,73,"to steal",punaku,steal,,"1,58",
314849,73,"to steal",punɛki,steal,,"1,58",
314826,74,"to kill","funi tiriba",kill,,"1, 2",
314827,74,"to kill","funi mati",kill,,"1, 2",
314730,75,"to die, be dead",mat,die,,1,
314742,76,"to live, be alive",mbas,live,,,
314841,77,"to scratch",kurkar,scratch,,12,
314795,78,"to cut, hack",ku-tar,cut,,1,
345209,78,"to cut, hack",-sitiu,,,,
314772,79,stick/wood,ka,tree/wood,,1,
314796,80,"to split",turfet,split,,,
314797,81,sharp,mundɛn,sharp,,96,
314798,81,sharp,məndɛn,sharp,,96,
314799,82,"dull, blunt",fəɡəɡunɛm,blunt/dull,,,
314790,83,"to work",urat,work,,41,
314842,87,"to swell",kat,swell,,,
345210,88,"to squeeze",pəpi,,,21,
314844,89,"to hold",ku-bi,hold,,23,
314845,89,"to hold",ŋɡa-bi,hold,,23,
314791,90,"to dig",yau,"dig hole",,87,
314846,94,"to throw",tani,throw,,110,
314847,95,"to fall",musi,fall,,,
314767,96,dog,ɡoon,dog,,43,
314766,97,bird,maʔ,bird,,1,
314768,98,egg,patu-n,egg,,32,
314769,99,feather,"ma bubulu-n",feather,,1,
314770,100,wing,bani-n,wing,,2,
314763,101,"to fly",ndro,"fly [verb]",,1,
314765,102,rat,kusoi,rat,,3,
314754,103,meat/flesh,i,"meat [food]",,31,
314755,103,meat/flesh,məndan,flesh,,23,
314756,104,fat/grease,ndəmaran,"fat (white, solid)",,,
314757,104,fat/grease,ulwalənj,grease,,,
314758,105,tail,"iun tɛbɛl",tail,,,
314759,106,snake,moat,snake,,12,
314760,107,"worm (earthworm)",ŋɡui,worm,,85,
314761,108,louse,liɛnda,"< 'louse egg, nit'",,20,
314762,109,mosquito,na,mosquito,,"1,66",
314764,110,spider,bafumba,spider,,,
314771,111,fish,ii,fish,,1,
345211,113,branch,rakien,,,1,
314773,114,leaf,"a ron",leaf,,1,
314774,115,root,buru-n,root,,59,
314776,116,flower,moar,flower,,31,
314777,118,grass,bɛsɛsir,grass,,,
314800,119,earth/soil,taan,earth/ground,,1,
314801,120,stone,pot,stone,,1,
314802,121,sand,kabur,sand,,96,
314805,122,water,aron,"fresh water/river",,1,
345212,123,"to flow",ronron,,,,
314803,124,sea,bəkos,sea,,,
314804,125,salt,bəkos,salt,,,
345213,125,salt,bəkos,,,,
314806,126,lake,"aron taliani",lake,,43,
314821,127,woods/forest,duɡa,bush/forest,,113,
314828,129,moon,fulɛ,moon,,1,
314829,130,star,mboi,star,,81,
314812,131,cloud,sauten,cloud,,,
314810,132,fog,sauten,fog,,,
314811,132,fog,səŋɡau,fog,,,
314813,133,rain,mɔə,rain,,,
345214,134,thunder,lelau,,,20,
345215,135,lightning,kulianiu,,,,
314814,136,wind,tim,wind,,,
314815,137,"to blow","tim palu","wind blows",,73,
314817,138,warm,uninan,hot,,"1,33",
314816,139,cold,malas,cold,,51,
314818,140,dry,mamas,dry,,11,
314819,141,wet,roməman,wet,,,
314820,142,heavy,mburuan,heavy,,47,
314781,143,fire,ya,fire,,1,
345216,144,"to burn",sunu,,,4,
314782,145,smoke,yayakas,smoke,,2,
314783,146,ash,"ya deo",ash,,,
314785,147,black,kaskasim,black,,,
