id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
1360,Arop,"Lincoln (n.d.)",aps,arop1242,"Lincoln, Piet. (n.d.) Rai Coast Survey.This had been classified as Schouten/Siau (i.e. Arop dialect of Sissano). I've reclassified it as Vitiaz/Korap (i.e. as Arop-Lokep). Unfortunately there are two NNG languages called 'Arop'! (MR, 28/07/17)",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, North New Guinea, Ngero-Vitiaz, Vitiaz, Korap","Kwang-Ju Cho","Kwang-Ju Cho","@book{LincolnND,  address = {Honolulu},  title   = {Rai Coast Survey},  author  = {Lincoln, Piet}}"
latitude,longitude
-3.06980000000000000000,142.12000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
345029,1,hand,bage-k,,,76,
345030,2,left,ŋasa,,,19,
345031,3,right,wana,,,1,
345032,4,leg/foot,ke-,,,1,
313451,5,"to walk","i-pa i-la",walk,,121,
313411,6,road/path,dala,road/path,,1,
313452,7,"to come",ku-ma,come,,1,
313453,8,"to turn","i-pakorai i-la",turn,,,
313457,8,"to turn",ku-puro,squeeze,,,
313427,9,"to swim","a-nin be",swim,,96,
313428,10,dirty,ɡirikana,dirty,,,
313429,11,dust,numanuma,dust,,,
345033,12,skin,kuli-,,,1,
313334,13,back,baba-k,back,,99,
313333,14,belly,kapo-k,belly,,2,
313344,15,bone,toraa-k,bone,,40,
313345,16,intestines,waro-na,guts,,20,
313346,17,liver,kate-k,liver,,1,
345034,18,breast,sui-,,,1,
345035,19,shoulder,popo-,,,106,
313365,20,"to know, be knowledgeable",a-loŋo,know,,19,
313366,21,"to think",luŋona,think,,63,
313367,22,"to fear",a-βiwai,afraid,,,
313347,23,blood,dara,blood,,1,
313335,24,head,uto-k,head,,71,
313337,25,neck,ɡuri-k,neck,,,
313336,26,hair,"uto-k lau-na","head hair",,40,
313338,27,nose,karu-k,nose,,62,
313364,28,"to breathe",a-ŋora,breathe,,13,
313363,29,"to sniff, smell",a-yaŋo,smell,,,
313339,30,mouth,ɡoa-k,mouth,,36,
313342,31,tooth,luŋa-k,teeth,,55,
313343,32,tongue,mia-k,tongue,,7,
313353,33,"to laugh",a-maliai,"laugh (smile)",,3,
313352,34,"to cry",a-taŋ,cry,,1,
313355,35,"to vomit",i-lulu,vomit,,8,
313354,36,"to spit",a-ŋilbe,spit,,,
313349,37,"to eat",a-kani,eat,,1,
313348,40,"to drink",ku-inu,drink,,1,
313350,41,"to bite",i-kəra,bite,,1,
313351,42,"to suck","ku-inu (II)",suck,,,
313340,43,ear,taŋla-k,ear,,1,
313362,44,"to hear",a-loŋo,hear,,1,
313341,45,eye,mata-k,eye,,1,
313361,46,"to see",ku-siŋa,see,,,
313358,48,"to sleep",i-kena,sleep,,8,
313359,51,"to sit","ku-nepa (II)",sit,,,
313360,52,"to stand",ku-kurɔ,stand,,95,
